SOURCE	TARGET
الدين	والدين	REPLACE_SF
الإسلام	الإسلامي	REPLACE_OM
وأن	وإن	REPLACE_OH
شاء	شاء	UC
الله	الله	UC
لو	لو	UC
فهمنا	فهمنا	UC
جيدا	جيدا	UC
عن		DELETE_XM
الدين	الدين	UC
يجعلنا	سيجعلنا	REPLACE_MT
سليم	سليمي	REPLACE_XN
العقيدة	العقيدة	UC
والتوحيد	وموحدين	REPLACE_SW
الله	الله	UC
وحده	وحده	UC
إذا	فإذا	REPLACE_SF
كان	كنا	REPLACE_OC
سليم	سليمي	REPLACE_XN
العقيدة	العقيدة	UC
ولا	ولا	UC
يشرك	نشرك	REPLACE_OR
بالله	بالله	UC
تعالى	تعالى	UC
إذا	فإذا	REPLACE_SF
هذا	هذا	UC
الذي	الذي	UC
يريد	يريد	UC
الناس	الناس	UC
حقيقتا	حقيقة	REPLACE_XN
أحب	أحب	UC
الكلية	كلية	REPLACE_XF
أصول	أصول	UC
الدين	الدين	UC
لأنني	لأنني	UC
أريد	أريد	UC
أن	أن	UC
يجعلنا	يجعلنا	UC
من	من	UC
المسلم	المسلمين	REPLACE_XN
السليم	السليمي	REPLACE_OM
العقيدة	العقيدة	UC
لأن	لأن	UC
في	في	UC
بلدنا	بلدنا	UC
كثير	كثير	UC
من	من	UC
الناس	الناس	UC
لا	لا	UC
يفهمون	يفهمون	UC
عن		DELETE_XM
العقيدة	العقيدة	UC
هم	وهم	REPLACE_MI
لا	لا	UC
يدرسون	يدرسون	UC
وأردت	وأردت	UC
أن	أن	UC
أدرسهم	أدرسهم	UC
ليفهمون	ليفهموا	REPLACE_OR
عن		DELETE_XM
العقيدة	العقيدة	UC
الصحيح	الصحيحة	REPLACE_XG
وأن	وإن	REPLACE_OH
شاء	شاء	UC
الله	الله	UC
لو	لو	UC
كان	كان	UC
هناك	هناك	UC
فرصة	فرصة	UC
سأكون	سأكون	UC
مدرس	مدرسا	REPLACE_XC
في	في	UC
علم	علم	UC
العقيدة	العقيدة	UC
في	في	UC
بلادنا	بلادنا	UC
أن	إن	REPLACE_OH
شاء	شاء	UC
الله	الله	UC
وأخيرا	وأخيرا	UC
أشكر	أشكر	UC
الله	الله	UC
تعالى	تعالى	UC
على	على	UC
كل	كل	UC
شيء	شيء	UC
وعلى	وعلى	UC
ما	ما	UC
قدر	قدر	UC
الله	الله	UC
تعالى	تعالى	UC
علينا	لنا	REPLACE_OD
وأشكر	وأشكر	UC
الله	الله	UC
على	على	UC
حضوركم	حضوركم	UC
والسلام	والسلام	UC
عليكم	عليكم	UC
ورحمة	ورحمة	UC
الله	الله	UC
وبركاته	وبركاته	UC

التخصص	التخصص	UC
في	في	UC
الشريعة	الشريعة	UC
الحمد	الحمد	UC
لله	لله	UC
والسلام	والسلام	UC
على	على	UC
خليل	خليل	UC
الله	الله	UC
وعلى	وعلى	UC
إله	آله	REPLACE_OH
وأصحابه	وأصحابه	UC
إلى	إلى	UC
يوم	يوم	UC
الساعة	الساعة	UC
أما	أما	UC
بعد	بعد	UC
أريد	أريد	UC
أن	أن	UC
أتخصص	أتخصص	UC
في	في	UC
علوم	علوم	UC
الشريعة	الشريعة	UC
أولا	أولا	UC
لأن	لأن	UC
بلدنا	بلدي	REPLACE_MI
أفغانستان	أفغانستان	UC
وآهلها	وأهلها	REPLACE_OH
بعيد	بعيدون	REPLACE_XN
ويحتاجون	ويحتاجون	UC
إلى	إلى	UC
تعليم	تعليم	UC
العلم	العلم	UC
الشرعي	الشرعي	UC
وهذا	وهذا	UC
من	من	UC
تمنياتي	أمنياتي	REPLACE_OR
أن	أن	UC
أدعو	أدعو	UC
الناس	الناس	UC
كافة	كافة	UC
إلى	إلى	UC
كتاب	كتاب	UC
الله	الله	UC
وسنة	وسنة	UC
رسوله	رسوله	UC
صلى	صلى	UC
الله	الله	UC
عليه	عليه	UC
وسلم	وسلم	UC
وأرجو	وأرجو	UC
من	من	UC
الله	الله	UC
أن	أن	UC
أدخلني	يدخلني	REPLACE_MT
تحت	تحت	UC
قول	قول	UC
رسول	رسول	UC
الله	الله	UC
صلى	صلى	UC
الله	الله	UC
عليه	عليه	UC
وسلم	وسلم	UC
خيركم	خيركم	UC
من	من	UC
تعلم	تعلم	UC
القرآن	القرآن	UC
وعلمه	وعلمه	UC
وأن	وأن	UC
أقضي	أقضي	UC
عمري	عمري	UC
في	في	UC
إصلاح	إصلاح	UC
الناس	الناس	UC
وغير	وغير	UC
ذلك	ذلك	UC
وبالله	وبالله	UC
التوفيق	التوفيق	UC

طالب	طالب	UC
العلم	العلم	UC
في	في	UC
المسجد	المسجد	UC
أن	إن	REPLACE_OH
مما	مما	UC
يحمد	يحمد	UC
للمسلم	للمسلم	UC
عامه	عامة	REPLACE_OT
ولطالب	ولطالب	UC
العلم	العلم	UC
خاصة	خاصة	UC
حرصه	حرصه	UC
على	على	UC
أن	أن	UC
يكون	يكون	UC
من	من	UC
السابقين	السابقين	UC
إلى	إلى	UC
الجمعة	الجمعة	UC
والجماعة	والجماعة	UC
والمحافطة	والمحافطة	UC
على	على	UC
الصف	الصف	UC
الأول	الأول	UC
ويتأكد	ويتأكد	UC
هذا	هذا	UC
الحرص	الحرص	UC
في	في	UC
طالب	طالب	UC
العلم	العلم	UC
لكونه	لكونه	UC
قدوه	قدوة	REPLACE_OT
للآخرين	للآخرين	UC
وحتى	وحتى	UC
يطايق	يطابق	REPLACE_OR
فعله	فعله	UC
قوله	قوله	UC
فقييح	فحقيق	REPLACE_SW
بطالب	بطالب	UC
العلم	العلم	UC
أن	أن	UC
يحث	يحث	UC
الناس	الناس	UC
على	على	UC
التبكير	التبكير	UC
إلى	إلى	UC
المسجد	المسجد	UC
ويحذرهم	ويحذرهم	UC
من	من	UC
التأخير	التأخير	UC
فأحرص	فاحرص	REPLACE_OH
رعاك	رعاك	UC
الله	الله	UC
أن	أن	UC
تكون	تكون	UC
مثل	مثل	UC
طالب	طالب	UC
العلم	العلم	UC
المتصف	المتصف	UC
بصفات	بصفات	UC
السلف	السلف	UC
الصالح	الصالح	UC
كالحرص	كالحرص	UC
على	على	UC
الحمعه	الجمعة	REPLACE_OR+REPLACE_OT
والجماعة	والجماعة	UC
والمسارعة	والمسارعة	UC
إلى	إلى	UC
المسجد	المسجد	UC
عند	عند	UC
سماع	سماع	UC
النداء	النداء	UC
وفي	وفي	UC
تزجمه	ترجمة	REPLACE_OR+REPLACE_OT
إبراهيم	إبراهيم	UC
بن	بن	UC
ميمون	ميمون	UC
الصائع	الصائغ	REPLACE_OR
قال	قال	UC
عنه	عنه	UC
ابن	ابن	UC
معين	معين	UC
كان	كان	UC
إذا	إذا	UC
رفع	رفع	UC
المطرقة	المطرقة	UC
فسمع	فسمع	UC
النداء	النداء	UC
لم	لم	UC
يردها	يردها	UC
قال	وقال	REPLACE_MI
الشعبي	الشعبي	UC
ما	ما	UC
دخل	دخل	UC
وقت	وقت	UC
صلاة	صلاة	UC
حتى	حتى	UC
أشتاق	أشتاق	UC
إليها	إليها	UC
وقال	وقال	UC
أيضا	أيضا	UC
ما	ما	UC
أقمت	أقمت	UC
الصلاة	الصلاة	UC
منذ	منذ	UC
أسلمت	أسلمت	UC
إلا	إلا	UC
وأنا	وأنا	UC
على	على	UC
وضوء	وضوء	UC
وقول	وقول	UC
إبراهيم	إبراهيم	UC
بن	بن	UC
يزيد	يزيد	UC
رحمه	رحمه	UC
الله	الله	UC
تعالى	تعالى	UC
إذا	إذا	UC
رأيت	رأيت	UC
الرجل	الرجل	UC
يتهاون	يتهاون	UC
في	في	UC
التكبيره	التكبيرة	REPLACE_OT
الأولى	الأولى	UC
فأعسل	فاغسل	REPLACE_OH
يدك	يدك	UC
منه	منه	UC
وإلى	وإلى	UC
آخر	آخره	REPLACE_XM

عندي	عندي	UC
رغبة	رغبة	UC
شديدة	شديدة	UC
في	في	UC
كلية	كلية	UC
أصول	أصول	UC
الدين	الدين	UC
الحمد	الحمد	UC
لله	لله	UC
رب	رب	UC
العالمين	العالمين	UC
والصلاة	والصلاة	UC
والسلام	والسلام	UC
على	على	UC
رسول	رسول	UC
الله	الله	UC
وعلى	وعلى	UC
آله	آله	UC
وصحبة	وصحبه	REPLACE_OT
أجمعين	أجمعين	UC
وبعد	وبعد	UC
السلام	السلام	UC
عليكم	عليكم	UC
ورحمة	ورحمة	UC
الله	الله	UC
وبركاته	وبركاته	UC
فأتشرف	وأتشرف	REPLACE_MI
بالإفادة	بالإفادة	UC
بأني	بأني	UC
معلومة	معلومة	UC
شخصية	شخصية	UC
محذوفة	محذوفة	UC
كمبودي	كمبودي	UC
الجنسية	الجنسية	UC
المولود	مولود	REPLACE_XF
بتاريخ	بتاريخ	UC
معلومة	معلومة	UC
شخصية	شخصية	UC
محذوفة	محذوفة	UC
في	في	UC
محافظة	محافظة	UC
تاكيو	تاكيو	UC
يا	يا	UC
شيخي	شيخي	UC
الفاضل	الفاضل	UC
لدي	لدي	UC
رغبة	رغبة	UC
شديدة	شديدة	UC
في	في	UC
مواصلة	مواصلة	UC
الدراسة	الدراسة	UC
في	في	UC
كلية	كلية	UC
أصول	أصول	UC
الدين	الدين	UC
بجامعة	بجامعة	UC
الأمام	الإمام	REPLACE_OH
محمد	محمد	UC
بن	بن	UC
سعدو	سعد	REPLACE_OD+REPLACE_OG
الإسلامية	الإسلامية	UC
لأن	لأن	UC
هذه	هذه	UC
الجامعة	الجامعة	UC
الطيبة	الطيبة	UC
قد	قد	UC
سمعتها	سمعت عنها	REPLACE_X
من	من	UC
أصدقائي	أصدقائي	UC
قالوا	قالوا	UC
أن	أن	UC
التعليم	التعليم	UC
في	في	UC
تخصص	تخصص	UC
أصول	أصول	UC
الدين	الدين	UC
بشكل	بشكل	UC
ممتاز	ممتاز	UC
جدا	جدا	UC
على	على	UC
طريق	الطريق	REPLACE_XF
سلفي	السلفي	REPLACE_XF
ولذا	ولذا	UC
أتمنى	أتمنى	UC
	أن	INSERT_XM
	تتحقق	INSERT_XM
رغبتي	رغبتي	UC
تأتي		DELETE_XM
قريبا	قريبا	UC
أن	إن	REPLACE_OH
شاء	شاء	UC
الله	الله	UC
لأن	لأن	UC
منطقة	منطقة	UC
