Document	Raw	Corrected	Operation
AR-030-268469	التركيز.	التركيز.	NO_CHANGE
AR-030-268469	و		DELETE
AR-030-268469	مضار	ومضار	EDIT
AR-030-268469	التواصل	التواصل	NO_CHANGE
AR-030-268469	الاجتماعي	الاجتماعي	NO_CHANGE
AR-030-268469	لم	لم	NO_CHANGE
AR-030-268469	يكتفي	تكتف	EDIT
AR-030-268469	بالأطفال	بالأطفال	NO_CHANGE
AR-030-268469	و		DELETE
AR-030-268469	المراهقين	والمراهقين	EDIT
AR-030-268469	فقط	فقط	NO_CHANGE
AR-030-268469	بل	بل	NO_CHANGE
AR-030-268469	على		DELETE
AR-030-268469	جميع	بجميع	EDIT
AR-030-268469	الفئات	الفئات	NO_CHANGE
AR-030-268469	العمريهز	العمرية.	EDIT
AR-030-268469	فكم	فكم	NO_CHANGE
AR-030-268469	من	من	NO_CHANGE
AR-030-268469	شخص	شخص	NO_CHANGE
AR-030-268469	قد	قد	NO_CHANGE
AR-030-268469	رحل	رحل	NO_CHANGE
AR-030-268469	من	من	NO_CHANGE
AR-030-268469	هذيه	هذه	EDIT
AR-030-268469	الدنيا	الدنيا	NO_CHANGE
AR-030-268469	بسبب	بسبب	NO_CHANGE
AR-030-268469	حادث	حادث	NO_CHANGE
AR-030-268469	سياره	سيارة،	EDIT
AR-030-268469	و		DELETE
AR-030-268469	سببه	وسببه	EDIT
AR-030-268469	الهاتف	الهاتف	NO_CHANGE
AR-030-268469	المتحرك	المتحرك	NO_CHANGE
AR-030-268469	ليتفقد	ليتفقد	NO_CHANGE
AR-030-268469	الشخص	الشخص	NO_CHANGE
AR-030-268469	صفحة	صفحة	NO_CHANGE
AR-030-268469	على	على	NO_CHANGE
AR-030-268469	مواقع	مواقع	NO_CHANGE
AR-030-268469	التواصل	التواصل	NO_CHANGE
AR-030-268469	الاجتماعي.	الاجتماعي.	NO_CHANGE
AR-030-268469	ايضا	أيضا	EDIT
AR-030-268469	مقارنتا	مقارنة	EDIT
AR-030-268469	فس		DELETE
AR-030-268469	ماجلس	بمجالس	EDIT
AR-030-268469	الشباب	الشباب	NO_CHANGE
AR-030-268469	سابقا	سابقا	NO_CHANGE
AR-030-268469	قبل	قبل	NO_CHANGE
AR-030-268469	ضهور	ظهور	EDIT
AR-030-268469	مواقع	مواقع	NO_CHANGE
AR-030-268469	التواصل,	التواصل،	EDIT
AR-030-268469	لرئيت	لرأيت	EDIT
AR-030-268469	شباب	شبابا	EDIT
AR-030-268469	يضحكون	يضحكون	NO_CHANGE
AR-030-268469	مع	مع	NO_CHANGE
AR-030-268469	بعضهم	بعضهم	NO_CHANGE
AR-030-268469	او	أو	EDIT
AR-030-268469	لربما	لربما	NO_CHANGE
AR-030-268469	يلعبون	يلعبون	NO_CHANGE
AR-030-268469	لعبتا	لعبة	EDIT
AR-030-268469	ما,	ما،	EDIT
AR-030-268469	اما	أما	EDIT
AR-030-268469	الان	الآن	EDIT
AR-030-268469	فترى	فترى	NO_CHANGE
AR-030-268469	شباب	شبابا	EDIT
AR-030-268469	جالسين	جالسين	NO_CHANGE
AR-030-268469	جمبهم	جنبهم	EDIT
AR-030-268469	الجمب	الجنب	EDIT
AR-030-268469	ولا	ولا	NO_CHANGE
AR-030-268469	يتكلمون	يتكلمون	NO_CHANGE
AR-030-268469	مع	مع	NO_CHANGE
AR-030-268469	بعضهم	بعضهم	NO_CHANGE
AR-030-268469	البعض	البعض	NO_CHANGE
AR-030-268469	و		DELETE
AR-030-268469	تراهم	وتراهم	EDIT
AR-030-268469	جميعا	جميعا	NO_CHANGE
AR-030-268469	على	على	NO_CHANGE
AR-030-268469	مواقع	مواقع	NO_CHANGE
AR-030-268469	التواصل	التواصل	NO_CHANGE
AR-030-268469	الاجتماعي.	الاجتماعي.	NO_CHANGE
AR-030-268469	التواصل	التواصل	NO_CHANGE
AR-030-268469	الاجتماعي	الاجتماعي	NO_CHANGE
AR-030-268469	اثر	أثر	EDIT
AR-030-268469	كثيرا	كثيرا	NO_CHANGE
AR-030-268469	على	على	NO_CHANGE
AR-030-268469	عاداتنا	عاداتنا	NO_CHANGE
AR-030-268469	كبشر	كبشر	NO_CHANGE
AR-030-268469	و		DELETE
AR-030-268469	كمجتمع.	وكمجتمع.	EDIT
AR-030-268469	و		DELETE
AR-030-268469	ترا	وترى	EDIT
AR-030-268469	ايضا	أيضا	EDIT
AR-030-268469	مرات	امرأة	EDIT
AR-030-268469	اما	إما	EDIT
AR-030-268469	مشغولة	مشغولة	NO_CHANGE
AR-030-268469	عن	عن	NO_CHANGE
AR-030-268469	ابنائها	أبنائها	EDIT
AR-030-268469	بالتواصل	بالتواصل	NO_CHANGE
AR-030-268469	الاجتماعي	الاجتماعي	NO_CHANGE
AR-030-268469	او	أو	EDIT
AR-030-268469	موضف	موظفا	EDIT
AR-030-268469	مشغول	مشغولا	EDIT
AR-030-268469	بهاتفه	بهاتفه	NO_CHANGE
AR-030-268469	اثناء	أثناء	EDIT
AR-030-268469	اوقات	أوقات	EDIT
AR-030-268469	الدوام.	الدوام.	NO_CHANGE
AR-030-268469	مواقع	مواقع	NO_CHANGE
AR-030-268469	التواصل	التواصل	NO_CHANGE
AR-030-268469	الاجتماعي	الاجتماعي	NO_CHANGE
AR-030-268469	كسيف	كسيف	NO_CHANGE
AR-030-268469	ذو	ذي	EDIT
AR-030-268469	حدين	حدين	NO_CHANGE
AR-030-268469	و		DELETE
AR-030-268469	لكن	ولكن	EDIT
AR-030-268469	اصبحت	أصبحت	EDIT
AR-030-268469	مضاره	مضارها	EDIT
AR-030-268469	اكثر	أكثر	EDIT
AR-030-268469	من	من	NO_CHANGE
AR-030-268469	منافعه.	منافعها.	EDIT
AR-030-268469	اصبح	أصبحت	EDIT
AR-030-268469	يميل	تميل	EDIT
AR-030-268469	الى	إلى	EDIT
AR-030-268469	نوع	نوع	NO_CHANGE
AR-030-268469	من	من	NO_CHANGE
AR-030-268469	انواع	أنواع	EDIT
AR-030-268469	الادمان	الإدمان	EDIT
AR-030-268469	الذي	الذي	NO_CHANGE
AR-030-268469	يجب	يجب	NO_CHANGE
AR-030-268469	الحذر	الحذر	NO_CHANGE
AR-030-268469	منه.	منه.	NO_CHANGE
AR-030-386369	تعد	تعد	NO_CHANGE
AR-030-386369	وسائل	وسائل	NO_CHANGE
AR-030-386369	التواصل	التواصل	NO_CHANGE
AR-030-386369	الاجتماعي	الاجتماعي	NO_CHANGE
AR-030-386369	من	من	NO_CHANGE
AR-030-386369	اكبر	أكبر	EDIT
AR-030-386369	المؤثرات	المؤثرات	NO_CHANGE
AR-030-386369	على	على	NO_CHANGE
AR-030-386369	الفرد	الفرد	NO_CHANGE
AR-030-386369	في	في	NO_CHANGE
AR-030-386369	مجتمعنا	مجتمعنا	NO_CHANGE
AR-030-386369	الحالي،	الحالي،	NO_CHANGE
AR-030-386369	وذلك	وذلك	NO_CHANGE
AR-030-386369	بسبب	بسبب	NO_CHANGE
AR-030-386369	ادمان	إدمان	EDIT
AR-030-386369	الفرد	الفرد	NO_CHANGE
AR-030-386369	على	على	NO_CHANGE
AR-030-386369	استخدامها	استخدامها	NO_CHANGE
AR-030-386369	بشكل	بشكل	NO_CHANGE
AR-030-386369	متواصل	متواصل	NO_CHANGE
AR-030-386369	ويومي.	ويومي.	NO_CHANGE
AR-030-386369	تتنوع	تتنوع	NO_CHANGE
AR-030-386369	المؤثرات	المؤثرات	NO_CHANGE
AR-030-386369		-	INSERT
AR-030-386369	منها	منها	NO_CHANGE
AR-030-386369	الايجابية	الإيجابية	EDIT
AR-030-386369	والسلبية	والسلبية	NO_CHANGE
AR-030-386369		-	INSERT
AR-030-386369	على	على	NO_CHANGE
AR-030-386369	الافراد	الأفراد	EDIT
AR-030-386369	في	في	NO_CHANGE
AR-030-386369	دولتنا،	دولتنا.	EDIT
AR-030-386369	الايجابية	الإيجابية	EDIT
AR-030-386369	منها	منها	NO_CHANGE
AR-030-386369	سرعة	سرعة	NO_CHANGE
AR-030-386369	التواصل	التواصل	NO_CHANGE
AR-030-386369	و		DELETE
AR-030-386369	سهولته	وسهولته	EDIT
AR-030-386369	وتنوعها	وتنوعه	EDIT
AR-030-386369	كالرسائل	كالرسائل	NO_CHANGE
AR-030-386369	الفورية	الفورية	NO_CHANGE
AR-030-386369	والصوتية	والصوتية	NO_CHANGE
AR-030-386369	والتواصلل	والتواصل	EDIT
AR-030-386369	المرئي	المرئي	NO_CHANGE
AR-030-386369	و		DELETE
AR-030-386369	الصوتي.	والصوتي.	EDIT
AR-030-386369	ايضا	أيضا	EDIT
AR-030-386369	يمكن	يمكن	NO_CHANGE
AR-030-386369	للفائدة	للفائدة	NO_CHANGE
AR-030-386369	ان	أن	EDIT
AR-030-386369	تشمل	تشمل	NO_CHANGE
AR-030-386369	الناس	الناس	NO_CHANGE
AR-030-386369	عامة	عامة	NO_CHANGE
AR-030-386369	في	في	NO_CHANGE
AR-030-386369	وظائفهم	وظائفهم	NO_CHANGE
AR-030-386369	من	من	NO_CHANGE
AR-030-386369	خلال	خلال	NO_CHANGE
AR-030-386369	تمكنهم	تمكنهم	NO_CHANGE
AR-030-386369	من	من	NO_CHANGE
AR-030-386369	استخدما	استخدام	EDIT
AR-030-386369	البريد	البريد	NO_CHANGE
AR-030-386369	الالكتروني	الإلكتروني	EDIT
AR-030-386369	والاجتماعات	والاجتماعات	NO_CHANGE
AR-030-386369		من	INSERT
AR-030-386369	خلال	خلال	NO_CHANGE
AR-030-386369	هذه	هذه	NO_CHANGE
AR-030-386369	الوسائل.	الوسائل.	NO_CHANGE
AR-030-386369	ومن	ومن	NO_CHANGE
AR-030-386369	السلبيات	السلبيات	NO_CHANGE
AR-030-386369	التي	التي	NO_CHANGE
AR-030-386369	تنتج	تنتج	NO_CHANGE
AR-030-386369	من	من	NO_CHANGE
AR-030-386369	وسائل	وسائل	NO_CHANGE
AR-030-386369	التواصل	التواصل	NO_CHANGE
AR-030-386369	الاجتماعي	الاجتماعي	NO_CHANGE
AR-030-386369	الابتزاز	الابتزاز	NO_CHANGE
AR-030-386369	الالكتروني	الإلكتروني	EDIT
AR-030-386369	وهي	وهي	NO_CHANGE
AR-030-386369	ظاهرة	ظاهرة	NO_CHANGE
AR-030-386369	منتشرة	منتشرة	NO_CHANGE
AR-030-386369	في	في	NO_CHANGE
AR-030-386369	الآوانه	الآونة	EDIT
AR-030-386369	الاخيرة	الأخيرة،	EDIT
AR-030-386369	وغير	وغير	NO_CHANGE
AR-030-386369	ذلك	ذلك	NO_CHANGE
AR-030-386369	اضاعة	إضاعة	EDIT
AR-030-386369	الوقت	الوقت	NO_CHANGE
AR-030-386369	الذي	الذي	NO_CHANGE
AR-030-386369	يمكن	يمكن	NO_CHANGE
AR-030-386369	استثمارة	استثماره	EDIT
AR-030-386369	بفائدة	بفائدة	NO_CHANGE
AR-030-386369	اخرى	أخرى.	EDIT
AR-030-386369	ومن	ومن	NO_CHANGE
AR-030-386369	امثلة	أمثلة	EDIT
AR-030-386369	اضاعة	إضاعة	EDIT
AR-030-386369	الوقت	الوقت	NO_CHANGE
AR-030-386369	قضاء	قضاء	NO_CHANGE
AR-030-386369	وقت	وقت	NO_CHANGE
AR-030-386369	العمل	العمل	NO_CHANGE
AR-030-386369	على	على	NO_CHANGE
AR-030-386369	وسائل	وسائل	NO_CHANGE
AR-030-386369	التواصل	التواصل	NO_CHANGE
AR-030-386369	الاجتماعي	الاجتماعي	NO_CHANGE
AR-030-386369	لإضاعته.	لإضاعته.	NO_CHANGE
AR-030-386369	ومن	ومن	NO_CHANGE
AR-030-386369	مؤثرات	مؤثرات	NO_CHANGE
AR-030-386369	الوسائل	الوسائل	NO_CHANGE
AR-030-386369	على	على	NO_CHANGE
AR-030-386369	المجتمع	المجتمع	NO_CHANGE
AR-030-386369	ان	أن	EDIT
AR-030-386369	تنتشر	تنتشر	NO_CHANGE
AR-030-386369	الاشاعات	الإشاعات	EDIT
AR-030-386369	التي	التي	NO_CHANGE
AR-030-386369	تولد	تولد	NO_CHANGE
AR-030-386369	وتزيد	وتزيد	NO_CHANGE
AR-030-386369	من	من	NO_CHANGE
AR-030-386369	المشاكل	المشاكل	NO_CHANGE
AR-030-386369	ومنها	ومنها	NO_CHANGE
AR-030-386369	المشاكل	المشاكل	NO_CHANGE
AR-030-386369	الاسرية	الأسرية	EDIT
AR-030-386369	والاجتماعية	والاجتماعية	NO_CHANGE
AR-030-386369	والسياسية	والسياسية	NO_CHANGE
AR-030-386369	وغيرها.	وغيرها.	NO_CHANGE
AR-030-386369	وعلى	وعلى	NO_CHANGE
AR-030-386369	سبيل	سبيل	NO_CHANGE
AR-030-386369	التأثير	التأثير	NO_CHANGE
AR-030-386369	الايجابي	الإيجابي	EDIT
AR-030-386369	من	من	NO_CHANGE
AR-030-386369	الممكن	الممكن	NO_CHANGE
AR-030-386369	ان	أن	EDIT
AR-030-386369	تنتشر	تنتشر	NO_CHANGE
AR-030-386369	التوعية	التوعية	NO_CHANGE
AR-030-386369	في	في	NO_CHANGE
AR-030-386369	بعض	بعض	NO_CHANGE
AR-030-386369	المجالات	المجالات	NO_CHANGE
AR-030-386369	على	على	NO_CHANGE
AR-030-386369	المجتمع	المجتمع	NO_CHANGE
AR-030-386369		من	INSERT
AR-030-386369	خلال	خلال	NO_CHANGE
AR-030-386369	وسائل	وسائل	NO_CHANGE
AR-030-386369	التواصل،	التواصل.	EDIT
AR-030-386369	ايضا	أيضا	EDIT
AR-030-386369	من	من	NO_CHANGE
AR-030-386369	الممكن	الممكن	NO_CHANGE
AR-030-386369	ان	أن	EDIT
AR-030-386369	تنتشر	تنتشر	NO_CHANGE
AR-030-386369	بعض	بعض	NO_CHANGE
AR-030-386369	الثقافات	الثقافات	NO_CHANGE
AR-030-386369	الايجابية	الإيجابية	EDIT
AR-030-386369	على	على	NO_CHANGE
AR-030-386369	المجتمع	المجتمع	NO_CHANGE
AR-030-386369	من	من	NO_CHANGE
AR-030-386369	خلال	خلال	NO_CHANGE
AR-030-386369	وسائل	وسائل	NO_CHANGE
AR-030-386369	التواصل	التواصل	NO_CHANGE
AR-030-386369	كالقراءة.	كالقراءة.	NO_CHANGE
AR-030-81027	قام	قام	NO_CHANGE
AR-030-81027	انتشارالوساءل	انتشار	EDIT
AR-030-81027		وسائل	INSERT
AR-030-81027	للتواصل	التواصل	EDIT
AR-030-81027	الاجتماعية	الاجتماعي	EDIT
AR-030-81027	بشكل	بشكل	NO_CHANGE
AR-030-81027	كبير	كبير	NO_CHANGE
AR-030-81027	و		DELETE
AR-030-81027	هذا	وهذا	EDIT
AR-030-81027	اثر	أثر	EDIT
AR-030-81027	على	على	NO_CHANGE
AR-030-81027	المجتمع	المجتمع	NO_CHANGE
AR-030-81027	بشكل	بشكل	NO_CHANGE
AR-030-81027	ايجابي	إيجابي	EDIT
AR-030-81027	و		DELETE
AR-030-81027	سلبي	وسلبي.	EDIT
AR-030-81027	من	من	NO_CHANGE
AR-030-81027	الاثار	الآثار	EDIT
AR-030-81027	الايجابي	الإيجابية	EDIT
AR-030-81027	للتواصل	للتواصل	NO_CHANGE
AR-030-81027	الاجتماعي	الاجتماعي	NO_CHANGE
AR-030-81027	هي		DELETE
AR-030-81027	التواصل	التواصل	NO_CHANGE
AR-030-81027	مع	مع	NO_CHANGE
AR-030-81027	الناس	الناس	NO_CHANGE
AR-030-81027	بشكل	بشكل	NO_CHANGE
AR-030-81027	اسهل	أسهل،	EDIT
AR-030-81027	.		DELETE
AR-030-81027	و		DELETE
AR-030-81027	من	ومن	EDIT
AR-030-81027	ال		DELETE
AR-030-81027	الاثار	الآثار	EDIT
AR-030-81027	ال		DELETE
AR-030-81027	سلبية	السلبية	EDIT
AR-030-81027	هيه		DELETE
AR-030-81027	انتشار	انتشار	NO_CHANGE
AR-030-81027	الكراهية	الكراهية	NO_CHANGE
AR-030-81027	و		DELETE
AR-030-81027	الفساد	والفساد	EDIT
AR-030-81027	بين	بين	NO_CHANGE
AR-030-81027	الناس.	الناس.	NO_CHANGE
AR-030-81757	وسائل	وسائل	NO_CHANGE
AR-030-81757	التواصل	التواصل	NO_CHANGE
AR-030-81757	الاجتماعي	الاجتماعي	NO_CHANGE
AR-030-81757	لقد	لقد	NO_CHANGE
AR-030-81757	تطورت	تطورت	NO_CHANGE
AR-030-81757	وسائل	وسائل	NO_CHANGE
AR-030-81757	المعرفه	المعرفة	EDIT
AR-030-81757	و		DELETE
AR-030-81757	التقدم	والتقدم	EDIT
AR-030-81757	و		DELETE
AR-030-81757	اجتاحت	واجتاحت	EDIT
AR-030-81757	وسائل	وسائل	NO_CHANGE
AR-030-81757	التواصل	التواصل	NO_CHANGE
AR-030-81757	الاجتماعي	الاجتماعي	NO_CHANGE
AR-030-81757	منازلنا	منازلنا	NO_CHANGE
AR-030-81757	،		DELETE
AR-030-81757	و		DELETE
AR-030-81757	حياتنا	وحياتنا	EDIT
AR-030-81757	و		DELETE
AR-030-81757	ايضا	وأيضا	EDIT
AR-030-81757	مائدة	مائدة	NO_CHANGE
AR-030-81757	طعامنا	طعامنا	NO_CHANGE
AR-030-81757	دون	دون	NO_CHANGE
AR-030-81757	استئذان	استئذان.	EDIT
AR-030-81757	،		DELETE
AR-030-81757	فللاسف	فللأسف	EDIT
AR-030-81757	اصبحت	أصبحت	EDIT
AR-030-81757	فرد	فردا	EDIT
AR-030-81757	من	من	NO_CHANGE
AR-030-81757	العائة	العائلة،	EDIT
AR-030-81757	،		DELETE
AR-030-81757	فرد	فردا	EDIT
AR-030-81757	غير	غير	NO_CHANGE
AR-030-81757	مرحب	مرحب	NO_CHANGE
AR-030-81757	به	به،	EDIT
AR-030-81757	ولكنه	ولكنه	NO_CHANGE
AR-030-81757	متواجد	متواجد	NO_CHANGE
AR-030-81757	رغما	رغما	NO_CHANGE
AR-030-81757	عنا	عنا،	EDIT
AR-030-81757	فقد	فقد	NO_CHANGE
AR-030-81757	اصبح	أصبح	EDIT
AR-030-81757	مسيطر	مسيطرا	EDIT
AR-030-81757	على	على	NO_CHANGE
AR-030-81757	خلايا	خلايا	NO_CHANGE
AR-030-81757	ادمغتنا	أدمغتنا	EDIT
AR-030-81757	و		DELETE
AR-030-81757	،		DELETE
AR-030-81757	حواسنا	وحواسنا.	EDIT
AR-030-81757	،		DELETE
AR-030-81757	لا	لا	NO_CHANGE
AR-030-81757	انكرر	أنكر	EDIT
AR-030-81757	بان	أن	EDIT
AR-030-81757	هذا	هذا	NO_CHANGE
AR-030-81757	الفرد	الفرد	NO_CHANGE
AR-030-81757	قرب	قرب	NO_CHANGE
AR-030-81757	لنا	لنا	NO_CHANGE
AR-030-81757	البعيد	البعيد،	EDIT
AR-030-81757	و		DELETE
AR-030-81757	لكن	ولكن	EDIT
AR-030-81757	مع	مع	NO_CHANGE
AR-030-81757	ذلك	ذلك	NO_CHANGE
AR-030-81757	ابعد	أبعد	EDIT
AR-030-81757	القرب	القريب،	EDIT
AR-030-81757	،و		DELETE
AR-030-81757	اصبحت	وأصبحت	EDIT
AR-030-81757	الاخبار	الأخبار	EDIT
AR-030-81757	بوجوده	بوجوده	NO_CHANGE
AR-030-81757	تصلنا	تصلنا	NO_CHANGE
AR-030-81757		بعد	INSERT
AR-030-81757	بالثواني	ثوان	EDIT
AR-030-81757	من	من	NO_CHANGE
AR-030-81757	حدوثها	حدوثها	NO_CHANGE
AR-030-81757	حتى	حتى	NO_CHANGE
AR-030-81757	ان	إن	EDIT
AR-030-81757	كانت	كانت	NO_CHANGE
AR-030-81757	من	من	NO_CHANGE
AR-030-81757	مشرق	مشرق	NO_CHANGE
AR-030-81757	الارض	الأرض	EDIT
AR-030-81757	او	أو	EDIT
AR-030-81757	مغربها	مغربها،	EDIT
AR-030-81757	،		DELETE
AR-030-81757	فهو	فهو	NO_CHANGE
AR-030-81757	يجمع	يجمع	NO_CHANGE
AR-030-81757	العالم	العالم	NO_CHANGE
AR-030-81757	كله	كله	NO_CHANGE
AR-030-81757	في	في	NO_CHANGE
AR-030-81757	شاشّه	شاشة	EDIT
AR-030-81757	لامعه	لامعة	EDIT
AR-030-81757	صغيره	صغيرة.	EDIT
AR-030-81757	،		DELETE
AR-030-81757	ولكن	ولكن	NO_CHANGE
AR-030-81757	لنتحدث	لنتحدث	NO_CHANGE
AR-030-81757	بكل	بكل	NO_CHANGE
AR-030-81757	اريحيه	أريحية	EDIT
AR-030-81757	و		DELETE
AR-030-81757	صراحه	وصراحة،	EDIT
AR-030-81757	،		DELETE
AR-030-81757	مواقع	مواقع	NO_CHANGE
AR-030-81757	التواصل	التواصل	NO_CHANGE
AR-030-81757	الاجتماعي	الاجتماعي	NO_CHANGE
AR-030-81757	اصبحت	أصبحت	EDIT
AR-030-81757	عباره	عبارة	EDIT
AR-030-81757	عن	عن	NO_CHANGE
AR-030-81757	اداة	أداة	EDIT
AR-030-81757	ذات	ذات	NO_CHANGE
AR-030-81757	حدين	حدين	NO_CHANGE
AR-030-81757	قد	قد	NO_CHANGE
AR-030-81757	تدمر	تدمر	NO_CHANGE
AR-030-81757	حياتك	حياتك	NO_CHANGE
AR-030-81757	او	أو	EDIT
AR-030-81757	حياه	حياة	EDIT
AR-030-81757	اي	أي	EDIT
AR-030-81757	شخص	شخص	NO_CHANGE
AR-030-81757	اخر	آخر	EDIT
AR-030-81757	بكبسة	بكبسة	NO_CHANGE
AR-030-81757	زر	زر،	EDIT
AR-030-81757	و		DELETE
AR-030-81757	قد	وقد	EDIT
AR-030-81757	تشرق	تشرق	NO_CHANGE
AR-030-81757	حياة	حياة	NO_CHANGE
AR-030-81757	احدهم	أحدهم	EDIT
AR-030-81757	من	من	NO_CHANGE
AR-030-81757	ذات	ذات	NO_CHANGE
AR-030-81757	كبسة	كبسة	NO_CHANGE
AR-030-81757	الزر	الزر	NO_CHANGE
AR-030-81757	تلك	تلك.	EDIT
AR-030-81757	،		DELETE
AR-030-81757	ولكن	ولكن	NO_CHANGE
AR-030-81757	هذا	هذا	NO_CHANGE
AR-030-81757	بالطبع	بالطبع	NO_CHANGE
AR-030-81757	هذا		DELETE
AR-030-81757	يعتمد	يعتمد	NO_CHANGE
AR-030-81757	علينا	علينا	NO_CHANGE
AR-030-81757	نحن	نحن	NO_CHANGE
AR-030-81757	كافراد	كأفراد	EDIT
AR-030-81757	،		DELETE
AR-030-81757	على	على	NO_CHANGE
AR-030-81757	مدى	مدى	NO_CHANGE
AR-030-81757	سيطرت	سيطرة	EDIT
AR-030-81757	تلك	تلك	NO_CHANGE
AR-030-81757	الشاشات	الشاشات	NO_CHANGE
AR-030-81757	علينا،	علينا.	EDIT
AR-030-81757	علينا	علينا	NO_CHANGE
AR-030-81757	عدم	عدم	NO_CHANGE
AR-030-81757	الاستسلام	الاستسلام	NO_CHANGE
AR-030-81757	و		DELETE
AR-030-81757	العيش	والعيش	EDIT
AR-030-81757	في	في	NO_CHANGE
AR-030-81757	عالم	عالم	NO_CHANGE
AR-030-81757	قد	قد	NO_CHANGE
AR-030-81757	يزول	يزول	NO_CHANGE
AR-030-81757	بمجرد	بمجرد	NO_CHANGE
AR-030-81757	ان	أن	EDIT
AR-030-81757	نطفئ	نطفئ	NO_CHANGE
AR-030-81757	الانترنت	الإنترنت،	EDIT
AR-030-81757	،		DELETE
AR-030-81757	علينا	علينا	NO_CHANGE
AR-030-81757	مزاولة	مزاولة	NO_CHANGE
AR-030-81757	العيش	العيش	NO_CHANGE
AR-030-81757		في	INSERT
AR-030-81757	فحياتنا	حياتنا	EDIT
AR-030-81757	الواقعيه	الواقعية.	EDIT
AR-030-81757	و		DELETE
AR-030-81757	مع	ومع	EDIT
AR-030-81757	ذلك	ذلك	NO_CHANGE
AR-030-81757	يجب	يجب	NO_CHANGE
AR-030-81757	علينا	علينا	NO_CHANGE
AR-030-81757	مواكبة	مواكبة	NO_CHANGE
AR-030-81757	التطور	التطور	NO_CHANGE
AR-030-81757	و		DELETE
AR-030-81757	لكن	ولكن	EDIT
AR-030-81757	ليس	ليس	NO_CHANGE
AR-030-81757	للحد	للحد	NO_CHANGE
AR-030-81757	الذي	الذي	NO_CHANGE
AR-030-81757	يجعلنا	يجعلنا	NO_CHANGE
AR-030-81757	ننسى	ننسى	NO_CHANGE
AR-030-81757	من	من	NO_CHANGE
AR-030-81757	نحن،	نحن	EDIT
AR-030-81757	او	أو	EDIT
AR-030-81757	من	من	NO_CHANGE
AR-030-81757	حولنا	حولنا.	EDIT
AR-030-81757	،		DELETE
AR-030-81757	و		DELETE
AR-030-81757	بالاخير	وبالأخير	EDIT
AR-030-81757	لكل	لكل	NO_CHANGE
AR-030-81757		شيء	INSERT
AR-030-81757	شيمضار	مضار	EDIT
AR-030-81757	و		DELETE
AR-030-81757	منافع	ومنافع	EDIT
AR-030-81757	و		DELETE
AR-030-81757	علينا	وعلينا	EDIT
AR-030-81757	توخي	توخي	NO_CHANGE
AR-030-81757	الحذر	الحذر	NO_CHANGE
AR-030-81757	و		DELETE
AR-030-81757	توسيع	وتوسيع	EDIT
AR-030-81757	مدارك	مدارك	NO_CHANGE
AR-030-81757	افكارنا	أفكارنا	EDIT
AR-030-81757	و		DELETE
AR-030-81757	تحمل	وتحمل	EDIT
AR-030-81757	مسؤولية	مسؤولية	NO_CHANGE
AR-030-81757	افعالنا	أفعالنا،	EDIT
AR-030-81757	فهي	فهي	NO_CHANGE
AR-030-81757	ستؤثر	ستؤثر	NO_CHANGE
AR-030-81757	علينا	علينا	NO_CHANGE
AR-030-81757	،		DELETE
AR-030-81757	وعلى	وعلى	NO_CHANGE
AR-030-81757	عوائلنا	عوائلنا	NO_CHANGE
AR-030-81757	و		DELETE
AR-030-81757	مجتمعنا	ومجتمعنا.	EDIT
