SOURCE	TARGET
الاجتماعي	الاجتماعي	UC
اثر	أثر	REPLACE_OH
كثيرا	كثيرا	UC
على	على	UC
عاداتنا	عاداتنا	UC
كبشر	كبشر	UC
و كمجتمع	وكمجتمع	MERGE
و ترا	وترى	REPLACE_O
ايضا	أيضا	REPLACE_OH
مرات	امرأة	REPLACE_SW
اما	إما	REPLACE_OH
مشغولة	مشغولة	UC
عن	عن	UC
ابنائها	أبنائها	REPLACE_OH
بالتواصل	بالتواصل	UC
الاجتماعي	الاجتماعي	UC
او	أو	REPLACE_OH
موضف	موظفا	REPLACE_OR+REPLACE_XC
مشغول	مشغولا	REPLACE_XC
بهاتفه	بهاتفه	UC
اثناء	أثناء	REPLACE_OH
اوقات	أوقات	REPLACE_OH
الدوام	الدوام	UC
مواقع	مواقع	UC
التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
كسيف	كسيف	UC
ذو	ذي	REPLACE_OR
حدين	حدين	UC
و لكن	ولكن	MERGE
اصبحت	أصبحت	REPLACE_OH
مضاره	مضارها	REPLACE_MI
اكثر	أكثر	REPLACE_OH
من	من	UC
منافعه	منافعها	REPLACE_MI
اصبح	أصبحت	REPLACE_OH+REPLACE_XG
يميل	تميل	REPLACE_MI
الى	إلى	REPLACE_OH
نوع	نوع	UC
من	من	UC
انواع	أنواع	REPLACE_OH
الادمان	الإدمان	REPLACE_OH
الذي	الذي	UC
يجب	يجب	UC
الحذر	الحذر	UC
منه	منه	UC

قام	قام	UC
انتشارالوساءل	انتشار وسائل	REPLACE_X
للتواصل	التواصل	REPLACE_XT
الاجتماعية	الاجتماعي	REPLACE_XG
بشكل	بشكل	UC
كبير	كبير	UC
و هذا	وهذا	MERGE
اثر	أثر	REPLACE_OH
على	على	UC
المجتمع	المجتمع	UC
بشكل	بشكل	UC
ايجابي	إيجابي	REPLACE_OH
و سلبي	وسلبي	MERGE
من	من	UC
الاثار	الآثار	REPLACE_OH
الايجابي	الإيجابية	REPLACE_OH+REPLACE_XG
للتواصل	للتواصل	UC
الاجتماعي	الاجتماعي	UC
هي		DELETE_XM
التواصل	التواصل	UC
مع	مع	UC
الناس	الناس	UC
بشكل	بشكل	UC
اسهل	أسهل	REPLACE_OH
و من	ومن	MERGE
ال		DELETE_XM
الاثار	الآثار	REPLACE_OH
ال سلبية	السلبية	MERGE
هيه		DELETE_XM
انتشار	انتشار	UC
الكراهية	الكراهية	UC
و الفساد	والفساد	MERGE
بين	بين	UC
الناس	الناس	UC

وسائل	وسائل	UC
التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
لقد	لقد	UC
تطورت	تطورت	UC
وسائل	وسائل	UC
المعرفه	المعرفة	REPLACE_OT
و التقدم	والتقدم	MERGE
و اجتاحت	واجتاحت	MERGE
وسائل	وسائل	UC
التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
منازلنا	منازلنا	UC
و حياتنا	وحياتنا	MERGE
و ايضا	وأيضا	REPLACE_O
مائدة	مائدة	UC
طعامنا	طعامنا	UC
دون	دون	UC
استئذان	استئذان	UC
فللاسف	فللأسف	REPLACE_OH
اصبحت	أصبحت	REPLACE_OH
فرد	فردا	REPLACE_XC
من	من	UC
العائة	العائلة	REPLACE_OM
فرد	فردا	REPLACE_XC
غير	غير	UC
مرحب	مرحب	UC
به	به	UC
ولكنه	ولكنه	UC
متواجد	متواجد	UC
رغما	رغما	UC
عنا	عنا	UC
فقد	فقد	UC
اصبح	أصبح	REPLACE_OH
مسيطر	مسيطرا	REPLACE_XC
على	على	UC
خلايا	خلايا	UC
ادمغتنا	أدمغتنا	REPLACE_OH
و حواسنا	وحواسنا	MERGE
لا	لا	UC
انكرر	أنكر	REPLACE_OH
بان	أن	REPLACE_SW
هذا	هذا	UC
الفرد	الفرد	UC
قرب	قرب	UC
لنا	لنا	UC
البعيد	البعيد	UC
و لكن	ولكن	MERGE
مع	مع	UC
ذلك	ذلك	UC
ابعد	أبعد	REPLACE_OH
القرب	القريب	REPLACE_OM
و اصبحت	وأصبحت	REPLACE_O
الاخبار	الأخبار	REPLACE_OH
بوجوده	بوجوده	UC
تصلنا	تصلنا	UC
بالثواني	بعد ثوان	UNK
من	من	UC
حدوثها	حدوثها	UC
حتى	حتى	UC
ان	إن	REPLACE_OH
كانت	كانت	UC
من	من	UC
مشرق	مشرق	UC
الارض	الأرض	REPLACE_OH
او	أو	REPLACE_OH
مغربها	مغربها	UC
فهو	فهو	UC
يجمع	يجمع	UC
العالم	العالم	UC
كله	كله	UC
في	في	UC
شاشه	شاشة	REPLACE_OT
لامعه	لامعة	REPLACE_OT
صغيره	صغيرة	REPLACE_OT
ولكن	ولكن	UC
لنتحدث	لنتحدث	UC
بكل	بكل	UC
اريحيه	أريحية	REPLACE_OH+REPLACE_OT
و صراحه	وصراحة	REPLACE_O
مواقع	مواقع	UC
التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
اصبحت	أصبحت	REPLACE_OH
عباره	عبارة	REPLACE_OT
عن	عن	UC
اداة	أداة	REPLACE_OH
ذات	ذات	UC
حدين	حدين	UC
قد	قد	UC
تدمر	تدمر	UC
حياتك	حياتك	UC
او	أو	REPLACE_OH
حياه	حياة	REPLACE_OT
اي	أي	REPLACE_OH
شخص	شخص	UC
اخر	آخر	REPLACE_OH
بكبسة	بكبسة	UC
زر	زر	UC
و قد	وقد	MERGE
تشرق	تشرق	UC
حياة	حياة	UC
احدهم	أحدهم	REPLACE_OH
من	من	UC
ذات	ذات	UC
كبسة	كبسة	UC
الزر	الزر	UC
تلك	تلك	UC
ولكن	ولكن	UC
هذا	هذا	UC
بالطبع	بالطبع	UC
هذا		DELETE_XM
يعتمد	يعتمد	UC
علينا	علينا	UC
نحن	نحن	UC
كافراد	كأفراد	REPLACE_OH
على	على	UC
مدى	مدى	UC
سيطرت	سيطرة	REPLACE_OT
تلك	تلك	UC
الشاشات	الشاشات	UC
علينا	علينا	UC
علينا	علينا	UC
عدم	عدم	UC
الاستسلام	الاستسلام	UC
و العيش	والعيش	MERGE
في	في	UC
عالم	عالم	UC
قد	قد	UC
يزول	يزول	UC
بمجرد	بمجرد	UC
ان	أن	REPLACE_OH
نطفئ	نطفئ	UC
الانترنت	الإنترنت	REPLACE_OH
علينا	علينا	UC
مزاولة	مزاولة	UC
العيش	العيش	UC
فحياتنا	في حياتنا	REPLACE_S
الواقعيه	الواقعية	REPLACE_OT
و مع	ومع	MERGE
ذلك	ذلك	UC
يجب	يجب	UC
علينا	علينا	UC
مواكبة	مواكبة	UC
التطور	التطور	UC
و لكن	ولكن	MERGE
ليس	ليس	UC
للحد	للحد	UC
الذي	الذي	UC
يجعلنا	يجعلنا	UC
ننسى	ننسى	UC
من	من	UC
نحن	نحن	UC
او	أو	REPLACE_OH
من	من	UC
حولنا	حولنا	UC
و بالاخير	وبالأخير	UNK
لكل	لكل	UC
شيمضار	شيء مضار	REPLACE_X
و منافع	ومنافع	MERGE
و علينا	وعلينا	MERGE
توخي	توخي	UC
الحذر	الحذر	UC
و توسيع	وتوسيع	MERGE
مدارك	مدارك	UC
افكارنا	أفكارنا	REPLACE_OH
و تحمل	وتحمل	MERGE
مسؤولية	مسؤولية	UC
افعالنا	أفعالنا	REPLACE_OH
فهي	فهي	UC
ستؤثر	ستؤثر	UC
علينا	علينا	UC
وعلى	وعلى	UC
عوائلنا	عوائلنا	UC
و مجتمعنا	ومجتمعنا	MERGE
فلكم	فلكم	UC
ان	أن	REPLACE_OH
تتخيلوا	تتخيلوا	UC
مجتمع	مجتمعا	REPLACE_XC
كامل	كاملا	REPLACE_XC
يقتات	يقتات	UC
في	في	UC
احدى	إحدى	REPLACE_OH
هذه	هذه	UC
الشاشات	الشاشات	UC
و يحيى	ويحيا	REPLACE_O
بين	بين	UC
كبسة	كبسة	UC
زر	زر	UC
و اخرى	وأخرى	REPLACE_O
و الاشاعات	والإشاعات	REPLACE_O
تجتاحه	تجتاحه	UC
بالطبع	بالطبع	UC
سيدمر	سيدمر	UC
من	من	UC
اساسه	أساسه	REPLACE_OH
حتى	حتى	UC
اخره	آخره	REPLACE_OH
واخيرا	وأخيرا	REPLACE_OH
مثلما	مثلما	UC
قلت	قلت	UC
علينا	علينا	UC
توخي	توخي	UC
الحذر	الحذر	UC
دائما	دائما	UC
و ابدا	وأبدا	REPLACE_O

من	من	UC
اشهر	أشهر	REPLACE_OH
وساءل	وسائل	REPLACE_OH
الاتصال	الاتصال	UC
بالآخرين	بالآخرين	UC
هي	هي	UC
الاجتماعية	الاجتماعية	UC

التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
من	من	UC
اخطر	أخطر	REPLACE_OH
الاشياء	الأشياء	REPLACE_OH
لانها	لأنه	REPLACE_OH+REPLACE_XG
تبعدنا	يبعدنا	REPLACE_MI
عن	عن	UC
والدينا	والدينا	UC
و لا	ولا	MERGE
تعطينا	يعطينا	REPLACE_MI
الوقت	الوقت	UC
الكافي	الكافي	UC
للجلوس	للجلوس	UC
معهم	معهم	UC
وذالك	وذلك	REPLACE_OD
يوثر	يؤثر	REPLACE_OR
في	في	UC
عقولنا	عقولنا	UC
و تصرفاتنا	وتصرفاتنا	MERGE
بشكل	بشكل	UC
سلبي	سلبي	UC
وليس	وليس	UC
جيدا	جيدا	UC
ابدا	أبدا	REPLACE_OH
لذالك	لذلك	REPLACE_OD
يجب	يجب	UC
علينا	علينا	UC
ان	أن	REPLACE_OH
لا	لا	UC
نستخدمها	نستخدمه	REPLACE_XG
كثيرا	كثيرا	UC
وننتبه	وننتبه	UC
لها	له	REPLACE_XG

التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
له	له	UC
اثر	أثر	REPLACE_OH
جدا	جدا	UC
كبير	كبير	UC
في	في	UC
مجتمعنا	مجتمعنا	UC
الحالي	الحالي	UC
الانترنت	الإنترنت	REPLACE_OH
غير	غير	UC
الانسان	الإنسان	REPLACE_OH
بشكل	بشكل	UC
غير	غير	UC
طبيعي	طبيعي	UC
و في	وفي	MERGE
راي	رأيي	REPLACE_SW
غير	غير	UC
الانسان	الإنسان	REPLACE_OH
للاسوء	للأسوأ	REPLACE_OH
لان	لأنه	REPLACE_SW
مشغول	مشغول	UC
طوال	طوال	UC
اليوم	اليوم	UC
يتواصل	يتواصل	UC
مع	مع	UC
النسان	الناس	REPLACE_OD+REPLACE_OR
و لم	ولم	MERGE
يكون	يكن	REPLACE_XC
لديه	لديه	UC
اي	أي	REPLACE_OH
وقت	وقت	UC
فراغ	فراغ	UC
ليجلس	ليجلس	UC
مع	مع	UC
اهله	أهله	REPLACE_OH
و عاءلته	وعائلته	UNK
لم	لم	UC
انكر	أنكر	REPLACE_OH
فيه	فيه	UC
اجابيات	إيجابيات	REPLACE_OM+REPLACE_OR
كثيرة	كثيرة	UC
مثل	مثل	UC
ممكن	تمكن	REPLACE_OR
الانسان	الإنسان	REPLACE_OH
	من	INSERT_XM
التواصل	التواصل	UC
مع	مع	UC
فرد	فرد	UC
برع	خارج	REPLACE_SW
الدولة	الدولة	UC
و ممكن	وممكن	MERGE
ايضا	أيضا	REPLACE_OH
اي	أن	REPLACE_SW
يبحث	يبحث	UC
عن	عن	UC
معلومات	معلومات	UC
في	في	UC
قوقل	جوجل	REPLACE_OR
ليساعدهم	ليساعده	REPLACE_MI
في	في	UC
مثلا	مثلا	UC
واجب	واجب	UC
المجتمع	المجتمع	UC
تحسن	تحسن	UC
بسبب	بسبب	UC
التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
في	في	UC
التكنولوجيا	التكنولوجيا	UC
الذي	الذي	UC
ساعد	ساعد	UC
في	في	UC
تطور	تطور	UC
الدولة	الدولة	UC
و العالم	والعالم	MERGE
و الفرد	والفرد	MERGE
يريد	يريد	UC
ان	أن	REPLACE_OH
يطور	يطور	UC
مجتمعه	مجتمعه	UC
و ليطور	وليطور	MERGE
مجتمع	مجتمع	UC
يحتاج	يحتاج	UC
الى	إلى	REPLACE_OH
التواصل	التواصل	UC
الاجماعي	الاجتماعي	REPLACE_OM
عشان	لكي	REPLACE_SW
يعرف	يعرف	UC
المجتمع	المجتمع	UC
الى	إلى	REPLACE_OH
اي	أي	REPLACE_OH
حد	حد	UC
مطور	مطور	UC
ليعمل	ليعمل	UC
شيء	شيئا	REPLACE_XC
جديد	جديدا	REPLACE_XC
و غير	وغير	MERGE
مالوف	مألوف	REPLACE_OH
لان	لأن	REPLACE_OH
في هذه	بهذه	REPLACE_S
الطريقة	الطريقة	UC
المجتمع	المجتمع	UC
ستطور	سيتطور	REPLACE_OM
الى	إلى	REPLACE_OH
الافضل	الأفضل	REPLACE_OH
في	فيه	REPLACE_MI
طرف	طرف	UC
ثاني	ثان	REPLACE_XC
لتواصل	للتواصل	REPLACE_OM
الاجتماعيي	الاجتماعي	REPLACE_OD+REPLACE_OG
مثل	مثل	UC
instgr	إنستجرام	REPLACE_X
twitter	و	UNK
sncht	تويتر	REPLACE_X
	و	INSERT_XM
	سنابتشات	INSERT_XM
هذه	هذه	UC
البرامج	البرامج	UC
تستخدمانها	يستخدمونها	REPLACE_XN
ليتواصلوا	ليتواصلوا	UC
مع	مع	UC
اصدقااهم	أصدقائهم	REPLACE_OH
و احباءهم	وأحبائهم	UNK
و ممكن	وممكن	MERGE
	أن	INSERT_XM
يرسلوا	يرسلوا	UC
صور	صورا	REPLACE_XC+REPLACE_XN
او	أو	REPLACE_OH
فديو	فيديو	REPLACE_OM
لبعض	لبعضهم	REPLACE_MI
ليعرفوا	ليعرفوا	UC
اخبار	أخبار	REPLACE_OH
بعض	بعض	UC
هاذا	هذا	REPLACE_OD
الشيء	الشيء	UC
جيد	جيد	UC
اذا	إذا	REPLACE_OH
استخدموها	استخدموه	REPLACE_XG
بالطريقة	بالطريقة	UC
الصحيحة	الصحيحة	UC
و اذا	وإذا	REPLACE_O
استخدموها	استخدموه	REPLACE_XG
بطريقة	بطريقة	UC
الخاطءة	خاطئة	REPLACE_OH+REPLACE_XF
سيفسد	سيفسد	UC
المجتمع	المجتمع	UC
بشكل	بشكل	UC
بكير	كبير	REPLACE_OC
و خاطء	وخاطئ	REPLACE_O

خلق	خلق	UC
الله	الله	UC
تعالى	تعالى	UC
هذه	هذه	UC
الامم	الأمم	REPLACE_OH
و الشعوب	والشعوب	MERGE
للتعارف	للتعارف	UC
و التفاهم	والتفاهم	MERGE
و منها التصالح	والتصالح	REPLACE_X
مع	مع	UC
بعضهما	بعضهم	REPLACE_MI
الاخر	البعض	REPLACE_SW
التسامح	التسامح	UC
شئ	شيء	REPLACE_OM
مهم	مهم	UC
في	في	UC
حياتنا	حياتنا	UC
اليوميه	اليومية	REPLACE_OT
و الدينيه	والدينية	REPLACE_O
و للتسامح	وللتسامح	MERGE
العديد	العديد	UC
من	من	UC
الفوائد	الفوائد	UC
منها	منها	UC
تعريف	تعريف	UC
الناس	الناس	UC
على	على	UC
بعضهم	بعضهم	UC
البعض	البعض	UC
وعلى	وعلى	UC
الثقافات	الثقافات	UC
والحضارات	والحضارات	UC
والعلوم	والعلوم	UC
الموجودة	الموجودة	UC
لدى	لدى	UC
الآخرين	الآخرين	UC
و قد	وقد	MERGE
يتسبب	يتسبب	UC
التسامح	التسامح	UC
بشعور	بشعور	UC
الأمن	الأمن	UC
والأمان	والأمان	UC
يعتقد	يعتقد	UC
الكثير	الكثير	UC
من	من	UC
الناس	الناس	UC
ان	أن	REPLACE_OH
التطور	التطور	UC
هو	هو	UC
استخدام	استخدام	UC
كل	كل	UC
ماهو	ما هو	SPLIT
جديد	جديد	UC
او	أو	REPLACE_OH
حديث	حديث	UC
ولاكن	ولكن	REPLACE_OD
مفهوم	مفهوم	UC
التطور	التطور	UC
هو	هو	UC
استكشاف	استكشاف	UC
اشياء	أشياء	REPLACE_OH
موجوده	موجودة	REPLACE_OT
قديمه	قديمة	REPLACE_OT
تنفع	تنفع	UC
لللمستقبل	للمستقبل	REPLACE_OD
و القيام	والقيام	MERGE
باعادت	بإعادة	REPLACE_OH+REPLACE_OT
صناعتها	صناعتها	UC
لكي	لكي	UC
تبقى	تبقى	UC
صامده	صامدة	REPLACE_OT
التطور	التطور	UC
الحضاري	الحضاري	UC
في	في	UC
دولة	دولة	UC
الإمارات	الإمارات	UC
بدأ	بدأ	UC
من	من	UC
اكتشاف	اكتشاف	UC
المواهب	المواهب	UC
الموجوده	الموجودة	REPLACE_OT
في	في	UC
افراد	أفراد	REPLACE_OH
المجتمع	المجتمع	UC
و تعزيزهم	وتعزيزهم	MERGE
في	في	UC
إظهارها	إظهارها	UC
دولة	للدولة	REPLACE_OM
للإستفاده	للإستفادة	REPLACE_OT
منها	منها	UC
و من	ومن	MERGE
هذا	هذا	UC
الشئ	الشيء	REPLACE_OM
بدأت	بدأت	UC
دولة	دولة	UC
الإمارات	الإمارات	UC
بالتطور	بالتطور	UC
و مساعدة	ومساعدة	MERGE
الدول	الدول	UC
الآخرى	الأخرى	REPLACE_OH
ما	ما	UC
يتميز	يتميز	UC
به	به	UC
العصر	العصر	UC
الحديث	الحديث	UC
هو	هو	UC
التقدم	التقدم	UC
الكبير	الكبير	UC
في	في	UC
تكنولوجيا	تكنولوجيا	UC
الاتصال	الاتصال	UC
و التواصل	والتواصل	MERGE
ظهرت	ظهرت	UC
هذه	هذه	UC
الوسائل	الوسائل	UC
كأنجاز	كإنجاز	REPLACE_OH
حضاري	حضاري	UC
إستنتجته	استنتجته	REPLACE_OH
العقول	العقول	UC
الذكيه	الذكية	REPLACE_OT
العملاقه	العملاقة	REPLACE_OT
لقد	لقد	UC
آثرت	أثرت	REPLACE_OH
الكتنولوجيا	التكنولوجيا	REPLACE_OC
على	على	UC
العالم	العالم	UC
باكمله	بأكمله	REPLACE_OH
لدى	لدى	UC
التكنولوجيا	التكنولوجيا	UC
العديد	العديد	UC
من	من	UC
السلبيات	السلبيات	UC
و الايجابيات	والإيجابيات	REPLACE_O
و لاكن	ولكن	REPLACE_O
الكثير	الكثير	UC
من	من	UC
السلبيات	السلبيات	UC
علينا	علينا	UC
ان	أن	REPLACE_OH
لا	لا	UC
نهملها	نهملها	UC
او	أو	REPLACE_OH
نتجاهلها	نتجاهلها	UC
و انها	وإنها	UNK
مدخل	مدخل	UC
مناسب	مناسب	UC
للأعداء	للأعداء	UC
لتتبع	لتتبع	UC
الشباب	الشباب	UC
ومتابعة	ومتابعة	UC
أنشطتهم	أنشطتهم	UC
المختلفة	المختلفة	UC
و ان	وإن	REPLACE_O
التكنولوجيا	التكنولوجيا	UC
مكان	مكان	UC
مناسب	مناسب	UC
للتخطيط	للتخطيط	UC
لنشر	لنشر	UC
الجريمة	الجريمة	UC
والتطرف	والتطرف	UC
أحيانا	أحيانا	UC

تسامحوا	تسامحوا	UC
تسامحوا	تسامحوا	UC
لا	لا	UC
شك	شك	UC
كل	كل	UC
إنسان	إنسان	UC
يخطو	يخطو	UC
على	على	UC
هذه	هذه	UC
الأرض	الأرض	UC
قد	قد	UC
مر	مر	UC
من	من	UC
قبل	قبل	UC
يمواقف	بمواقف	REPLACE_OR
كثيرة	كثيرة	UC
يقشعر	يقشعر	UC
لبعضها	لبعضها	UC
البدن	البدن	UC
و بعضها	وبعضها	MERGE
قد	قد	UC
تكون	يكون	REPLACE_MI
بنظره	بنظره	UC
لا	لا	UC
تغتفر	تغتفر	UC
في	في	UC
حين	حين	UC
أن	أن	UC
البعض	البعض	UC
الآخر	الآخر	UC
قد	قد	UC
لا	لا	UC
يلقي	يلقي	UC
لها	لها	UC
بالا	بالا	UC
أو	أو	UC
يرى	يرى	UC
بأنها	أنها	REPLACE_XT
أتفه	أتفه	UC
من	من	UC
أن	أن	UC
تجعله	تجعله	UC
يتجاهل	يتجاهل	UC
وجود	وجود	UC
شخص	شخص	UC
ما	ما	UC
و هنا	وهنا	MERGE
يأتي	يأتي	UC
الأمر	الأمر	UC
فتكون	فتكون	UC
المعضلة	المعضلة	UC
في	في	UC
الشخص	الشخص	UC
نفسه	نفسه	UC
و في	وفي	MERGE
كيف	كيف	UC
سختار	سيختار	REPLACE_OM
ما	ما	UC
سيتصرف	سيتصرف	UC
به	به	UC
وما	وما	UC
إذا	إذا	UC
كان	كان	UC
سيسامح	سيسامح	UC
أم	أم	UC
لا	لا	UC
لقد	لقد	UC
حثنا	حثنا	UC
الدين	الدين	UC
الإسلامي	الإسلامي	UC
البليغ	البليغ	UC
على	على	UC
ثقافة	ثقافة	UC
التسامح	التسامح	UC
و رفع	ورفع	MERGE
من	من	UC
شأنه	شأنه	UC
و لعل	ولعل	MERGE
أول	أول	UC
سبب	سبب	UC
يجعلنا	يجعلنا	UC
لا	لا	UC
نتهاون	نتهاون	UC
فيه	فيه	UC
هو	هو	UC
أن	أن	UC
القطيعة	القطيعة	UC
لمدة	لمدة	UC
تزيد	تزيد	UC
عن	عن	UC
ثلاثة	ثلاثة	UC
أيام	أيام	UC
تضعنا	تضعنا	UC
تحت	تحت	UC
خطر	خطر	UC
جسيم	جسيم	UC
و هو	وهو	MERGE
أن	أن	UC
أعمالنا	أعمالنا	UC
لا	لا	UC
ترفع	ترفع	UC
و لا	ولا	MERGE
تقبل	تقبل	UC
حتى	حتى	UC
تنهي	تنهى	REPLACE_OA
هذه	هذه	UC
القطيعة	القطيعة	UC
فالبنسبة	فبالنسبة	REPLACE_MI+REPLACE_OD
لي	لي	UC
هذا	هذا	UC
السبب	السبب	UC
أكثر	أكثر	UC
من	من	UC
كافي	كاف	REPLACE_XN
حتى	حتى	UC
أسامح	أسامح	UC
غيري	غيري	UC
فلو	فلو	UC
حاولنا	حاولنا	UC
أن	أن	UC
نكون	نكون	UC
متسامحين	متسامحين	UC
يمكننا	يمكننا	UC
بذلك	بذلك	UC
أن	أن	UC
نكون	نكون	UC
قدوة	قدوة	UC
لغيرنا	لغيرنا	UC
كما	كما	UC
أن	أن	UC
نشر	نشر	UC
الوعي	الوعي	UC
بشأن	بشأن	UC
هذا	هذا	UC
الأمر	الأمر	UC
سيعزز	سيعزز	UC
من	من	UC
ثقافة	ثقافة	UC
التسامح	التسامح	UC
في	في	UC
المجتمع	المجتمع	UC
خصيصا	خصيصا	UC
لو	لو	UC
رأى	رأى	UC
الناس	الناس	UC
أن	أن	UC
هذا	هذا	UC
الأمر	الأمر	UC
و هو	وهو	MERGE
المسامحة	المسامحة	UC
أصبح	أصبح	UC
شائعا	شائعا	UC
في	في	UC
أحيائهم	أحيائهم	UC
سينساقون	سينساقون	UC
خلفهم	خلفه	REPLACE_MI
لا	لا	UC
شعوريا	شعوريا	UC
فمن	فمن	UC
عاشر	عاشر	UC
قوم	قوما	REPLACE_XC
أصبح	أصبح	UC
مثلهم	مثلهم	UC
ختاما	ختاما	UC
علينا	علينا	UC
أن	أن	UC
لا	لا	UC
ننسى	ننسى	UC
كم	كم	UC
من	من	UC
الأخطاء	الأخطاء	UC
التي	التي	UC
ارتكبناها	ارتكبناها	UC
في	في	UC
حياتنا	حياتنا	UC
و التي	والتي	MERGE
ريما	ربما	REPLACE_OR
لازلنا	لا زلنا	SPLIT
نستمر	نستمر	UC
في	في	UC
ارتكابها	ارتكابها	UC
و لكن	ولكن	MERGE
يظل	يظل	UC
الله	الله	UC
يسامحنا	يسامحنا	UC
عليها	عليها	UC
فسامحوا	فسامحوا	UC
من	من	UC
في	في	UC
الأرض	الأرض	UC
يسامحكم	يسامحكم	UC
من	من	UC
في	في	UC
السماء	السماء	UC

ما	ما	UC
يتميز	يتميز	UC
به	به	UC
العصر	العصر	UC
الحديث	الحديث	UC
هو	هو	UC
التقدم	التقدم	UC
من	في	REPLACE_SW
التكنلوجيا	التكنولوجيا	REPLACE_OH+REPLACE_OM
و صفات	وصفات	MERGE
التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
متعدده	متعددة	REPLACE_OT
في	في	UC
انواع	أنواع	REPLACE_OH
و اشكال	وأشكال	REPLACE_O
عبر		DELETE_XM
التكنلوجيا	التكنولوجيا	REPLACE_OH+REPLACE_OM
هو متطور	المتطورة	UNK
اكثر	أكثر	REPLACE_OH
يوجد	توجد	REPLACE_MI
اضرار	أضرار	REPLACE_OH
كبيره	كبيرة	REPLACE_OT
في	في	UC
التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
و هما	وهي	REPLACE_S
الانشغال	الانشغال	UC
عن	عن	UC
اداء	أداء	REPLACE_OH
بعض	بعض	UC
الواجبات	الواجبات	UC
سواء	سواء	UC
الاسريه	الأسرية	REPLACE_OH+REPLACE_OT
ام	أو	REPLACE_SW
