SOURCE	TARGET
الاجتماعي	الاجتماعي	UC
آثر	أثر	REPLACE_OH
كثيرا	كثيرا	UC
على	على	UC
عاداتنا	عاداتنا	UC
كبشر	كبشر	UC
و كمجتمع	وكمجتمع	MERGE
.	.	UC
و ترأ	وترى	REPLACE_O
أيضا	أيضا	UC
مرات	امرأة	REPLACE_SW
إما	إما	UC
مشغولة	مشغولة	UC
عن	عن	UC
أبنائها	أبنائها	UC
بالتواصل	بالتواصل	UC
الاجتماعي	الاجتماعي	UC
أو	أو	UC
موضف	موظفا	REPLACE_OR+REPLACE_XC
مشغول	مشغولا	REPLACE_XC
بهاتفة	بهاتفه	REPLACE_OT
أثناء	أثناء	UC
أوقات	أوقات	UC
الدوام	الدوام	UC
.	.	UC
مواقع	مواقع	UC
التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
كسيف	كسيف	UC
ذو	ذي	REPLACE_OR
حدين	حدين	UC
و لكن	ولكن	MERGE
أصبحت	أصبحت	UC
مضاره	مضارها	REPLACE_MI
أكثر	أكثر	UC
من	من	UC
منافعه	منافعها	REPLACE_MI
.	.	UC
أصبح	أصبحت	REPLACE_XG
يميل	تميل	REPLACE_MI
إلى	إلى	UC
نوع	نوع	UC
من	من	UC
أنواع	أنواع	UC
الإدمان	الإدمان	UC
الذي	الذي	UC
يجب	يجب	UC
الحذر	الحذر	UC
منه	منه	UC
.	.	UC

قام	قام	UC
انتشارالوساءل	انتشار وسائل	REPLACE_X
للتواصل	التواصل	REPLACE_XT
الاجتماعية	الاجتماعي	REPLACE_XG
بشكل	بشكل	UC
كبير	كبير	UC
و هذا	وهذا	MERGE
آثر	أثر	REPLACE_OH
على	على	UC
المجتمع	المجتمع	UC
بشكل	بشكل	UC
إيجابي	إيجابي	UC
و سلبي	وسلبي	MERGE
	.	INSERT_PM
من	من	UC
الآثار	الآثار	UC
الإيجابي	الإيجابية	REPLACE_XG
للتواصل	للتواصل	UC
الاجتماعي	الاجتماعي	UC
هي		DELETE_XM
التواصل	التواصل	UC
مع	مع	UC
الناس	الناس	UC
بشكل	بشكل	UC
أسهل	أسهل	UC
.	,	REPLACE_PC
و من	ومن	MERGE
ال		DELETE_XM
الآثار	الآثار	UC
ال سلبية	السلبية	MERGE
هيه		DELETE_XM
انتشار	انتشار	UC
الكراهية	الكراهية	UC
و الفساد	والفساد	MERGE
بين	بين	UC
الناس	الناس	UC
.	.	UC

وسائل	وسائل	UC
التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
لقد	لقد	UC
تطورت	تطورت	UC
وسائل	وسائل	UC
المعرفة	المعرفة	UC
و التقدم	والتقدم	MERGE
و اجتاحت	واجتاحت	MERGE
وسائل	وسائل	UC
التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
منازلنا	منازلنا	UC
,		DELETE_PM
و حياتنا	وحياتنا	MERGE
و أيضا	وأيضا	MERGE
مائدة	مائدة	UC
طعامنا	طعامنا	UC
دون	دون	UC
استئذان	استئذان	UC
,	.	REPLACE_PC
فللآسف	فللأسف	REPLACE_OH
أصبحت	أصبحت	UC
فرد	فردا	REPLACE_XC
من	من	UC
العائة	العائلة	REPLACE_OM
,	,	UC
فرد	فردا	REPLACE_XC
غير	غير	UC
مرحب	مرحب	UC
به	به	UC
	,	INSERT_PM
ولكنه	ولكنه	UC
متواجد	متواجد	UC
رغما	رغما	UC
عنا	عنا	UC
	,	INSERT_PM
فقد	فقد	UC
أصبح	أصبح	UC
مسيطر	مسيطرا	REPLACE_XC
على	على	UC
خلايا	خلايا	UC
أدمغتنا	أدمغتنا	UC
و , حواسنا	وحواسنا	MERGE+REPLACE_PT
,	.	REPLACE_PC
لا	لا	UC
انكرر	أنكر	REPLACE_OH
بأن	أن	REPLACE_XT
هذا	هذا	UC
الفرد	الفرد	UC
قرب	قرب	UC
لنا	لنا	UC
البعيد	البعيد	UC
	,	INSERT_PM
و لكن	ولكن	MERGE
مع	مع	UC
ذلك	ذلك	UC
أبعد	أبعد	UC
القرب	القريب	REPLACE_OM
,	,	UC
و أصبحت	وأصبحت	MERGE
الأخبار	الأخبار	UC
بوجوده	بوجوده	UC
تصلنا	تصلنا	UC
بالثواني	بعد ثوان	UNK
من	من	UC
حدوثها	حدوثها	UC
حتى	حتى	UC
أن	إن	REPLACE_OH
كانت	كانت	UC
من	من	UC
مشرق	مشرق	UC
الأرض	الأرض	UC
أو	أو	UC
مغربها	مغربها	UC
,	,	UC
فهو	فهو	UC
يجمع	يجمع	UC
العالم	العالم	UC
كله	كله	UC
في	في	UC
شاشة	شاشة	UC
لامعة	لامعة	UC
صغيرة	صغيرة	UC
,	.	REPLACE_PC
ولكن	ولكن	UC
لنتحدث	لنتحدث	UC
بكل	بكل	UC
أريحية	أريحية	UC
و صراحة	وصراحة	MERGE
,	,	UC
مواقع	مواقع	UC
التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
أصبحت	أصبحت	UC
عبارة	عبارة	UC
عن	عن	UC
أداة	أداة	UC
ذات	ذات	UC
حدين	حدين	UC
قد	قد	UC
تدمر	تدمر	UC
حياتك	حياتك	UC
أو	أو	UC
حياة	حياة	UC
أي	أي	UC
شخص	شخص	UC
آخر	آخر	UC
بكبسة	بكبسة	UC
زر	زر	UC
	,	INSERT_PM
و قد	وقد	MERGE
تشرق	تشرق	UC
حياة	حياة	UC
أحدهم	أحدهم	UC
من	من	UC
ذات	ذات	UC
كبسة	كبسة	UC
الزر	الزر	UC
تلك	تلك	UC
,	.	REPLACE_PC
ولكن	ولكن	UC
هذا	هذا	UC
بالطبع	بالطبع	UC
هذا		DELETE_XM
يعتمد	يعتمد	UC
علينا	علينا	UC
نحن	نحن	UC
كأفراد	كأفراد	UC
,		DELETE_PM
على	على	UC
مدى	مدى	UC
سيطرت	سيطرة	REPLACE_OT
تلك	تلك	UC
الشاشات	الشاشات	UC
علينا	علينا	UC
,	.	REPLACE_PC
علينا	علينا	UC
عدم	عدم	UC
الاستسلام	الاستسلام	UC
و العيش	والعيش	MERGE
في	في	UC
عالم	عالم	UC
قد	قد	UC
يزول	يزول	UC
بمجرد	بمجرد	UC
أن	أن	UC
نطفئ	نطفئ	UC
الإنترنت	الإنترنت	UC
,	,	UC
علينا	علينا	UC
مزاولة	مزاولة	UC
العيش	العيش	UC
فحياتنا	في حياتنا	REPLACE_S
الواقعية	الواقعية	UC
	.	INSERT_PM
و مع	ومع	MERGE
ذلك	ذلك	UC
يجب	يجب	UC
علينا	علينا	UC
مواكبة	مواكبة	UC
التطور	التطور	UC
و لكن	ولكن	MERGE
ليس	ليس	UC
للحد	للحد	UC
الذي	الذي	UC
يجعلنا	يجعلنا	UC
ننسى	ننسى	UC
من	من	UC
نحن	نحن	UC
,		DELETE_PM
أو	أو	UC
من	من	UC
حولنا	حولنا	UC
,	.	REPLACE_PC
و بالأخير	وبالأخير	MERGE
لكل	لكل	UC
شيمضار	شيء مضار	REPLACE_X
و منافع	ومنافع	MERGE
و علينا	وعلينا	MERGE
توخي	توخي	UC
الحذر	الحذر	UC
و توسيع	وتوسيع	MERGE
مدارك	مدارك	UC
أفكارنا	أفكارنا	UC
و تحمل	وتحمل	MERGE
مسؤولية	مسؤولية	UC
أفعالنا	أفعالنا	UC
	,	INSERT_PM
فهي	فهي	UC
ستؤثر	ستؤثر	UC
علينا	علينا	UC
,		DELETE_PM
وعلى	وعلى	UC
عوائلنا	عوائلنا	UC
و مجتمعنا	ومجتمعنا	MERGE
,	.	REPLACE_PC
فلكم	فلكم	UC
أن	أن	UC
تتخيلوا	تتخيلوا	UC
مجتمع	مجتمعا	REPLACE_XC
كامل	كاملا	REPLACE_XC
يقتات	يقتات	UC
في	في	UC
إحدى	إحدى	UC
هذه	هذه	UC
الشاشات	الشاشات	UC
و يحيى	ويحيا	REPLACE_O
بين	بين	UC
كبسة	كبسة	UC
زر	زر	UC
و أخرى	وأخرى	MERGE
و الإشاعات	والإشاعات	MERGE
تجتاحه	تجتاحه	UC
	,	INSERT_PM
بالطبع	بالطبع	UC
سيدمر	سيدمر	UC
من	من	UC
أساسه	أساسه	UC
حتى	حتى	UC
آخره	آخره	UC
,	.	REPLACE_PC
وأخيرا	وأخيرا	UC
مثلما	مثلما	UC
قلت	قلت	UC
علينا	علينا	UC
توخي	توخي	UC
الحذر	الحذر	UC
دائما	دائما	UC
و آبدا	وأبدا	REPLACE_O
.	.	UC

من	من	UC
أشهر	أشهر	UC
وساءل	وسائل	REPLACE_OH
الاتصال	الاتصال	UC
بالآخرين	بالآخرين	UC
هي	هي	UC
الاجتماعية	الاجتماعية	UC
,	.	REPLACE_PC

التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
من	من	UC
أخطر	أخطر	UC
الأشياء	الأشياء	UC
لأنها	لأنه	REPLACE_XG
تبعدنا	يبعدنا	REPLACE_MI
عن	عن	UC
والدينا	والدينا	UC
و لا	ولا	MERGE
تعطينا	يعطينا	REPLACE_MI
الوقت	الوقت	UC
الكافي	الكافي	UC
للجلوس	للجلوس	UC
معهم	معهم	UC
وذالك	وذلك	REPLACE_OD
يوثر	يؤثر	REPLACE_OR
في	في	UC
عقولنا	عقولنا	UC
و تصرفاتنا	وتصرفاتنا	MERGE
بشكل	بشكل	UC
سلبي	سلبي	UC
وليس	وليس	UC
جيدا	جيدا	UC
آبدا	أبدا	REPLACE_OH
.	.	UC
لذالك	لذلك	REPLACE_OD
يجب	يجب	UC
علينا	علينا	UC
أن	أن	UC
لا	لا	UC
نستخدمها	نستخدمه	REPLACE_XG
كثيرا	كثيرا	UC
وننتبه	وننتبه	UC
لها	له	REPLACE_XG
.	.	UC

التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
له	له	UC
أثر	أثر	UC
جدا	جدا	UC
كبير	كبير	UC
في	في	UC
مجتمعنا	مجتمعنا	UC
الحالي	الحالي	UC
.	.	UC
الإنترنت	الإنترنت	UC
غير	غير	UC
الإنسان	الإنسان	UC
بشكل	بشكل	UC
غير	غير	UC
طبيعي	طبيعي	UC
	,	INSERT_PM
و في	وفي	MERGE
رأي	رأيي	REPLACE_OM
غير	غير	UC
الإنسان	الإنسان	UC
للاسوء	للأسوأ	REPLACE_OH
لأن	لأنه	REPLACE_XM
مشغول	مشغول	UC
طوال	طوال	UC
اليوم	اليوم	UC
يتواصل	يتواصل	UC
مع	مع	UC
النسان	الناس	REPLACE_OD+REPLACE_OR
و لم	ولم	MERGE
يكون	يكن	REPLACE_XC
لديه	لديه	UC
أي	أي	UC
وقت	وقت	UC
فراغ	فراغ	UC
ليجلس	ليجلس	UC
مع	مع	UC
آهله	أهله	REPLACE_OH
و عاءلته	وعائلته	UNK
.	.	UC
لم	لم	UC
أنكر	أنكر	UC
فيه	فيه	UC
اجابيات	إيجابيات	REPLACE_OM+REPLACE_OR
كثيرة	كثيرة	UC
مثل	مثل	UC
ممكن	تمكن	REPLACE_OR
الإنسان	الإنسان	UC
	من	INSERT_XM
التواصل	التواصل	UC
مع	مع	UC
فرد	فرد	UC
برع	خارج	REPLACE_SW
الدولة	الدولة	UC
و ممكن	وممكن	MERGE
أيضا	أيضا	UC
أي	أن	REPLACE_OR
يبحث	يبحث	UC
عن	عن	UC
معلومات	معلومات	UC
في	في	UC
"	"	UC
"	"	UC
"	"	UC
قوقل	جوجل	REPLACE_OR
"	"	UC
"	"	UC
"	"	UC
ليساعدهم	ليساعده	REPLACE_MI
في	في	UC
مثلا	مثلا	UC
واجب	واجب	UC
.	.	UC
المجتمع	المجتمع	UC
تحسن	تحسن	UC
بسبب	بسبب	UC
التواصل	التواصل	UC
الاجتماعي	الاجتماعي	UC
في	في	UC
التكنولوجيا	التكنولوجيا	UC
الذي	الذي	UC
ساعد	ساعد	UC
في	في	UC
تطور	تطور	UC
الدولة	الدولة	UC
و العالم	والعالم	MERGE
	,	INSERT_PM
و الفرد	والفرد	MERGE
يريد	يريد	UC
أن	أن	UC
يطور	يطور	UC
مجتمعه	مجتمعه	UC
و ليطور	وليطور	MERGE
مجتمع	مجتمع	UC
يحتاج	يحتاج	UC
إلى	إلى	UC
التواصل	التواصل	UC
الإجماعي	الاجتماعي	REPLACE_OH+REPLACE_OM
عشان	لكي	REPLACE_SW
يعرف	يعرف	UC
المجتمع	المجتمع	UC
إلى	إلى	UC
أي	أي	UC
حد	حد	UC
مطور	مطور	UC
ليعمل	ليعمل	UC
شيء	شيئا	REPLACE_XC
جديد	جديدا	REPLACE_XC
و غير	وغير	MERGE
مألوف	مألوف	UC
لأن	لأن	UC
في هذه	بهذه	REPLACE_S
الطريقة	الطريقة	UC
المجتمع	المجتمع	UC
ستطور	سيتطور	REPLACE_OM
إلى	إلى	UC
الأفضل	الأفضل	UC
.	.	UC
في	فيه	REPLACE_MI
طرف	طرف	UC
ثاني	ثان	REPLACE_XC
لتواصل	للتواصل	REPLACE_OM
الاجتماعيي	الاجتماعي	REPLACE_OD+REPLACE_OG
مثل	مثل	UC
"	"	UC
"	"	UC
"	"	UC
instagram	إنستجرام	REPLACE_X
"	"	UC
"	"	UC
"	"	UC
	و	INSERT_XM
"	"	UC
twitter		DELETE_XM
"	"	UC
"	"	UC
	تويتر	INSERT_XM
"	"	UC
"	"	UC
snapchat		DELETE_XM
"	"	UC
	و	INSERT_XM
"	"	UC
"	"	UC
	"	INSERT_PM
	سنابتشات	INSERT_XM
	"	INSERT_PM
	"	INSERT_PM
	,	INSERT_PM
	"	INSERT_PM
هذه	هذه	UC
البرامج	البرامج	UC
تستخدمانها	يستخدمونها	REPLACE_XN
ليتواصلوا	ليتواصلوا	UC
مع	مع	UC
اصدقااهم	أصدقائهم	REPLACE_OH
و أحباءهم	وأحبائهم	UNK
و ممكن	وممكن	MERGE
	أن	INSERT_XM
يرسلوا	يرسلوا	UC
صور	صورا	REPLACE_XC+REPLACE_XN
أو	أو	UC
فديو	فيديو	REPLACE_OM
لبعض	لبعضهم	REPLACE_MI
ليعرفوا	ليعرفوا	UC
أخبار	أخبار	UC
بعض	بعض	UC
.	.	UC
هاذا	هذا	REPLACE_OD
الشيء	الشيء	UC
جيد	جيد	UC
إذا	إذا	UC
استخدموها	استخدموه	REPLACE_XG
بالطريقة	بالطريقة	UC
الصحيحة	الصحيحة	UC
و إذا	وإذا	MERGE
استخدموها	استخدموه	REPLACE_XG
بطريقة	بطريقة	UC
الخاطءة	خاطئة	REPLACE_OH+REPLACE_XF
سيفسد	سيفسد	UC
المجتمع	المجتمع	UC
بشكل	بشكل	UC
بكير	كبير	REPLACE_OC
و خاطء	وخاطئ	REPLACE_O
.	.	UC

خلق	خلق	UC
الله	الله	UC
تعالى	تعالى	UC
هذه	هذه	UC
الأمم	الأمم	UC
و الشعوب	والشعوب	MERGE
للتعارف	للتعارف	UC
و التفاهم	والتفاهم	MERGE
و منها التصالح	والتصالح	REPLACE_X
مع	مع	UC
بعضهما	بعضهم	REPLACE_MI
الآخر	البعض	REPLACE_SW
.	.	UC
التسامح	التسامح	UC
شئ	شيء	REPLACE_OM
مهم	مهم	UC
في	في	UC
حياتنا	حياتنا	UC
اليومية	اليومية	UC
و الدينية	والدينية	MERGE
	,	INSERT_PM
و للتسامح	وللتسامح	MERGE
العديد	العديد	UC
من	من	UC
الفوائد	الفوائد	UC
منها	منها	UC
,		DELETE_PM
تعريف	تعريف	UC
الناس	الناس	UC
على	على	UC
بعضهم	بعضهم	UC
البعض	البعض	UC
,		DELETE_PM
وعلى	وعلى	UC
الثقافات	الثقافات	UC
,		DELETE_PM
والحضارات	والحضارات	UC
,		DELETE_PM
والعلوم	والعلوم	UC
الموجودة	الموجودة	UC
لدى	لدى	UC
الآخرين	الآخرين	UC
.	.	UC
و قد	وقد	MERGE
يتسبب	يتسبب	UC
التسامح	التسامح	UC
بشعور	بشعور	UC
الآمن	الأمن	REPLACE_OH
,		DELETE_PM
والأمان	والأمان	UC
.	.	UC
يعتقد	يعتقد	UC
الكثير	الكثير	UC
من	من	UC
الناس	الناس	UC
أن	أن	UC
التطور	التطور	UC
هو	هو	UC
استخدام	استخدام	UC
كل	كل	UC
ماهو	ما هو	SPLIT
جديد	جديد	UC
أو	أو	UC
حديث	حديث	UC
ولأكن	ولكن	REPLACE_OD
مفهوم	مفهوم	UC
التطور	التطور	UC
هو	هو	UC
استكشاف	استكشاف	UC
أشياء	أشياء	UC
موجودة	موجودة	UC
قديمة	قديمة	UC
تنفع	تنفع	UC
لللمستقبل	للمستقبل	REPLACE_OD
و القيام	والقيام	MERGE
باعادت	بإعادة	REPLACE_OH+REPLACE_OT
صناعتها	صناعتها	UC
لكي	لكي	UC
تبقى	تبقى	UC
صامدة	صامدة	UC
.	.	UC
التطور	التطور	UC
الحضاري	الحضاري	UC
في	في	UC
دولة	دولة	UC
الأمارات	الإمارات	REPLACE_OH
بدا	بدأ	REPLACE_OH
من	من	UC
اكتشاف	اكتشاف	UC
المواهب	المواهب	UC
الموجودة	الموجودة	UC
في	في	UC
أفراد	أفراد	UC
المجتمع	المجتمع	UC
و تعزيزهم	وتعزيزهم	MERGE
في	في	UC
أظهارها	إظهارها	REPLACE_OH
دولة	للدولة	REPLACE_OM
للاستفادة	للإستفادة	REPLACE_OH
منها	منها	UC
	,	INSERT_PM
و من	ومن	MERGE
هذا	هذا	UC
الشئ	الشيء	REPLACE_OM
بدأت	بدأت	UC
دولة	دولة	UC
الأمارات	الإمارات	REPLACE_OH
بالتطور	بالتطور	UC
و مساعدة	ومساعدة	MERGE
الدول	الدول	UC
الأخرى	الأخرى	UC
.	.	UC
ما	ما	UC
يتميز	يتميز	UC
به	به	UC
العصر	العصر	UC
الحديث	الحديث	UC
هو	هو	UC
التقدم	التقدم	UC
الكبير	الكبير	UC
في	في	UC
تكنولوجيا	تكنولوجيا	UC
الاتصال	الاتصال	UC
و التواصل	والتواصل	MERGE
.	.	UC
ظهرت	ظهرت	UC
هذه	هذه	UC
الوسائل	الوسائل	UC
كإنجاز	كإنجاز	UC
حضاري	حضاري	UC
استنتجته	استنتجته	UC
العقول	العقول	UC
الذكية	الذكية	UC
العملاقة	العملاقة	UC
.	.	UC
لقد	لقد	UC
آثرت	أثرت	REPLACE_OH
الكتنولوجيا	التكنولوجيا	REPLACE_OC
على	على	UC
العالم	العالم	UC
بأكمله	بأكمله	UC
.	.	UC
لدى	لدى	UC
التكنولوجيا	التكنولوجيا	UC
العديد	العديد	UC
من	من	UC
السلبيات	السلبيات	UC
و الإيجابيات	والإيجابيات	MERGE
و لأكن	ولكن	REPLACE_O
الكثير	الكثير	UC
من	من	UC
السلبيات	السلبيات	UC
علينا	علينا	UC
أن	أن	UC
لا	لا	UC
نهملها	نهملها	UC
أو	أو	UC
نتجاهلها	نتجاهلها	UC
	,	INSERT_PM
و أنها	وإنها	UNK
مدخل	مدخل	UC
مناسب	مناسب	UC
للأعداء	للأعداء	UC
لتتبع	لتتبع	UC
الشباب	الشباب	UC
ومتابعة	ومتابعة	UC
أنشطتهم	أنشطتهم	UC
المختلفة	المختلفة	UC
.	.	UC
و أن	وإن	REPLACE_O
التكنولوجيا	التكنولوجيا	UC
مكان	مكان	UC
مناسب	مناسب	UC
للتخطيط	للتخطيط	UC
لنشر	لنشر	UC
الجريمة	الجريمة	UC
والتطرف	والتطرف	UC
أحيانا	أحيانا	UC
	.	INSERT_PM

تسامحوا	تسامحوا	UC
تسامحوا	تسامحوا	UC
:	:	UC
لا	لا	UC
شك	شك	UC
كل	كل	UC
إنسان	إنسان	UC
يخطو	يخطو	UC
على	على	UC
هذه	هذه	UC
الأرض	الأرض	UC
قد	قد	UC
مر	مر	UC
من	من	UC
قبل	قبل	UC
يمواقف	بمواقف	REPLACE_OR
كثيرة	كثيرة	UC
يقشعر	يقشعر	UC
لبعضها	لبعضها	UC
البدن	البدن	UC
,		DELETE_PM
و بعضها	وبعضها	MERGE
قد	قد	UC
تكون	يكون	REPLACE_MI
بنظره	بنظره	UC
لا	لا	UC
تغتفر	تغتفر	UC
,	,	UC
في	في	UC
حين	حين	UC
أن	أن	UC
البعض	البعض	UC
الآخر	الآخر	UC
قد	قد	UC
لا	لا	UC
يلقى	يلقي	REPLACE_OA
لها	لها	UC
بالا	بالا	UC
,		DELETE_PM
أو	أو	UC
يرى	يرى	UC
بأنها	أنها	REPLACE_XT
أتفه	أتفه	UC
من	من	UC
أن	أن	UC
تجعله	تجعله	UC
يتجاهل	يتجاهل	UC
وجود	وجود	UC
شخص	شخص	UC
ما	ما	UC
,	.	REPLACE_PC
	.	INSERT_PM
	.	INSERT_PM
و هنا	وهنا	MERGE
يأتي	يأتي	UC
الآمر	الأمر	REPLACE_OH
.	,	REPLACE_PC
.		DELETE_PM
.		DELETE_PM
فتكون	فتكون	UC
المعضلة	المعضلة	UC
في	في	UC
الشخص	الشخص	UC
نفسه	نفسه	UC
,		DELETE_PM
و في	وفي	MERGE
كيف	كيف	UC
سختار	سيختار	REPLACE_OM
ما	ما	UC
سيتصرف	سيتصرف	UC
به	به	UC
,		DELETE_PM
وما	وما	UC
إذا	إذا	UC
كان	كان	UC
سيسامح	سيسامح	UC
.		DELETE_PM
.		DELETE_PM
.		DELETE_PM
أم	أم	UC
لا	لا	UC
.	.	UC
لقد	لقد	UC
حثنا	حثنا	UC
الدين	الدين	UC
الإسلامي	الإسلامي	UC
البليغ	البليغ	UC
على	على	UC
ثقافة	ثقافة	UC
التسامح	التسامح	UC
و رفع	ورفع	MERGE
من	من	UC
شأنه	شأنه	UC
,	,	UC
و لعل	ولعل	MERGE
أول	أول	UC
سبب	سبب	UC
يجعلنا	يجعلنا	UC
لا	لا	UC
نتهاون	نتهاون	UC
فيه	فيه	UC
هو	هو	UC
أن	أن	UC
القطيعة	القطيعة	UC
لمدة	لمدة	UC
تزيد	تزيد	UC
عن	عن	UC
ثلاثة	ثلاثة	UC
أيام	أيام	UC
تضعنا	تضعنا	UC
تحت	تحت	UC
خطر	خطر	UC
جسيم	جسيم	UC
,	,	UC
و هو	وهو	MERGE
أن	أن	UC
أعمالنا	أعمالنا	UC
لا	لا	UC
ترفع	ترفع	UC
و لا	ولا	MERGE
تقبل	تقبل	UC
حتى	حتى	UC
تنهى	تنهى	UC
هذه	هذه	UC
القطيعة	القطيعة	UC
,	,	UC
فالبنسبة	فبالنسبة	REPLACE_MI+REPLACE_OD
لي	لي	UC
هذا	هذا	UC
السبب	السبب	UC
أكثر	أكثر	UC
من	من	UC
كافي	كاف	REPLACE_XN
حتى	حتى	UC
أسامح	أسامح	UC
غيري	غيري	UC
,	.	REPLACE_PC
فلو	فلو	UC
حاولنا	حاولنا	UC
أن	أن	UC
نكون	نكون	UC
متسامحين	متسامحين	UC
يمكننا	يمكننا	UC
بذلك	بذلك	UC
أن	أن	UC
نكون	نكون	UC
قدوة	قدوة	UC
لغيرنا	لغيرنا	UC
,	,	UC
كما	كما	UC
أن	أن	UC
نشر	نشر	UC
الوعي	الوعي	UC
بشأن	بشأن	UC
هذا	هذا	UC
الآمر	الأمر	REPLACE_OH
سيعزز	سيعزز	UC
من	من	UC
ثقافة	ثقافة	UC
التسامح	التسامح	UC
في	في	UC
المجتمع	المجتمع	UC
,		DELETE_PM
خصيصا	خصيصا	UC
لو	لو	UC
رأى	رأى	UC
الناس	الناس	UC
أن	أن	UC
هذا	هذا	UC
الآمر	الأمر	REPLACE_OH
و هو	وهو	MERGE
(	(	UC
	@	INSERT_PM
	@	INSERT_PM
المسامحة	المسامحة	UC
)	)	UC
أصبح	أصبح	UC
شائعا	شائعا	UC
في	في	UC
أحيائهم	أحيائهم	UC
سينساقون	سينساقون	UC
خلفهم	خلفه	REPLACE_MI
لا	لا	UC
شعوريا	شعوريا	UC
,	,	UC
فمن	فمن	UC
عاشر	عاشر	UC
قوم	قوما	REPLACE_XC
أصبح	أصبح	UC
مثلهم	مثلهم	UC
.	.	UC
ختاما	ختاما	UC
,		DELETE_PM
علينا	علينا	UC
أن	أن	UC
لا	لا	UC
ننسى	ننسى	UC
كم	كم	UC
من	من	UC
الأخطاء	الأخطاء	UC
التي	التي	UC
ارتكبناها	ارتكبناها	UC
في	في	UC
حياتنا	حياتنا	UC
و التي	والتي	MERGE
ريما	ربما	REPLACE_OR
لأزلنا	لا زلنا	UNK
نستمر	نستمر	UC
في	في	UC
ارتكابها	ارتكابها	UC
,	,	UC
و لكن	ولكن	MERGE
يظل	يظل	UC
الله	الله	UC
يسامحنا	يسامحنا	UC
عليها	عليها	UC
,	,	UC
فسامحوا	فسامحوا	UC
من	من	UC
في	في	UC
الأرض	الأرض	UC
