SOURCE	TARGET
الاجتماعي	الاجتماعي
اثر	أثر
كثيرا	كثيرا
على	على
عاداتنا	عاداتنا
كبشر	كبشر
و كمجتمع	وكمجتمع
و ترا	وترى
ايضا	أيضا
مرات	امرأة
اما	إما
مشغولة	مشغولة
عن	عن
ابنائها	أبنائها
بالتواصل	بالتواصل
الاجتماعي	الاجتماعي
او	أو
موضف	موظفا
مشغول	مشغولا
بهاتفه	بهاتفه
اثناء	أثناء
اوقات	أوقات
الدوام	الدوام
مواقع	مواقع
التواصل	التواصل
الاجتماعي	الاجتماعي
كسيف	كسيف
ذو	ذي
حدين	حدين
و لكن	ولكن
اصبحت	أصبحت
مضاره	مضارها
اكثر	أكثر
من	من
منافعه	منافعها
اصبح	أصبحت
يميل	تميل
الى	إلى
نوع	نوع
من	من
انواع	أنواع
الادمان	الإدمان
الذي	الذي
يجب	يجب
الحذر	الحذر
منه	منه

قام	قام
انتشارالوساءل	انتشار وسائل
للتواصل	التواصل
الاجتماعية	الاجتماعي
بشكل	بشكل
كبير	كبير
و هذا	وهذا
اثر	أثر
على	على
المجتمع	المجتمع
بشكل	بشكل
ايجابي	إيجابي
و سلبي	وسلبي
من	من
الاثار	الآثار
الايجابي	الإيجابية
للتواصل	للتواصل
الاجتماعي	الاجتماعي
هي	
التواصل	التواصل
مع	مع
الناس	الناس
بشكل	بشكل
اسهل	أسهل
و من	ومن
ال	
الاثار	الآثار
ال سلبية	السلبية
هيه	
انتشار	انتشار
الكراهية	الكراهية
و الفساد	والفساد
بين	بين
الناس	الناس

وسائل	وسائل
التواصل	التواصل
الاجتماعي	الاجتماعي
لقد	لقد
تطورت	تطورت
وسائل	وسائل
المعرفه	المعرفة
و التقدم	والتقدم
و اجتاحت	واجتاحت
وسائل	وسائل
التواصل	التواصل
الاجتماعي	الاجتماعي
منازلنا	منازلنا
و حياتنا	وحياتنا
و ايضا	وأيضا
مائدة	مائدة
طعامنا	طعامنا
دون	دون
استئذان	استئذان
فللاسف	فللأسف
اصبحت	أصبحت
فرد	فردا
من	من
العائة	العائلة
فرد	فردا
غير	غير
مرحب	مرحب
به	به
ولكنه	ولكنه
متواجد	متواجد
رغما	رغما
عنا	عنا
فقد	فقد
اصبح	أصبح
مسيطر	مسيطرا
على	على
خلايا	خلايا
ادمغتنا	أدمغتنا
و حواسنا	وحواسنا
لا	لا
انكرر	أنكر
بان	أن
هذا	هذا
الفرد	الفرد
قرب	قرب
لنا	لنا
البعيد	البعيد
و لكن	ولكن
مع	مع
ذلك	ذلك
ابعد	أبعد
القرب	القريب
و اصبحت	وأصبحت
الاخبار	الأخبار
بوجوده	بوجوده
تصلنا	تصلنا
بالثواني	بعد ثوان
من	من
حدوثها	حدوثها
حتى	حتى
ان	إن
كانت	كانت
من	من
مشرق	مشرق
الارض	الأرض
او	أو
مغربها	مغربها
فهو	فهو
يجمع	يجمع
العالم	العالم
كله	كله
في	في
شاشه	شاشة
لامعه	لامعة
صغيره	صغيرة
ولكن	ولكن
لنتحدث	لنتحدث
بكل	بكل
اريحيه	أريحية
و صراحه	وصراحة
مواقع	مواقع
التواصل	التواصل
الاجتماعي	الاجتماعي
اصبحت	أصبحت
عباره	عبارة
عن	عن
اداة	أداة
ذات	ذات
حدين	حدين
قد	قد
تدمر	تدمر
حياتك	حياتك
او	أو
حياه	حياة
اي	أي
شخص	شخص
اخر	آخر
بكبسة	بكبسة
زر	زر
و قد	وقد
تشرق	تشرق
حياة	حياة
احدهم	أحدهم
من	من
ذات	ذات
كبسة	كبسة
الزر	الزر
تلك	تلك
ولكن	ولكن
هذا	هذا
بالطبع	بالطبع
هذا	
يعتمد	يعتمد
علينا	علينا
نحن	نحن
كافراد	كأفراد
على	على
مدى	مدى
سيطرت	سيطرة
تلك	تلك
الشاشات	الشاشات
علينا	علينا
علينا	علينا
عدم	عدم
الاستسلام	الاستسلام
و العيش	والعيش
في	في
عالم	عالم
قد	قد
يزول	يزول
بمجرد	بمجرد
ان	أن
نطفئ	نطفئ
الانترنت	الإنترنت
علينا	علينا
مزاولة	مزاولة
العيش	العيش
فحياتنا	في حياتنا
الواقعيه	الواقعية
و مع	ومع
ذلك	ذلك
يجب	يجب
علينا	علينا
مواكبة	مواكبة
التطور	التطور
و لكن	ولكن
ليس	ليس
للحد	للحد
الذي	الذي
يجعلنا	يجعلنا
ننسى	ننسى
من	من
نحن	نحن
او	أو
من	من
حولنا	حولنا
و بالاخير	وبالأخير
لكل	لكل
شيمضار	شيء مضار
و منافع	ومنافع
و علينا	وعلينا
توخي	توخي
الحذر	الحذر
و توسيع	وتوسيع
مدارك	مدارك
افكارنا	أفكارنا
و تحمل	وتحمل
مسؤولية	مسؤولية
افعالنا	أفعالنا
فهي	فهي
ستؤثر	ستؤثر
علينا	علينا
وعلى	وعلى
عوائلنا	عوائلنا
و مجتمعنا	ومجتمعنا
فلكم	فلكم
ان	أن
تتخيلوا	تتخيلوا
مجتمع	مجتمعا
كامل	كاملا
يقتات	يقتات
في	في
احدى	إحدى
هذه	هذه
الشاشات	الشاشات
و يحيى	ويحيا
بين	بين
كبسة	كبسة
زر	زر
و اخرى	وأخرى
و الاشاعات	والإشاعات
تجتاحه	تجتاحه
بالطبع	بالطبع
سيدمر	سيدمر
من	من
اساسه	أساسه
حتى	حتى
اخره	آخره
واخيرا	وأخيرا
مثلما	مثلما
قلت	قلت
علينا	علينا
توخي	توخي
الحذر	الحذر
دائما	دائما
و ابدا	وأبدا

من	من
اشهر	أشهر
وساءل	وسائل
الاتصال	الاتصال
بالآخرين	بالآخرين
هي	هي
الاجتماعية	الاجتماعية

التواصل	التواصل
الاجتماعي	الاجتماعي
من	من
اخطر	أخطر
الاشياء	الأشياء
لانها	لأنه
تبعدنا	يبعدنا
عن	عن
والدينا	والدينا
و لا	ولا
تعطينا	يعطينا
الوقت	الوقت
الكافي	الكافي
للجلوس	للجلوس
معهم	معهم
وذالك	وذلك
يوثر	يؤثر
في	في
عقولنا	عقولنا
و تصرفاتنا	وتصرفاتنا
بشكل	بشكل
سلبي	سلبي
وليس	وليس
جيدا	جيدا
ابدا	أبدا
لذالك	لذلك
يجب	يجب
علينا	علينا
ان	أن
لا	لا
نستخدمها	نستخدمه
كثيرا	كثيرا
وننتبه	وننتبه
لها	له

التواصل	التواصل
الاجتماعي	الاجتماعي
له	له
اثر	أثر
جدا	جدا
كبير	كبير
في	في
مجتمعنا	مجتمعنا
الحالي	الحالي
الانترنت	الإنترنت
غير	غير
الانسان	الإنسان
بشكل	بشكل
غير	غير
طبيعي	طبيعي
و في	وفي
راي	رأيي
غير	غير
الانسان	الإنسان
للاسوء	للأسوأ
لان	لأنه
مشغول	مشغول
طوال	طوال
اليوم	اليوم
يتواصل	يتواصل
مع	مع
النسان	الناس
و لم	ولم
يكون	يكن
لديه	لديه
اي	أي
وقت	وقت
فراغ	فراغ
ليجلس	ليجلس
مع	مع
اهله	أهله
و عاءلته	وعائلته
لم	لم
انكر	أنكر
فيه	فيه
اجابيات	إيجابيات
كثيرة	كثيرة
مثل	مثل
ممكن	تمكن
الانسان	الإنسان
	من
التواصل	التواصل
مع	مع
فرد	فرد
برع	خارج
الدولة	الدولة
و ممكن	وممكن
ايضا	أيضا
اي	أن
يبحث	يبحث
عن	عن
معلومات	معلومات
في	في
قوقل	جوجل
ليساعدهم	ليساعده
في	في
مثلا	مثلا
واجب	واجب
المجتمع	المجتمع
تحسن	تحسن
بسبب	بسبب
التواصل	التواصل
الاجتماعي	الاجتماعي
في	في
التكنولوجيا	التكنولوجيا
الذي	الذي
ساعد	ساعد
في	في
تطور	تطور
الدولة	الدولة
و العالم	والعالم
و الفرد	والفرد
يريد	يريد
ان	أن
يطور	يطور
مجتمعه	مجتمعه
و ليطور	وليطور
مجتمع	مجتمع
يحتاج	يحتاج
الى	إلى
التواصل	التواصل
الاجماعي	الاجتماعي
عشان	لكي
يعرف	يعرف
المجتمع	المجتمع
الى	إلى
اي	أي
حد	حد
مطور	مطور
ليعمل	ليعمل
شيء	شيئا
جديد	جديدا
و غير	وغير
مالوف	مألوف
لان	لأن
في هذه	بهذه
الطريقة	الطريقة
المجتمع	المجتمع
ستطور	سيتطور
الى	إلى
الافضل	الأفضل
في	فيه
طرف	طرف
ثاني	ثان
لتواصل	للتواصل
الاجتماعيي	الاجتماعي
مثل	مثل
instgr	إنستجرام
twitter	و
sncht	تويتر
	و
	سنابتشات
هذه	هذه
البرامج	البرامج
تستخدمانها	يستخدمونها
ليتواصلوا	ليتواصلوا
مع	مع
اصدقااهم	أصدقائهم
و احباءهم	وأحبائهم
و ممكن	وممكن
	أن
يرسلوا	يرسلوا
صور	صورا
او	أو
فديو	فيديو
لبعض	لبعضهم
ليعرفوا	ليعرفوا
اخبار	أخبار
بعض	بعض
هاذا	هذا
الشيء	الشيء
جيد	جيد
اذا	إذا
استخدموها	استخدموه
بالطريقة	بالطريقة
الصحيحة	الصحيحة
و اذا	وإذا
استخدموها	استخدموه
بطريقة	بطريقة
الخاطءة	خاطئة
سيفسد	سيفسد
المجتمع	المجتمع
بشكل	بشكل
بكير	كبير
و خاطء	وخاطئ

خلق	خلق
الله	الله
تعالى	تعالى
هذه	هذه
الامم	الأمم
و الشعوب	والشعوب
للتعارف	للتعارف
و التفاهم	والتفاهم
و منها التصالح	والتصالح
مع	مع
بعضهما	بعضهم
الاخر	البعض
التسامح	التسامح
شئ	شيء
مهم	مهم
في	في
حياتنا	حياتنا
اليوميه	اليومية
و الدينيه	والدينية
و للتسامح	وللتسامح
العديد	العديد
من	من
الفوائد	الفوائد
منها	منها
تعريف	تعريف
الناس	الناس
على	على
بعضهم	بعضهم
البعض	البعض
وعلى	وعلى
الثقافات	الثقافات
والحضارات	والحضارات
والعلوم	والعلوم
الموجودة	الموجودة
لدى	لدى
الآخرين	الآخرين
و قد	وقد
يتسبب	يتسبب
التسامح	التسامح
بشعور	بشعور
الأمن	الأمن
والأمان	والأمان
يعتقد	يعتقد
الكثير	الكثير
من	من
الناس	الناس
ان	أن
التطور	التطور
هو	هو
استخدام	استخدام
كل	كل
ماهو	ما هو
جديد	جديد
او	أو
حديث	حديث
ولاكن	ولكن
مفهوم	مفهوم
التطور	التطور
هو	هو
استكشاف	استكشاف
اشياء	أشياء
موجوده	موجودة
قديمه	قديمة
تنفع	تنفع
لللمستقبل	للمستقبل
و القيام	والقيام
باعادت	بإعادة
صناعتها	صناعتها
لكي	لكي
تبقى	تبقى
صامده	صامدة
التطور	التطور
الحضاري	الحضاري
في	في
دولة	دولة
الإمارات	الإمارات
بدأ	بدأ
من	من
اكتشاف	اكتشاف
المواهب	المواهب
الموجوده	الموجودة
في	في
افراد	أفراد
المجتمع	المجتمع
و تعزيزهم	وتعزيزهم
في	في
إظهارها	إظهارها
دولة	للدولة
للإستفاده	للإستفادة
منها	منها
و من	ومن
هذا	هذا
الشئ	الشيء
بدأت	بدأت
دولة	دولة
الإمارات	الإمارات
بالتطور	بالتطور
و مساعدة	ومساعدة
الدول	الدول
الآخرى	الأخرى
ما	ما
يتميز	يتميز
به	به
العصر	العصر
الحديث	الحديث
هو	هو
التقدم	التقدم
الكبير	الكبير
في	في
تكنولوجيا	تكنولوجيا
الاتصال	الاتصال
و التواصل	والتواصل
ظهرت	ظهرت
هذه	هذه
الوسائل	الوسائل
كأنجاز	كإنجاز
حضاري	حضاري
إستنتجته	استنتجته
العقول	العقول
الذكيه	الذكية
العملاقه	العملاقة
لقد	لقد
آثرت	أثرت
الكتنولوجيا	التكنولوجيا
على	على
العالم	العالم
باكمله	بأكمله
لدى	لدى
التكنولوجيا	التكنولوجيا
العديد	العديد
من	من
السلبيات	السلبيات
و الايجابيات	والإيجابيات
و لاكن	ولكن
الكثير	الكثير
من	من
السلبيات	السلبيات
علينا	علينا
ان	أن
لا	لا
نهملها	نهملها
او	أو
نتجاهلها	نتجاهلها
و انها	وإنها
مدخل	مدخل
مناسب	مناسب
للأعداء	للأعداء
لتتبع	لتتبع
الشباب	الشباب
ومتابعة	ومتابعة
أنشطتهم	أنشطتهم
المختلفة	المختلفة
و ان	وإن
التكنولوجيا	التكنولوجيا
مكان	مكان
مناسب	مناسب
للتخطيط	للتخطيط
لنشر	لنشر
الجريمة	الجريمة
والتطرف	والتطرف
أحيانا	أحيانا

تسامحوا	تسامحوا
تسامحوا	تسامحوا
لا	لا
شك	شك
كل	كل
إنسان	إنسان
يخطو	يخطو
على	على
هذه	هذه
الأرض	الأرض
قد	قد
مر	مر
من	من
قبل	قبل
يمواقف	بمواقف
كثيرة	كثيرة
يقشعر	يقشعر
لبعضها	لبعضها
البدن	البدن
و بعضها	وبعضها
قد	قد
تكون	يكون
بنظره	بنظره
لا	لا
تغتفر	تغتفر
في	في
حين	حين
أن	أن
البعض	البعض
الآخر	الآخر
قد	قد
لا	لا
يلقي	يلقي
لها	لها
بالا	بالا
أو	أو
يرى	يرى
بأنها	أنها
أتفه	أتفه
من	من
أن	أن
تجعله	تجعله
يتجاهل	يتجاهل
وجود	وجود
شخص	شخص
ما	ما
و هنا	وهنا
يأتي	يأتي
الأمر	الأمر
فتكون	فتكون
المعضلة	المعضلة
في	في
الشخص	الشخص
نفسه	نفسه
و في	وفي
كيف	كيف
سختار	سيختار
ما	ما
سيتصرف	سيتصرف
به	به
وما	وما
إذا	إذا
كان	كان
سيسامح	سيسامح
أم	أم
لا	لا
لقد	لقد
حثنا	حثنا
الدين	الدين
الإسلامي	الإسلامي
البليغ	البليغ
على	على
ثقافة	ثقافة
التسامح	التسامح
و رفع	ورفع
من	من
شأنه	شأنه
و لعل	ولعل
أول	أول
سبب	سبب
يجعلنا	يجعلنا
لا	لا
نتهاون	نتهاون
فيه	فيه
هو	هو
أن	أن
القطيعة	القطيعة
لمدة	لمدة
تزيد	تزيد
عن	عن
ثلاثة	ثلاثة
أيام	أيام
تضعنا	تضعنا
تحت	تحت
خطر	خطر
جسيم	جسيم
و هو	وهو
أن	أن
أعمالنا	أعمالنا
لا	لا
ترفع	ترفع
و لا	ولا
تقبل	تقبل
حتى	حتى
تنهي	تنهى
هذه	هذه
القطيعة	القطيعة
فالبنسبة	فبالنسبة
لي	لي
هذا	هذا
السبب	السبب
أكثر	أكثر
من	من
كافي	كاف
حتى	حتى
أسامح	أسامح
غيري	غيري
فلو	فلو
حاولنا	حاولنا
أن	أن
نكون	نكون
متسامحين	متسامحين
يمكننا	يمكننا
بذلك	بذلك
أن	أن
نكون	نكون
قدوة	قدوة
لغيرنا	لغيرنا
كما	كما
أن	أن
نشر	نشر
الوعي	الوعي
بشأن	بشأن
هذا	هذا
الأمر	الأمر
سيعزز	سيعزز
من	من
ثقافة	ثقافة
التسامح	التسامح
في	في
المجتمع	المجتمع
خصيصا	خصيصا
لو	لو
رأى	رأى
الناس	الناس
أن	أن
هذا	هذا
الأمر	الأمر
و هو	وهو
المسامحة	المسامحة
أصبح	أصبح
شائعا	شائعا
في	في
أحيائهم	أحيائهم
سينساقون	سينساقون
خلفهم	خلفه
لا	لا
شعوريا	شعوريا
فمن	فمن
عاشر	عاشر
قوم	قوما
أصبح	أصبح
مثلهم	مثلهم
ختاما	ختاما
علينا	علينا
أن	أن
لا	لا
ننسى	ننسى
كم	كم
من	من
الأخطاء	الأخطاء
التي	التي
ارتكبناها	ارتكبناها
في	في
حياتنا	حياتنا
و التي	والتي
ريما	ربما
لازلنا	لا زلنا
نستمر	نستمر
في	في
ارتكابها	ارتكابها
و لكن	ولكن
يظل	يظل
الله	الله
يسامحنا	يسامحنا
عليها	عليها
فسامحوا	فسامحوا
من	من
في	في
الأرض	الأرض
يسامحكم	يسامحكم
من	من
في	في
السماء	السماء

ما	ما
يتميز	يتميز
به	به
العصر	العصر
الحديث	الحديث
هو	هو
التقدم	التقدم
من	في
التكنلوجيا	التكنولوجيا
و صفات	وصفات
التواصل	التواصل
الاجتماعي	الاجتماعي
متعدده	متعددة
في	في
انواع	أنواع
و اشكال	وأشكال
عبر	
التكنلوجيا	التكنولوجيا
هو متطور	المتطورة
اكثر	أكثر
يوجد	توجد
اضرار	أضرار
كبيره	كبيرة
في	في
التواصل	التواصل
الاجتماعي	الاجتماعي
و هما	وهي
الانشغال	الانشغال
عن	عن
اداء	أداء
بعض	بعض
الواجبات	الواجبات
سواء	سواء
الاسريه	الأسرية
ام	أو
في	في
جوانب	جوانب
اداء	أداء
العمل	العمل
الوظيفهي	الوظيفي
المختلفه	المختلفة
و يوجد	ويوجد
ضرر	ضرر
كبير	كبير
مثل	مثل
	أنه
مدخل	مدخل
لنشر	لنشر
ثقافه	ثقافة
الانحلال	الانحلال
الخلقي	الخلقي
و الفساد	والفساد
المجتمع	المجتمعي
و عدم	وعدم
الثقه	الثقة
و هو	وهو
عباره	عبارة
عن	عن
مجتمع	مجتمع
مفتوح	مفتوح
امام	أمام
كل	كل
المجتمع	المجتمعات
و يكون	وتكون
احيانا	أحيانا
فيها	فيه
فرصه	فرصة
قويه	قوية
لنشر	لنشر
الاشاعات	الإشاعات
و ترويجها	وترويجها
و في	وفي
مختلف	مختلف
جوانب	جوانب
الحياه	الحياة
و ليس	وليس
فقط	فقط
التواصل	التواصل
الاجتماعي	الاجتماعي
يوجد	توجد
في	فيه
اضرار	أضرار
و	
بينما	بل
يوجد	توجد
في	فيه
فوائد	فوائد
كثيره	كثيرة
و منهما	ومنها
تبادل	تبادل
الخبرات	الخبرات
الحياتيه	الحياتية
في	في
مجلات	مجالات
الحياه	الحياة
التعدده	المتعددة
معلومات	والمعلومات
هامه	الهامة
من	من
مصادرها	مصادرها
التي	التي
توفرها	توفرها
من	من
خلال	خلال
تسجيلات	تسجيلات
الاعجاب	الإعجاب
و التابعه	والتابعة
لبعضها	لبعضها
و تفسح	وتفسح
المجال	المجال
امام	أمام
الابداع	الإبداع
في	في
رسم	رسم
اجتهادات	اجتهادات
فكريه	فكرية
و ثقافيع	وثقافية
و سياسيه	وسياسية
معينه	معينة
و ان	وإن
وسائل	وسائل
التواصل	التواصل
الاجتماعي	الاجتماعي
هي	هي
منجزات	منجزات
حضاريه	حضارية
عظيمه	عظيمة
و لانسان	والإنسان
وحده	وحده
الذي	الذي
يمللك	يملك
طريقه	طريقة
الاستفاده	الاستفادة
منها	منها

وسائل	وسائل
التواصل	التواصل
الاجتماعي	الاجتماعي
شهد	شهد
العالم	العالم
في	في
القرن	القرن
السابق	السابق
تطورات	تطورات
عدة	عدة
و منها	ومنها
بدأت	بدأت
وسائل	وسائل
التواصل	التواصل
الاجتماعي	الاجتماعي
في	في
قرننا	قرننا
هذا	هذا
في	في
الانتشار	الانتشار
و بدأت	وبدأت
تزيد	تزيد
اهميتها	أهميتها
بيوم	يوما
بعد	بعد
يوم	يوم
و بدأ	وبدا
تأثيرها	تأثيرها
واضح	واضحا
على	على
الفرد	الفرد
و المجتمع	والمجتمع
كثيرا	كثيرا
كما	كما
انه	أنه
بدا	بدا
بكونه	بكونه
شيء	شيئا
بفائق	فائق
الاهميه	الأهمية
في	في
بيومنا	بيوتنا
و عصره	وعصرنا
هذا	هذا
لكن	لكن
هناك	هناك
تأثيرات	تأثيرات
سلبيه	سلبية
و اجابيه	وإيجابية
للمجتمع	للمجتمع
و الفرد	والفرد
كما	كما
ذكرت	ذكرت
سابقا	سابقا
بأن	أن
وسائل	لوسائل
التواصل	التواصل
الاجتماعي	الاجتماعي
اجابي هو	إيجابيات
منها	منها
سهوله	سهولة
التواصل	التواصل
بين	بين
المجتمع	المجتمع
و الفرد	والفرد
مثلا	مثلا
تواصل	تواصل
الفرد	الفرد
من	من
مكان	مكان
بعيد	بعيد
لشخص	بشخص
او	أو
مجموعه	مجموعة
ناس	أناس
يعيشون	يعيشون
في	في
بلده	بلدة
او	أو
مكان	مكان
اخر	آخر
و للفرد	والفرد
يمكنه	يمكنه
من	
تزويد	تزويد
نفسه	نفسه
بالمعلومات	بالمعلومات
المهمه	المهمة
و اجراء	وإجراء
بحوث	بحوث
عن	عن
طريق	طريق
التواصل	التواصل
الاجتماعي	الاجتماعي
اما	أما
الجانب	الجانب
السلبي	السلبي
للمجتمع	للمجتمع
قد	قد
تبدأ	تبدأ
خلافات	خلافات
بينهم	بينهم
بسبب	بسبب
وسائل	وسائل
التواصل	التواصل
الاجتماعي	الاجتماعي
و كلام	وكلام
غير	غير
صحيح	صحيح
او	أو
	أن
تكون	تكون
اشاعه	إشاعة
و تنتشر	وتنتشر
هذه	هذه
الشاعه	الإشاعة
في	في
المجتمع	المجتمع
اسرع	أسرع
بسبب	بسبب
سهوله	سهولة
التواصل	التواصل
و تداول	وتداول
المعلومات	المعلومات
في	في
وسائل	وسائل
التواصل	التواصل
الاجتماعي	الاجتماعي
و ايضا	وأيضا
قد	قد
تكون	تكون
هناك	هناك
عمليات	عمليات
نصب	نصب
اكثر	أكثر
في	في
هذه	هذه
الوسائل	الوسائل
بسبب	بسبب
سهوله	سهولة
البقاء	البقاء
مجهولا	مجهولا
وراء	وراء
الشاشة	الشاشة

لقد	لقد
وقعت	وقعت
الكثير	الكثير
من	من
التطورات	التطورات
الحضارية	الحضارية
من	من
قبل	قبل
هؤلاء	هؤلاء
الناس	الناس
العبارقة	العباقرة
الذين	الذين
أتو	أتوا
إلينا	إلينا
من	من
جميع	جميع
نواحي	نواحي
الدول	الدول
و عززوا	وعززوا
دولة	دولة
الامارات	الإمارات
فقد	فقد
قدموا	قدموا
إلينا	إلينا
جميع	جميع
احتياجاتنا	احتياجاتنا
و كل	وكل
ما	ما
اردنا اليه	أردناه
هو	هو
مجتمع	مجتمعا
امن	آمنا
و خال	وخال
من	من
المشاكل	المشاكل
و المتاعب	والمتاعب
قدمت	قدمت
لنا	لنا
دولة	دولة
الامارات	الإمارات
العربية	العربية
المتحدة	المتحدة
اولا	أولا
مكان	مكانا
امن	آمنا
و هو	وهو
سبب	سبب
من	من
الاسباب	الأسباب
لماذا	لماذا
الناس	الناس
يأتون	يأتون
من	من
دول	دول
أخرى	أخرى
بعيدة	بعيدة
الى	إلى
هنا	هنا
فقد	فقد
بنوا	بنوا
لنا	لنا
افخر	أفخر
لبمطاعم	المطاعم
و اعلى	وأعلى
المدارس	المدارس
و الجامعات	والجامعات
أيضا	أيضا
فروا	وفروا
لنا	لنا
شوارع	شوارع
و طرق	وطرقا
منظمه	منظمة
و قوانين	وقوانين
تطبق	تطبق
لكل	لكل
شخص	شخص
متاح	متاح
في	في
دولة	دولة
الامارات	الإمارات
العربية	العربية
المتحدة	المتحدة
أتت	أتت
هذه	هذه
الافكار	الأفكار
الخلابة	الخلابة
و المذهلة	والمذهلة
من	من
كل	كل
دولة	دولة
ممكن	ممكنة
و من	ومن
الاكيد	الأكيد
دولتنا	دولتنا
فعلت	فعلت
الكثير	الكثير
من	من
البحوثات	البحوثات
و الذهاب	وذهبت
الي	إلى
اماكن	أماكن
اخرى	أخرى
لاستكشاف	لاستكشاف
العالم	العالم
بأكلمه	بأكمله
والتمكن	والتمكن
من	من
الاستطلاع	الاستطلاع
لافكار	لأفكار
و طريقة	وطريقة
بنائها	بنائها
بطريقه	بطريقة
فردية	فريدة
و مثالية	ومثالية
فهذا	فهذا
يستغرق	يستغرق
الكثير	الكثير
من	من
الوقت	الوقت
و الجهد	والجهد
فأنا	فأنا
فخورة	فخورة
جدا	جدا
بكوني	بكوني
اماراتية	إماراتية

التواصل	التواصل
الاجتماعي	الاجتماعي
لها	له
سلبيات	سلبيات
و ايجابيات	وإيجابيات
لاكن	لكن
قد	قد
تؤثر	يؤثر
بطريقه	بطريقة
سلبيه	سلبية
اكثر	أكثر
على	على
الفرد	الفرد
الكثير	الكثير
من	من
الناس	الناس
يستخدمون	يستخدمون
التواصل	التواصل
الاجتماعي	الاجتماعي
بطريقه	بطريقة
خاطئه	خاطئة
يقتبس	يقتبس
الفرد	الفرد
الكثير	الكثير
من	من
التواصل	التواصل
الاجتماعي	الاجتماعي
و	ويتأثر
يتآثروقد	وقد
يؤثر	يؤثر
عليه	عليه
بطريقه	بطريقة
خاطئه	خاطئة
كما	كما
ذكرنا	ذكرنا

لوسائل	لوسائل
التواصل	التواصل
الأجتماعي	الاجتماعي
تأثير	تأثير
على	على
الفرد	الفرد
و المجتمع	والمجتمع
منها	منها
تأثير	تأثير
إيجابي	إيجابي
و منها	ومنها
سلبي	سلبي
تأثير	تأثير
التواصل	التواصل
الإجتماعي	الاجتماعي
السلبي	السلبي
على	على
الفرد	الفرد
هو	هو
ان	أن
الفرد	الفرد
يستخدمه	يستخدمه
بطريقة	بطريقة
غير	غير
لائقة	لائقة
بسبب	تسبب
له	له
المشاكل	المشاكل
و الأمراض	والأمراض
و نقصد	ونقصد
بالامراض	بالأمراض
هو	
ان	أن
الفرد	الفرد
اصبح	أصبح
لا	لا
يريد	يريد
التحرك	التحرك
او	أو
الخروج	الخروج
خارج	خارج
المنزل	المنزل
او	أو
ممارسه	ممارسة
الرياضة	الرياضة
اصبح	أصبح
فقط	فقط
يريد	يريد
الاكل	الأكل
و استخدام	واستخدام
وسائل	وسائل
التواصل	التواصل
الاجتماعي	الاجتماعي
اما	أما
بالنسبة	بالنسبة
للجانب	للجانب
الاجابي	الإيجابي
هو	هو
ان	أن
الفرد	الفرد
يستطيع	يستطيع
ان	أن
يستخدم	يستخدم
هذه	هذه
الوسائل	الوسائل
للدراسة	للدراسة
او	أو
التواصل	التواصل
مع	مع
احد	أحد
المدرسين	المدرسين
للاستفسار	للاستفسار
عن	عن
سؤال	سؤال
او	أو
التواصل	التواصل
مع	مع
شخص	شخص
عزيز	عزيز
مقرب	مقرب
او	أو
بعيد	بعيد
عنه	عنه
