SOURCE	TARGET
الشعب	الشعب	UC
السوري	السوري	UC
لن	لن	UC
يرضى	يرضى	UC
أن	أن	UC
يحكمه	يحكمه	UC
خائن	خائن	UC
قتل	قتل	UC
أبناء	أبناء	UC
سوريا	سوريا	UC
	.	INSERT_PM
لو	لو	UC
أستمرت	استمرت	REPLACE_OH
الثوره	الثورة	REPLACE_OT
للاجيال	للأجيال	REPLACE_OH
القادمه	القادمة	REPLACE_OT
	،	INSERT_PM
لن	لن	UC
يخذل	يخذل	UC
الشهداء	الشهداء	UC
	،	INSERT_PM
وسوف	وسوف	UC
تنتصر	تنتصر	UC
الثوره	الثورة	REPLACE_OT
	،	INSERT_PM
وستجر	وستجر	UC
اذيال	أذيال	REPLACE_OH
الخيبه	الخيبة	REPLACE_OT
عصابة	عصابة	UC
الطغيان	الطغيان	UC
	.	INSERT_PM
الله	الله	UC
معكم	معكم	UC
يا	يا	UC
احرار	أحرار	REPLACE_OH
سوريا	سوريا	UC
	.	INSERT_PM

التاريخ	التاريخ	UC
يعيد	يعيد	UC
نفسه	نفسه	UC
.	.	UC
الاخوان	الإخوان	REPLACE_OH
المجرمون	المجرمون	UC
يقتلون	يقتلون	UC
	،	INSERT_PM
و يغتالون	ويغتصبون	REPLACE_O
باسم	باسم	UC
الاسلام	الإسلام	REPLACE_OH
	.	INSERT_PM
يقتلون	يقتلون	UC
عائلات	عائلات	UC
باكملها	بأكملها	REPLACE_OH
باسم	باسم	UC
الاسلام	الإسلام	REPLACE_OH
	،	INSERT_PM
و يمدوون	ويمدون	REPLACE_O
ايديهم	أيديهم	REPLACE_OH
للاجنبي	للأجنبي	REPLACE_OH
	،	INSERT_PM
و الى	وإلى	REPLACE_O
عملا ء	عملائه	UNK
الاجنبي	الأجنبي	REPLACE_OH
ليقبضوا	ليقبضوا	UC
المال	المال	UC
	،	INSERT_PM
و يأخذوا	ويأخذوا	MERGE
السلاح	السلاح	UC
ليغتالو	ليغتالوا	REPLACE_OW
هذا	هذا	UC
الوطن	الوطن	UC
	،	INSERT_PM
و يضعفوا	ويضعفوا	MERGE
	،	INSERT_PM
هذا	هذا	UC
الوطن	الوطن	UC
سوري	سوري	UC
.	.	UC
هذا	هذا	UC
مايفعله	ما يفعله	SPLIT
الاخوان	الإخوان	REPLACE_OH
المجرمون	المجرمينون	REPLACE_OM
.	.	UC
الله	الله	UC
محيي	محيي	UC
الجيش	الجيش	UC
العربي	العربي	UC
السوري	السوري	UC
	.	INSERT_PM

عار	عار	UC
عليكم	عليكم	UC
يا	يا	UC
امة	أمة	REPLACE_OH
الاسلام	الإسلام	REPLACE_OH
لعدم	لعدم	UC
مساعدتكم	مساعدتكم	UC
لنا	لنا	UC
نحن	نحن	UC
الشعب	الشعب	UC
السوري	السوري	UC
الذي	الذي	UC
نقتل	نقتل	UC
كل	كل	UC
يوم	يوم	UC
بدم	بدم	UC
بارد	بارد	UC
و على	وعلى	MERGE
مسمع	مسمع	UC
العالم	العالم	UC
الاسلامي	الإسلامي	REPLACE_OH
اجمع	أجمع	REPLACE_OH
.	.	UC
اين	أين	REPLACE_OH
انتم	أنتم	REPLACE_OH
يا	يا	UC
اشباه	أشباه	REPLACE_OH
الرجاااال	الرجاال	REPLACE_OD
.	؟	REPLACE_PC
و الله	والله	MERGE
العظيم	العظيم	UC
لن	لن	UC
نتراجع	نتراجع	UC
عن	عن	UC
اسقاط	إسقاط	REPLACE_OH
النظام	النظام	UC
و المطالبة	والمطالبة	MERGE
باعدامه	بإعدامه	REPLACE_OH
في	في	UC
ساحة	ساحة	UC
المرجه	المرجة	REPLACE_OT
	،	INSERT_PM
و النظام	والنظام	MERGE
البعثي	البعثي	UC
يعرف	يعرف	UC
شو	شو	UC
هي	هي	UC
ساحة	ساحة	UC
المرجه	المرجه	UC
	.	INSERT_PM

تنويه	تنويه	UC
:	:	UC
عقرب	عقرب	UC
هي	هي	UC
قرية	قرية	UC
تقع	تقع	UC
في	في	UC
سهل	سهل	UC
الحولة	الحولة	UC
وتتبع	وتتبع	UC
اداريا	إداريا	REPLACE_OH
لمحافطة	لمحافطة	UC
حماه	حماة	REPLACE_OT
.	.	UC
سكانها	سكانها	UC
من	من	UC
الاغلبية	الأغلبية	REPLACE_OH
السنية	السنية	UC
	،	INSERT_PM
و يوجد	ويوجد	MERGE
بها	بها	UC
اقلية	أقلية	REPLACE_OH
علوية	علوية	UC
نصيرية	نصيرية	UC
حوالي	حوالي	UC
15	15	UC
%	%	UC
.	.	UC
قام	قام	UC
اليوم	اليوم	UC
شبيحة	شبيحة	UC
النظام	النظام	UC
من	من	UC
الطائفة	الطائفة	UC
العلوية	العلوية	UC
بارتكاب	بارتكاب	UC
مجزرة	مجزرة	UC
بحق	بحق	UC
السكان	السكان	UC
المدنيين	المدنيين	UC
من	من	UC
السن ة	السنة	MERGE
والطائفة	والطائفة	UC
العلوية	العلوية	UC
	.	INSERT_PM

ضحكو	ضحكوا	REPLACE_OW
علينا	علينا	UC
بحرب	بحرب	UC
العراق	العراق	UC
عام	عام	UC
١٩٩٠	1979	REPLACE_X
وعام	وعام	UC
٢٠٠٣	1982	REPLACE_X
وحرب	وحرب	UC
ليبيا	ليبيا	UC
وهاهم	وهاهم	UC
يحولون	يحولون	UC
ربيعنا	ربيعنا	UC
الى	إلى	REPLACE_OH
خريف	خريف	UC
وشتاء	وشتاء	UC
وباسم	وباسم	UC
مطالبنا	مطالبنا	UC
المحقة	المحقة	UC
حرفونا	حرفونا	UC
الى	إلى	REPLACE_OH
الفتنة	الفتنة	UC
وكره	وكره	UC
بعضنا	بعضنا	UC
بحربهم	بحربهم	UC
الاعلامية	الإعلامية	REPLACE_OH
!	!	UC
!	!	UC
و العم	والعم	MERGE
سام	سام	UC
اصبح	أصبح	REPLACE_OH
المهتم	المهتم	UC
الاكبر	الأكبر	REPLACE_OH
بحريتنا	بحريتنا	UC
وحقوقنا	وحقوقنا	UC
!	!	UC
!	!	UC
بوضع	بوضع	UC
سوريا	سوريا	UC
الحبيبة	الحبيبة	UC
الان	الآن	REPLACE_OH
ستكون	ستكون	UC
خيانة	خيانة	UC
عضمى	عظمى	REPLACE_OR
من	من	UC
بشار	بشار	UC
اذا	إذا	REPLACE_OH
فكر	فكر	UC
بالاستقالة	بالاستقالة	UC
	.	INSERT_PM

الإثم	الإثم	UC
ما	ما	UC
حاك	حاك	UC
في	في	UC
صدرك	صدرك	UC
وكرهت	وكرهت	UC
أن	أن	UC
يطلع	يطلع	UC
عليه	عليه	UC
الآخرون	الآخرون	UC
.	.	UC
انظروا	انظروا	UC
إلى	إلى	UC
ألنظام	النظام	REPLACE_OH
كيف	كيف	UC
يتوارى	يتوارى	UC
عن	عن	UC
أنظار	أنظار	UC
الآخرين	الآخرين	UC
(	(	UC
الاعلام	الإعلام	REPLACE_OH
,	،	REPLACE_PC
المراقبين	المراقبين	UC
.	.	UC
.	.	UC
.	.	UC
الخ	إلخ	REPLACE_OH
)	)	UC
في	في	UC
حين	حين	UC
أن	أن	UC
الشعب	الشعب	UC
يطالب	يطالب	UC
ويلح	ويلح	UC
في	في	UC
دخول	دخول	UC
الاعلام	الإعلام	REPLACE_OH
والمراقبين	والمراقبين	UC
ليقفوا	ليقفوا	UC
على	على	UC
الحقائق	الحقائق	UC
,	،	REPLACE_PC
من	من	UC
هنا	هنا	UC
تعرف	تعرف	UC
من	من	UC
هو	هو	UC
المجرم	المجرم	UC
ومن	ومن	UC
هي	هي	UC
الضحية	الضحية	UC
	.	INSERT_PM

وبشر	وبشر	UC
القاتل	القاتل	UC
بالقتل	بالقتل	UC
ولو	ولو	UC
بعد	بعد	UC
حين	حين	UC
،	،	UC
لا	لا	UC
عزاء	عزاء	UC
للمجرمين	للمجرمين	UC
القتلة	القتلة	UC
المخربين	المخربين	UC
،	،	UC
صرتم	صرتم	UC
مثل	مثل	UC
اليهود	اليهود	UC
تقتلون	تقتلون	UC
انقسكم	أنقسكم	REPLACE_OH
وتهجرون	وتهجرون	UC
فريقا	فريقا	UC
منكم	منكم	UC
وتخربون	وتخربون	UC
بيوتكم	بيوتكم	UC
بأيديكم	بأيديكم	UC
وتريدون	وتريدون	UC
الله	الله	UC
يرحمكم	يرحمكم	UC
،	.	REPLACE_PC
اللهم	اللهم	UC
اهدي	اهد	REPLACE_OD+REPLACE_OG
امة	أمة	REPLACE_OH
نبيك	نبيك	UC
محمد	محمد	UC
ص	ص	UC
الى	إلى	REPLACE_OH
ما	ما	UC
تحب	تحب	UC
وترضاه	وترضاه	UC
،	،	UC
ومتى	ومتى	UC
سيكون	سيكون	UC
ما دام	مادام	MERGE
نكره	نكره	UC
بعضنا	بعضنا	UC
بعضا	بعضا	UC
ونتولى	ونتولى	UC
اليهود	اليهود	UC
والنصارى	والنصارى	UC
فتعسا	فتعسا	UC
للمتخاذلين	للمتخاذلين	UC
والمنافقين	والمنافقين	UC
.	.	UC

اذا	إذا	REPLACE_OH
كا ن	كان	MERGE
المنحبكجية	المنحبكجية	UC
صدقوا	صدقوا	UC
الاعلام	الإعلام	REPLACE_OH
العلوي	العلوي	UC
في	في	UC
ان	أن	REPLACE_OH
جهاد	جهاد	UC
مقدسي	مقدسي	UC
لم	لم	UC
ينشق	ينشق	UC
او	أو	REPLACE_OH
يهرب	يهرب	UC
	،	INSERT_PM
وانما	وإنما	REPLACE_OH
هو	هو	UC
في	في	UC
اجازة	إجازة	REPLACE_OH
رغم	رغم	UC
ان	أن	REPLACE_OH
الشبيحة	الشبيحة	UC
والمخابرات	والمخابرات	UC
احرقوا	أحرقوا	REPLACE_OH
بيته	بيته	UC
في	في	UC
المزة	المزة	UC
	،	INSERT_PM
فسيصدقون	فسيصدقون	UC
الاعلام	الإعلام	REPLACE_OH
العلوي	العلوي	UC
بان	بأن	REPLACE_OH
الجيش	الجيش	UC
الحر	الحر	UC
لا	لا	UC
يتقدم	يتقدم	UC
	،	INSERT_PM
وان	وأن	REPLACE_OH
"	"	UC
جثث	جثث	UC
الارهابيين	الإرهابيين	REPLACE_OH
"	"	UC
تملا	تملأ	REPLACE_OH
المكان	المكان	UC
!	!	UC
هههههه	ههه ، ههه	REPLACE_PM+SPLIT
	.	INSERT_PM

لا تزال	لاتزال	MERGE
سوريا	سوريا	UC
فريسة	فريسة	UC
الحرب	الحرب	UC
الممنهجة	الممنهجة	UC
التي	التي	UC
تخاض	تخاض	UC
عليها	عليها	UC
منذ	منذ	UC
قرابة	قرابة	UC
العشرين	العشرين	UC
شهرا	شهرا	UC
بدعم	بدعم	UC
وتمويل	وتمويل	UC
وتسليح	وتسليح	UC
من	من	UC
جهات	جهات	UC
عربية	عربية	UC
وغربية	وغربية	UC
	،	INSERT_PM
اسفر	أسفر	REPLACE_OH
عن	عن	UC
دمار	دمار	UC
للعديد	للعديد	UC
من	من	UC
البنى	البنى	UC
التحتية	التحتية	UC
	،	INSERT_PM
ولخسائر	ولخسائر	UC
بشرية	بشرية	UC
ضخمة	ضخمة	UC
.	.	UC
وكشفت	وكشفت	UC
تقارير	تقارير	UC
غربية	غربية	UC
عن	عن	UC
دور	دور	UC
فاعل	فاعل	UC
للمقاتلين	للمقاتلين	UC
الأجانب	الأجانب	UC
في	في	UC
سوريا	سوريا	UC
,	،	REPLACE_PC
واشارت	وأشارت	REPLACE_OH
الى	إلى	REPLACE_OH
أن	أن	UC
معظم	معظم	UC
هؤلاء	هؤلاء	UC
يقاتلون	يقاتلون	UC
ضمن	ضمن	UC
المجموعات	المجموعات	UC
السلفية	السلفية	UC
الجهادية	الجهادية	UC
التابعة	التابعة	UC
للقاعدة	للقاعدة	UC
,	،	REPLACE_PC
وهذا	وهذا	UC
يسمونه	يسمونه	UC
مجلس	مجلسا	REPLACE_XC
عسكري	عسكريا	REPLACE_XC
لمعارضة	لمعارضة	UC
سلمية	سلمية	UC
.	.	UC

لكن	لكن	UC
الغريب	الغريب	UC
فعلا	فعلا	UC
هو	هو	UC
قول	قول	UC
نبيل	نبيل	UC
العربي	العربي	UC
اعطو	أعطوا	REPLACE_OH+REPLACE_OM
المبادرة	المبادرة	UC
فرصة	فرصة	UC
	،	INSERT_PM
واضع	وأضع	REPLACE_OH
على	على	UC
تصريحة	تصريحه	REPLACE_OT
من	من	UC
عشرين	عشرين	UC
الى	إلى	REPLACE_OH
ثلاثين	ثلاثين	UC
تعجب	تعجبا	REPLACE_XC
يوميا	يوميا	UC
.	.	UC
.	.	UC
لا	لا	UC
ادري	أدري	REPLACE_OH
ماسبب	ما سبب	SPLIT
مواقف	مواقف	UC
نبيل	نبيل	UC
العربي	العربي	UC
فعلا	فعلا	UC
	،	INSERT_PM
هل	هل	UC
هناك	هناك	UC
سبب	سبب	UC
خفي	خفي	UC
بينه	بينه	UC
وبين	وبين	UC
النظام	النظام	UC
السوري	السوري	UC
؟	؟	UC
نحنا	نحن	REPLACE_OD+REPLACE_OG
نعلم	نعلم	UC
انه	أنه	REPLACE_OH
مجرد	مجرد	UC
موظف	موظف	UC
صغير	صغير	UC
في	في	UC
الجامعة	الجامعة	UC
	،	INSERT_PM
ولكن	ولكن	UC
تصريحاته	تصريحاته	UC
فعلا	فعلا	UC
تثير	تثير	UC
علامات	علامات	UC
تعجب	تعجب	UC
	.	INSERT_PM

تحية	تحية	UC
لطاقم	لطاقم	UC
القناة	القناة	UC
لموضوعيتها	لموضوعيتها	UC
في	في	UC
تغطية	تغطية	UC
الأحداث	الأحداث	UC
وفضح	وفضح	UC
الجراءم	الجرائم	REPLACE_OH
التي	التي	UC
ترتكبها	ترتكبها	UC
عصابة	عصابة	UC
ومرتزقة	ومرتزقة	UC
بشار	بشار	UC
الاسد	الأسد	REPLACE_OH
وصالح	وصالح	UC
في	في	UC
حق	حق	UC
الشعبين	الشعبين	UC
اليمني	اليمني	UC
والسوري	والسوري	UC
	،	INSERT_PM
وقد	وقد	UC
سبقهم	سبقهم	UC
القذافي	القذافي	UC
إلى	إلى	UC
أسلوب	أسلوب	UC
الأبادة	الألوهية	REPLACE_SW
والأرض	والأرض	UC
المحروقة	المحروقة	UC
	،	INSERT_PM
وكما	وكما	UC
كانت	كانت	UC
نهاية	نهاية	UC
القذافي	القذافي	UC
مثل	مثل	UC
فرعون	فرعون	UC
مات	مات	UC
ذليلا	ذليلا	UC
فإن	فإن	UC
الشعب	الشعب	UC
السوري	السوري	UC
واليمني	واليمني	UC
سيتصر	سينتصر	REPLACE_OM
على	على	UC
الطغاة	الطغاة	UC
الظالمين	الظالمين	UC
	.	INSERT_PM

لا	لا	UC
أتصو	أعتقد	REPLACE_SW
ر		DELETE_XM
أن	أن	UC
الشعب	الشعب	UC
يصمد	يصمد	UC
أمام	أمام	UC
زبانيتي	زبانيتي	UC
،	،	UC
وسأستمر	وسأستمر	UC
بطحن	بطحن	UC
من	من	UC
يعارضني	يعارضني	UC
أنا	أنا	UC
وماهر	وماهر	UC
،	.	REPLACE_PC
قالت	قالت	UC
لنا	لنا	UC
أمنا	أمنا	UC
يجب	يجب	UC
أن	أن	UC
نكون	نكون	UC
مثل	مثل	UC
أبينا	أبينا	UC
،	،	UC
نقتل	نقتل	UC
نعذب	نعذب	UC
نشرد	نشرد	UC
،	،	UC
ولا	ولا	UC
نبالي	نبالي	UC
،	.	REPLACE_PC
كل	كل	UC
الناس	الناس	UC
نظره	نظره	UC
قصير	قصير	UC
ومصابة	ومصابة	UC
بسوء	بسوء	UC
التدبير	التدبير	UC
،	،	UC
وسنغلب	وسنغلب	UC
الجميع	الجميع	UC
ونبقى	ونبقى	UC
أسياد	أسياد	UC
البلد	البلد	UC
،	،	UC
للأبد	للأبد	UC
،	،	UC
ولا	ولا	UC
نصدق	نصدق	UC
بأننا	بأننا	UC
سنهزم	سنهزم	UC
،		DELETE_PM
.	.	UC
.	.	UC
.	.	UC
.		DELETE_PM
وسنبرهن	وسنبرهن	UC
للعام	للعام	UC
أننا	أننا	UC
أغبى	أغبى	UC
من	من	UC
القذافي	القذافي	UC
.	.	UC
.	.	UC

لا	لا	UC
حول	حول	UC
ولا	ولا	UC
قوة	قوة	UC
إلا	إلا	UC
بالله	بالله	UC
.	.	UC
.	.	UC
.	.	UC
لقد	لقد	UC
اسرف	أسرف	REPLACE_OH
هذا	هذا	UC
الظالم	الظالم	UC
الطاغية	الطاغية	UC
في	في	UC
قتل	قتل	UC
أهل	أهل	UC
الشام	الشام	UC
.	.	UC
.	.	UC
اعيننا	أعيننا	REPLACE_OH
تقطر	تقطر	UC
دما	دما	UC
بدل	بدل	UC
الدموع	الدموع	UC
.	.	UC
.	.	UC
نظام	نظام	UC
طاغوتي	طاغوتي	UC
طائفي	طائفي	UC
مسنود	مسنود	UC
من	من	UC
ايران	إيران	REPLACE_OH
	،	INSERT_PM
وحزب	وحزب	UC
الله	الله	UC
	،	INSERT_PM
والمالكي	والمالكي	UC
.	.	UC
.	.	UC
هذا	هذا	UC
هو	هو	UC
التقل	التغيير	REPLACE_SW
	،	INSERT_PM
لكن	لكن	UC
ماذا	ماذا	UC
يحدث	يحدث	UC
في	في	UC
سجون	سجون	UC
بشار	بشار	UC
	،	INSERT_PM
وماهر	وماهر	UC
	،	INSERT_PM
وباسيج	وباسيج	UC
ايران	إيران	REPLACE_OH
	،	INSERT_PM
وشبيحة	وشبيحة	UC
حزب	حزب	UC
الله	الله	UC
.	؟	REPLACE_PC
.		DELETE_PM
انها	إنها	REPLACE_OH
جهنم	جهنم	UC
يا	يا	UC
سادة	سادة	UC
.	.	UC
.	.	UC
كل	كل	UC
صنوف	صنوف	UC
العذاب	العذاب	UC
والتنكيل	والتنكيل	UC
والاهانة	والإهانة	REPLACE_OH
وبتر	وبتر	UC
الاعضاء	الأعضاء	REPLACE_OH
والدولاب	والدولاب	UC
.	.	UC
.	.	UC

طيب	طيب	UC
يا	يا	UC
جزيرة	جزيرة	UC
مشكورين	مشكورين	UC
على	على	UC
هذه	هذه	UC
التغطية	التغطية	UC
الاعلامية	الإعلامية	REPLACE_OH
.	.	UC
بس	بس	UC
والله	والله	UC
دوختونا	دوختونا	UC
	،	INSERT_PM
فأذا	فإذا	REPLACE_OH
راجعنا	راجعنا	UC
الارشيف	الأرشيف	REPLACE_OH
نرى	نرى	UC
ان	أن	REPLACE_OH
ادلب	إدلب	REPLACE_OH
وحلب	وحلب	UC
اصبحت	أصبحت	REPLACE_OH
تحت	تحت	UC
سيطرة	سيطرة	UC
الجيش	الجيش	UC
الحر	الحر	UC
	،	INSERT_PM
وهذا	وهذا	UC
من	من	UC
سنة	سنة	UC
تقريبا	تقريبا	UC
عندما	عندما	UC
اذعتم	أذاعتم	REPLACE_OH+REPLACE_OM
خبر	خبر	UC
ال	ال	UC
80	80	UC
في	في	UC
المئة	المئة	UC
المشهور	المشهور	UC
من	من	UC
الاراضي	الأراضي	REPLACE_OH
السورية	السورية	UC
اصبحت	أصبحت	REPLACE_OH
محررة	محررة	UC
.	.	UC
الى	إلى	REPLACE_OH
متى	متى	UC
هذا	هذا	UC
التعاطف	التعاطف	UC
على	على	UC
حساب	حساب	UC
الابرياء	الأبرياء	REPLACE_OH
	؟	INSERT_PM

يالبناني	يا لبناني	SPLIT
حر	حر	UC
	،	INSERT_PM
حرب	حرب	UC
2006كانت	2006 كانت	SPLIT
بأوامر	بأوامر	UC
من	من	UC
الملالي	الملالي	UC
	.	INSERT_PM
لماذا	لماذا	UC
لم	لم	UC
يطلق	يطلق	UC
حسن	حسن	UC
نصرالله	نصر الله	SPLIT
رصاصه	رصاصة	REPLACE_OT
على	على	UC
