SOURCE	TARGET
عصابة	عصابة	UC
الطغيان	الطغيان	UC
	.	INSERT_PM
الله	الله	UC
معكم	معكم	UC
يا	يا	UC
احرار	أحرار	REPLACE_OH
سوريا	سوريا	UC
	.	INSERT_PM

التاريخ	التاريخ	UC
يعيد	يعيد	UC
نفسه	نفسه	UC
.	.	UC
الاخوان	الإخوان	REPLACE_OH
المجرمون	المجرمون	UC
يقتلون	يقتلون	UC
	،	INSERT_PM
و يغتالون	ويغتصبون	REPLACE_O
باسم	باسم	UC
الاسلام	الإسلام	REPLACE_OH
	.	INSERT_PM
يقتلون	يقتلون	UC
عائلات	عائلات	UC
باكملها	بأكملها	REPLACE_OH
باسم	باسم	UC
الاسلام	الإسلام	REPLACE_OH
	،	INSERT_PM
و يمدوون	ويمدون	REPLACE_O
ايديهم	أيديهم	REPLACE_OH
للاجنبي	للأجنبي	REPLACE_OH
	،	INSERT_PM
و الى	وإلى	REPLACE_O
عملا ء	عملائه	UNK
الاجنبي	الأجنبي	REPLACE_OH
ليقبضوا	ليقبضوا	UC
المال	المال	UC
	،	INSERT_PM
و يأخذوا	ويأخذوا	MERGE
السلاح	السلاح	UC
ليغتالو	ليغتالوا	REPLACE_OW
هذا	هذا	UC
الوطن	الوطن	UC
	،	INSERT_PM
و يضعفوا	ويضعفوا	MERGE
	،	INSERT_PM
هذا	هذا	UC
الوطن	الوطن	UC
سوري	سوري	UC
.	.	UC
هذا	هذا	UC
مايفعله	ما يفعله	SPLIT
الاخوان	الإخوان	REPLACE_OH
المجرمون	المجرمينون	REPLACE_OM
.	.	UC
الله	الله	UC
محيي	محيي	UC
الجيش	الجيش	UC
العربي	العربي	UC
السوري	السوري	UC
	!	INSERT_PM

عار	عار	UC
عليكم	عليكم	UC
يا	يا	UC
امة	أمة	REPLACE_OH
الاسلام	الإسلام	REPLACE_OH
لعدم	لعدم	UC
مساعدتكم	مساعدتكم	UC
لنا	لنا	UC
نحن	نحن	UC
الشعب	الشعب	UC
السوري	السوري	UC
الذي	الذي	UC
نقتل	نقتل	UC
كل	كل	UC
يوم	يوم	UC
بدم	بدم	UC
بارد	بارد	UC
و على	وعلى	MERGE
مسمع	مسمع	UC
العالم	العالم	UC
الاسلامي	الإسلامي	REPLACE_OH
اجمع	أجمع	REPLACE_OH
.	.	UC
اين	أين	REPLACE_OH
انتم	أنتم	REPLACE_OH
يا	يا	UC
اشباه	أشباه	REPLACE_OH
الرجاااال	الرجاال	REPLACE_OD
.	؟	REPLACE_PC
و الله	والله	MERGE
العظيم	العظيم	UC
لن	لن	UC
نتراجع	نتراجع	UC
عن	عن	UC
اسقاط	إسقاط	REPLACE_OH
النظام	النظام	UC
و المطالبة	والمطالبة	MERGE
باعدامه	بإعدامه	REPLACE_OH
في	في	UC
ساحة	ساحة	UC
المرجه	المرجة	REPLACE_OT
	،	INSERT_PM
و النظام	والنظام	MERGE
البعثي	البعثي	UC
يعرف	يعرف	UC
شو	شو	UC
هي	هي	UC
ساحة	ساحة	UC
المرجه	المرجه	UC
	؟	INSERT_PM

تنويه	تنويه	UC
:	:	UC
عقرب	عقرب	UC
هي	هي	UC
قرية	قرية	UC
تقع	تقع	UC
في	في	UC
سهل	سهل	UC
الحولة	الحولة	UC
وتتبع	وتتبع	UC
اداريا	اداريا	UC
لمحافطة	لمحافطة	UC
حماه	حماه	UC
.	.	UC
سكانها	سكانها	UC
من	من	UC
الاغلبية	الاغلبية	UC
السنية	السنية	UC
و	و	UC
يوجد	يوجد	UC
بها	بها	UC
اقلية	اقلية	UC
علوية	علوية	UC
نصيرية	نصيرية	UC
حوالي	حوالي	UC
15	15	UC
%	%	UC
.	.	UC
قام	قام	UC
اليوم	اليوم	UC
شبيحة	شبيحة	UC
النظام	النظام	UC
من	من	UC
الطائفة	الطائفة	UC
العلوية	العلوية	UC
بارتكاب	بارتكاب	UC
مجزرة	مجزرة	UC
بحق	بحق	UC
السكان	السكان	UC
المدنيين	المدنيين	UC
من	من	UC
السن	السن	UC
ة	ة	UC
والطائفة	والطائفة	UC
العلوية	العلوية	UC

ضحكو	ضحكوا	REPLACE_OW
علينا	علينا	UC
بحرب	بحرب	UC
العراق	العراق	UC
عام	عام	UC
١٩٩٠	1979	REPLACE_X
وعام	وعام	UC
٢٠٠٣	1982	REPLACE_X
وحرب	وحرب	UC
ليبيا	ليبيا	UC
	،	INSERT_PM
وهاهم	وهاهم	UC
يحولون	يحولون	UC
ربيعنا	ربيعنا	UC
الى	إلى	REPLACE_OH
خريف	خريف	UC
وشتاء	وشتاء	UC
	،	INSERT_PM
وباسم	وباسم	UC
مطالبنا	مطالبنا	UC
المحقة	المحقة	UC
حرفونا	حرفونا	UC
الى	إلى	REPLACE_OH
الفتنة	الفتنة	UC
وكره	وكره	UC
بعضنا	بعضنا	UC
بحربهم	بحربهم	UC
الاعلامية	الإعلامية	REPLACE_OH
!	!	UC
!	!	UC
و العم	والعم	MERGE
سام	سام	UC
اصبح	أصبح	REPLACE_OH
المهتم	المهتم	UC
الاكبر	الأكبر	REPLACE_OH
بحريتنا	بحريتنا	UC
وحقوقنا	وحقوقنا	UC
!	!	UC
!	!	UC
بوضع	بوضع	UC
سوريا	سوريا	UC
الحبيبة	الحبيبة	UC
الان	الآن	REPLACE_OH
ستكون	ستكون	UC
خيانة	خيانة	UC
عضمى	عظمى	REPLACE_OR
من	من	UC
بشار	بشار	UC
اذا	إذا	REPLACE_OH
فكر	فكر	UC
بالاستقالة	بالاستقالة	UC
	.	INSERT_PM

الإثم	الإثم	UC
ما	ما	UC
حاك	حاك	UC
في	في	UC
صدرك	صدرك	UC
وكرهت	وكرهت	UC
أن	أن	UC
يطلع	يطلع	UC
عليه	عليه	UC
الآخرون	الآخرون	UC
.	.	UC
انظروا	انظروا	UC
إلى	إلى	UC
ألنظام	النظام	REPLACE_OH
كيف	كيف	UC
يتوارى	يتوارى	UC
عن	عن	UC
أنظار	أنظار	UC
الآخرين	الآخرين	UC
(	(	UC
الاعلام	الإعلام	REPLACE_OH
,	،	REPLACE_PC
المراقبين	المراقبين	UC
.	.	UC
.	.	UC
.	.	UC
الخ	إلخ	REPLACE_OH
)	)	UC
	،	INSERT_PM
في	في	UC
حين	حين	UC
أن	أن	UC
الشعب	الشعب	UC
يطالب	يطالب	UC
ويلح	ويلح	UC
في	في	UC
دخول	دخول	UC
الاعلام	الإعلام	REPLACE_OH
والمراقبين	والمراقبين	UC
ليقفوا	ليقفوا	UC
على	على	UC
الحقائق	الحقائق	UC
,	.	REPLACE_PC
من	من	UC
هنا	هنا	UC
تعرف	تعرف	UC
من	من	UC
هو	هو	UC
المجرم	المجرم	UC
ومن	ومن	UC
هي	هي	UC
الضحية	الضحية	UC
	.	INSERT_PM

وبشر	وبشر	UC
القاتل	القاتل	UC
بالقتل	بالقتل	UC
ولو	ولو	UC
بعد	بعد	UC
حين	حين	UC
،	،	UC
لا	لا	UC
عزاء	عزاء	UC
للمجرمين	للمجرمين	UC
القتلة	القتلة	UC
المخربين	المخربين	UC
،	،	UC
صرتم	صرتم	UC
مثل	مثل	UC
اليهود	اليهود	UC
تقتلون	تقتلون	UC
انقسكم	انقسكم	UC
وتهجرون	وتهجرون	UC
فريقا	فريقا	UC
منكم	منكم	UC
وتخربون	وتخربون	UC
بيوتكم	بيوتكم	UC
بأيديكم	بأيديكم	UC
وتريدون	وتريدون	UC
الله	الله	UC
يرحمكم	يرحمكم	UC
،	،	UC
اللهم	اللهم	UC
اهدي	اهدي	UC
امة	امة	UC
نبيك	نبيك	UC
محمد	محمد	UC
ص	ص	UC
الى	الى	UC
ما	ما	UC
تحب	تحب	UC
وترضاه	وترضاه	UC
،	،	UC
ومتى	ومتى	UC
سيكون	سيكون	UC
ما	ما	UC
دام	دام	UC
نكره	نكره	UC
بعضنا	بعضنا	UC
بعضا	بعضا	UC
ونتولى	ونتولى	UC
اليهود	اليهود	UC
والنصارى	والنصارى	UC
فتعسا	فتعسا	UC
للمتخاذلين	للمتخاذلين	UC
والمنافقين	والمنافقين	UC
.	.	UC

اذا	اذا	UC
كا	كا	UC
ن	ن	UC
المنحبكجية	المنحبكجية	UC
صدقوا	صدقوا	UC
الاعلام	الاعلام	UC
العلوي	العلوي	UC
في	في	UC
ان	ان	UC
جهاد	جهاد	UC
مقدسي	مقدسي	UC
لم	لم	UC
ينشق	ينشق	UC
او	او	UC
يهرب	يهرب	UC
وانما	وانما	UC
هو	هو	UC
في	في	UC
اجازة	اجازة	UC
رغم	رغم	UC
ان	ان	UC
الشبيحة	الشبيحة	UC
والمخابرات	والمخابرات	UC
احرقوا	احرقوا	UC
بيته	بيته	UC
في	في	UC
المزة	المزة	UC
فسيصدقون	فسيصدقون	UC
الاعلام	الاعلام	UC
العلوي	العلوي	UC
بان	بان	UC
الجيش	الجيش	UC
الحر	الحر	UC
لا	لا	UC
يتقدم	يتقدم	UC
وان	وان	UC
"	"	UC
جثث	جثث	UC
الارهابيين	الارهابيين	UC
"	"	UC
تملا	تملا	UC
المكان	المكان	UC
!	!	UC
هههههه	هههههه	UC

لا	لا	UC
تزال	تزال	UC
سوريا	سوريا	UC
فريسة	فريسة	UC
الحرب	الحرب	UC
الممنهجة	الممنهجة	UC
التي	التي	UC
تخاض	تخاض	UC
عليها	عليها	UC
منذ	منذ	UC
قرابة	قرابة	UC
العشرين	العشرين	UC
شهرا	شهرا	UC
بدعم	بدعم	UC
وتمويل	وتمويل	UC
وتسليح	وتسليح	UC
من	من	UC
جهات	جهات	UC
عربية	عربية	UC
وغربية	وغربية	UC
اسفر	اسفر	UC
عن	عن	UC
دمار	دمار	UC
للعديد	للعديد	UC
من	من	UC
البنى	البنى	UC
التحتية	التحتية	UC
ولخسائر	ولخسائر	UC
بشرية	بشرية	UC
ضخمة	ضخمة	UC
.	.	UC
وكشفت	وكشفت	UC
تقارير	تقارير	UC
غربية	غربية	UC
عن	عن	UC
دور	دور	UC
فاعل	فاعل	UC
للمقاتلين	للمقاتلين	UC
الأجانب	الأجانب	UC
في	في	UC
سوريا	سوريا	UC
,	,	UC
واشارت	واشارت	UC
الى	الى	UC
أن	أن	UC
معظم	معظم	UC
هؤلاء	هؤلاء	UC
يقاتلون	يقاتلون	UC
ضمن	ضمن	UC
المجموعات	المجموعات	UC
السلفية	السلفية	UC
الجهادية	الجهادية	UC
التابعة	التابعة	UC
للقاعدة	للقاعدة	UC
,	,	UC
وهذا	وهذا	UC
يسمونه	يسمونه	UC
مجلس	مجلس	UC
عسكري	عسكري	UC
لمعارضة	لمعارضة	UC
سلمية	سلمية	UC
.	.	UC

لكن	لكن	UC
الغريب	الغريب	UC
فعلا	فعلا	UC
هو	هو	UC
قول	قول	UC
نبيل	نبيل	UC
العربي	العربي	UC
اعطو	أعطوا	REPLACE_OH+REPLACE_OM
المبادرة	المبادرة	UC
فرصة	فرصة	UC
	،	INSERT_PM
واضع	وأضع	REPLACE_OH
على	على	UC
تصريحة	تصريحه	REPLACE_OT
من	من	UC
عشرين	عشرين	UC
الى	إلى	REPLACE_OH
ثلاثين	ثلاثين	UC
تعجب	تعجبا	REPLACE_XC
يوميا	يوميا	UC
.	.	UC
.	.	UC
لا	لا	UC
ادري	أدري	REPLACE_OH
ماسبب	ما سبب	SPLIT
مواقف	مواقف	UC
نبيل	نبيل	UC
العربي	العربي	UC
فعلا	فعلا	UC
	؟	INSERT_PM
هل	هل	UC
هناك	هناك	UC
سبب	سبب	UC
خفي	خفي	UC
بينه	بينه	UC
وبين	وبين	UC
النظام	النظام	UC
السوري	السوري	UC
؟	؟	UC
نحنا	نحن	REPLACE_OD+REPLACE_OG
نعلم	نعلم	UC
انه	أنه	REPLACE_OH
مجرد	مجرد	UC
موظف	موظف	UC
صغير	صغير	UC
في	في	UC
الجامعة	الجامعة	UC
	،	INSERT_PM
ولكن	ولكن	UC
تصريحاته	تصريحاته	UC
فعلا	فعلا	UC
تثير	تثير	UC
علامات	علامات	UC
تعجب	تعجب	UC
	!	INSERT_PM

تحية	تحية	UC
لطاقم	لطاقم	UC
القناة	القناة	UC
لموضوعيتها	لموضوعيتها	UC
في	في	UC
تغطية	تغطية	UC
الأحداث	الأحداث	UC
وفضح	وفضح	UC
الجراءم	الجرائم	REPLACE_OH
التي	التي	UC
ترتكبها	ترتكبها	UC
عصابة	عصابة	UC
ومرتزقة	ومرتزقة	UC
بشار	بشار	UC
الاسد	الأسد	REPLACE_OH
وصالح	وصالح	UC
في	في	UC
حق	حق	UC
الشعبين	الشعبين	UC
اليمني	اليمني	UC
والسوري	والسوري	UC
	،	INSERT_PM
وقد	وقد	UC
سبقهم	سبقهم	UC
القذافي	القذافي	UC
إلى	إلى	UC
أسلوب	أسلوب	UC
الأبادة	الألوهية	REPLACE_SW
والأرض	والأرض	UC
المحروقة	المحروقة	UC
	.	INSERT_PM
وكما	وكما	UC
كانت	كانت	UC
نهاية	نهاية	UC
القذافي	القذافي	UC
مثل	مثل	UC
فرعون	فرعون	UC
مات	مات	UC
ذليلا	ذليلا	UC
فإن	فإن	UC
الشعب	الشعب	UC
السوري	السوري	UC
واليمني	واليمني	UC
سيتصر	سينتصر	REPLACE_OM
على	على	UC
الطغاة	الطغاة	UC
الظالمين	الظالمين	UC
	.	INSERT_PM

لا	لا	UC
أتصو	أتصو	UC
ر	ر	UC
أن	أن	UC
الشعب	الشعب	UC
يصمد	يصمد	UC
أمام	أمام	UC
زبانيتي	زبانيتي	UC
،	،	UC
وسأستمر	وسأستمر	UC
بطحن	بطحن	UC
من	من	UC
يعارضني	يعارضني	UC
أنا	أنا	UC
وماهر	وماهر	UC
،	،	UC
قالت	قالت	UC
لنا	لنا	UC
أمنا	أمنا	UC
يجب	يجب	UC
أن	أن	UC
نكون	نكون	UC
مثل	مثل	UC
أبينا	أبينا	UC
،	،	UC
نقتل	نقتل	UC
نعذب	نعذب	UC
نشرد	نشرد	UC
،	،	UC
ولا	ولا	UC
نبالي	نبالي	UC
،	،	UC
كل	كل	UC
الناس	الناس	UC
نظره	نظره	UC
قصير	قصير	UC
ومصابة	ومصابة	UC
بسوء	بسوء	UC
التدبير	التدبير	UC
،	،	UC
وسنغلب	وسنغلب	UC
الجميع	الجميع	UC
ونبقى	ونبقى	UC
أسياد	أسياد	UC
البلد	البلد	UC
،	،	UC
للأبد	للأبد	UC
،	،	UC
ولا	ولا	UC
نصدق	نصدق	UC
بأننا	بأننا	UC
سنهزم	سنهزم	UC
،	،	UC
.	.	UC
.	.	UC
.	.	UC
.	.	UC
وسنبرهن	وسنبرهن	UC
للعام	للعام	UC
أننا	أننا	UC
أغبى	أغبى	UC
من	من	UC
القذافي	القذافي	UC
.	.	UC
.	.	UC

لا	لا	UC
حول	حول	UC
ولا	ولا	UC
قوة	قوة	UC
إلا	إلا	UC
بالله	بالله	UC
.	.	UC
.	.	UC
.	.	UC
لقد	لقد	UC
اسرف	أسرف	REPLACE_OH
هذا	هذا	UC
الظالم	الظالم	UC
الطاغية	الطاغية	UC
في	في	UC
قتل	قتل	UC
أهل	أهل	UC
الشام	الشام	UC
.	.	UC
.	.	UC
اعيننا	أعيننا	REPLACE_OH
تقطر	تقطر	UC
دما	دما	UC
بدل	بدل	UC
الدموع	الدموع	UC
.	.	UC
.	.	UC
نظام	نظام	UC
طاغوتي	طاغوتي	UC
طائفي	طائفي	UC
مسنود	مسنود	UC
من	من	UC
ايران	إيران	REPLACE_OH
	،	INSERT_PM
وحزب	وحزب	UC
الله	الله	UC
	،	INSERT_PM
والمالكي	والمالكي	UC
.	.	UC
.	.	UC
هذا	هذا	UC
هو	هو	UC
التقل	التغيير	REPLACE_SW
	،	INSERT_PM
لكن	لكن	UC
ماذا	ماذا	UC
يحدث	يحدث	UC
في	في	UC
سجون	سجون	UC
بشار	بشار	UC
	،	INSERT_PM
وماهر	وماهر	UC
	،	INSERT_PM
وباسيج	وباسيج	UC
ايران	إيران	REPLACE_OH
	،	INSERT_PM
وشبيحة	وشبيحة	UC
حزب	حزب	UC
الله	الله	UC
.	؟	REPLACE_PC
.		DELETE_PM
انها	إنها	REPLACE_OH
جهنم	جهنم	UC
يا	يا	UC
سادة	سادة	UC
.	.	UC
.	.	UC
كل	كل	UC
صنوف	صنوف	UC
العذاب	العذاب	UC
والتنكيل	والتنكيل	UC
والاهانة	والإهانة	REPLACE_OH
وبتر	وبتر	UC
الاعضاء	الأعضاء	REPLACE_OH
والدولاب	والدولاب	UC
.	.	UC
.	.	UC
	!	INSERT_PM

طيب	طيب	UC
يا	يا	UC
جزيرة	جزيرة	UC
مشكورين	مشكورين	UC
على	على	UC
هذه	هذه	UC
التغطية	التغطية	UC
الاعلامية	الاعلامية	UC
.	.	UC
بس	بس	UC
والله	والله	UC
دوختونا	دوختونا	UC
فأذا	فأذا	UC
راجعنا	راجعنا	UC
الارشيف	الارشيف	UC
نرى	نرى	UC
ان	ان	UC
ادلب	ادلب	UC
وحلب	وحلب	UC
اصبحت	اصبحت	UC
تحت	تحت	UC
سيطرة	سيطرة	UC
الجيش	الجيش	UC
الحر	الحر	UC
وهذا	وهذا	UC
من	من	UC
سنة	سنة	UC
تقريبا	تقريبا	UC
عندما	عندما	UC
اذعتم	اذعتم	UC
خبر	خبر	UC
ال	ال	UC
80	80	UC
في	في	UC
المئة	المئة	UC
المشهور	المشهور	UC
من	من	UC
الاراضي	الاراضي	UC
السورية	السورية	UC
اصبحت	اصبحت	UC
محررة	محررة	UC
.	.	UC
الى	الى	UC
متى	متى	UC
هذا	هذا	UC
التعاطف	التعاطف	UC
على	على	UC
حساب	حساب	UC
الابرياء	الابرياء	UC

يالبناني	يالبناني	UC
حر	حر	UC
حرب	حرب	UC
2006كانت	2006كانت	UC
بأوامر	بأوامر	UC
من	من	UC
الملالي	الملالي	UC
لماذا	لماذا	UC
لم	لم	UC
يطلق	يطلق	UC
حسن	حسن	UC
نصرالله	نصرالله	UC
رصاصه	رصاصه	UC
على	على	UC
اسرائيل	اسرائيل	UC
اثنا	اثنا	UC
العدوان	العدوان	UC
على	على	UC
الغزه	الغزه	UC
لانه	لانه	UC
لم	لم	UC
تأتيه	تأتيه	UC
الاوامر	الاوامر	UC
من	من	UC
الملالي	الملالي	UC
ماهو	ماهو	UC
دور	دور	UC
حزب	حزب	UC
حسن	حسن	UC
نصرالله	نصرالله	UC
اثنا	اثنا	UC
ثورة	ثورة	UC
شعب	شعب	UC
سوريا	سوريا	UC
ماهو	ماهو	UC
دور	دور	UC
حزب	حزب	UC
حسن	حسن	UC
نصر	نصر	UC
الله	الله	UC
االمرسوم	االمرسوم	UC
له	له	UC
اثنا	اثنا	UC
احتلال	احتلال	UC
العراق	العراق	UC
من	من	UC
الشيطان	الشيطان	UC
الاكبر	الاكبر	UC

تتهمون	تتهمون	UC
الثورة	الثورة	UC
بانها	بانها	UC
مدعومة	مدعومة	UC
من	من	UC
فرنسا	فرنسا	UC
و	و	UC
امريكا	امريكا	UC
انتم	انتم	UC
مدعومون	مدعومون	UC
من	من	UC
اسرئيل	اسرئيل	UC
و	و	UC
ايران	ايران	UC
و	و	UC
قد	قد	UC
فقتم	فقتم	UC
بهمجيتكم	بهمجيتكم	UC
ووحشيتكم	ووحشيتكم	UC
اسرائيل	اسرائيل	UC
لم	لم	UC
نسمع	نسمع	UC
ان	ان	UC
اسرائيل	اسرائيل	UC
اعتقلت	اعتقلت	UC
الاطفال	الاطفال	UC
و	و	UC
قلعت	قلعت	UC
اظافرهم	اظافرهم	UC
و	و	UC
بترت	بترت	UC
اعضائهم	اعضائهم	UC
