SOURCE	TARGET
الاجتماعي	الاجتماعي
.	.
التواصل	التواصل
الاجتماعي	الاجتماعي
آثر	أثر
كثيرا	كثيرا
على	على
عاداتنا	عاداتنا
كبشر	كبشر
و كمجتمع	وكمجتمع
.	.
و ترأ	وترى
أيضا	أيضا
مرات	امرأة
إما	إما
مشغولة	مشغولة
عن	عن
أبنائها	أبنائها
بالتواصل	بالتواصل
الاجتماعي	الاجتماعي
أو	أو
موضف	موظفا
مشغول	مشغولا
بهاتفة	بهاتفه
أثناء	أثناء
أوقات	أوقات
الدوام	الدوام
.	.
مواقع	مواقع
التواصل	التواصل
الاجتماعي	الاجتماعي
كسيف	كسيف
ذو	ذي
حدين	حدين
و لكن	ولكن
أصبحت	أصبحت
مضاره	مضارها
أكثر	أكثر
من	من
منافعه	منافعها
.	.
أصبح	أصبحت
يميل	تميل
إلى	إلى
نوع	نوع
من	من
أنواع	أنواع
الإدمان	الإدمان
الذي	الذي
يجب	يجب
الحذر	الحذر
منه	منه
.	.

قام	قام
انتشارالوساءل	انتشار وسائل
للتواصل	التواصل
الاجتماعية	الاجتماعي
بشكل	بشكل
كبير	كبير
و هذا	وهذا
آثر	أثر
على	على
المجتمع	المجتمع
بشكل	بشكل
إيجابي	إيجابي
و سلبي	وسلبي
	.
من	من
الآثار	الآثار
الإيجابي	الإيجابية
للتواصل	للتواصل
الاجتماعي	الاجتماعي
هي	
التواصل	التواصل
مع	مع
الناس	الناس
بشكل	بشكل
أسهل	أسهل
.	,
و من	ومن
ال	
الآثار	الآثار
ال سلبية	السلبية
هيه	
انتشار	انتشار
الكراهية	الكراهية
و الفساد	والفساد
بين	بين
الناس	الناس
.	.

وسائل	وسائل
التواصل	التواصل
الاجتماعي	الاجتماعي
لقد	لقد
تطورت	تطورت
وسائل	وسائل
المعرفة	المعرفة
و التقدم	والتقدم
و اجتاحت	واجتاحت
وسائل	وسائل
التواصل	التواصل
الاجتماعي	الاجتماعي
منازلنا	منازلنا
,	
و حياتنا	وحياتنا
و أيضا	وأيضا
مائدة	مائدة
طعامنا	طعامنا
دون	دون
استئذان	استئذان
,	.
فللآسف	فللأسف
أصبحت	أصبحت
فرد	فردا
من	من
العائة	العائلة
,	,
فرد	فردا
غير	غير
مرحب	مرحب
به	به
	,
ولكنه	ولكنه
متواجد	متواجد
رغما	رغما
عنا	عنا
	,
فقد	فقد
أصبح	أصبح
مسيطر	مسيطرا
على	على
خلايا	خلايا
أدمغتنا	أدمغتنا
و , حواسنا	وحواسنا
,	.
لا	لا
انكرر	أنكر
بأن	أن
هذا	هذا
الفرد	الفرد
قرب	قرب
لنا	لنا
البعيد	البعيد
	,
و لكن	ولكن
مع	مع
ذلك	ذلك
أبعد	أبعد
القرب	القريب
,	,
و أصبحت	وأصبحت
الأخبار	الأخبار
بوجوده	بوجوده
تصلنا	تصلنا
بالثواني	بعد ثوان
من	من
حدوثها	حدوثها
حتى	حتى
أن	إن
كانت	كانت
من	من
مشرق	مشرق
الأرض	الأرض
أو	أو
مغربها	مغربها
,	,
فهو	فهو
يجمع	يجمع
العالم	العالم
كله	كله
في	في
شاشة	شاشة
لامعة	لامعة
صغيرة	صغيرة
,	.
ولكن	ولكن
لنتحدث	لنتحدث
بكل	بكل
أريحية	أريحية
و صراحة	وصراحة
,	,
مواقع	مواقع
التواصل	التواصل
الاجتماعي	الاجتماعي
أصبحت	أصبحت
عبارة	عبارة
عن	عن
أداة	أداة
ذات	ذات
حدين	حدين
قد	قد
تدمر	تدمر
حياتك	حياتك
أو	أو
حياة	حياة
أي	أي
شخص	شخص
آخر	آخر
بكبسة	بكبسة
زر	زر
	,
و قد	وقد
تشرق	تشرق
حياة	حياة
أحدهم	أحدهم
من	من
ذات	ذات
كبسة	كبسة
الزر	الزر
تلك	تلك
,	.
ولكن	ولكن
هذا	هذا
بالطبع	بالطبع
هذا	
يعتمد	يعتمد
علينا	علينا
نحن	نحن
كأفراد	كأفراد
,	
على	على
مدى	مدى
سيطرت	سيطرة
تلك	تلك
الشاشات	الشاشات
علينا	علينا
,	.
علينا	علينا
عدم	عدم
الاستسلام	الاستسلام
و العيش	والعيش
في	في
عالم	عالم
قد	قد
يزول	يزول
بمجرد	بمجرد
أن	أن
نطفئ	نطفئ
الإنترنت	الإنترنت
,	,
علينا	علينا
مزاولة	مزاولة
العيش	العيش
فحياتنا	في حياتنا
الواقعية	الواقعية
	.
و مع	ومع
ذلك	ذلك
يجب	يجب
علينا	علينا
مواكبة	مواكبة
التطور	التطور
و لكن	ولكن
ليس	ليس
للحد	للحد
الذي	الذي
يجعلنا	يجعلنا
ننسى	ننسى
من	من
نحن	نحن
,	
أو	أو
من	من
حولنا	حولنا
,	.
و بالأخير	وبالأخير
لكل	لكل
شيمضار	شيء مضار
و منافع	ومنافع
و علينا	وعلينا
توخي	توخي
الحذر	الحذر
و توسيع	وتوسيع
مدارك	مدارك
أفكارنا	أفكارنا
و تحمل	وتحمل
مسؤولية	مسؤولية
أفعالنا	أفعالنا
	,
فهي	فهي
ستؤثر	ستؤثر
علينا	علينا
,	
وعلى	وعلى
عوائلنا	عوائلنا
و مجتمعنا	ومجتمعنا
,	.
فلكم	فلكم
أن	أن
تتخيلوا	تتخيلوا
مجتمع	مجتمعا
كامل	كاملا
يقتات	يقتات
في	في
إحدى	إحدى
هذه	هذه
الشاشات	الشاشات
و يحيى	ويحيا
بين	بين
كبسة	كبسة
زر	زر
و أخرى	وأخرى
و الإشاعات	والإشاعات
تجتاحه	تجتاحه
	,
بالطبع	بالطبع
سيدمر	سيدمر
من	من
أساسه	أساسه
حتى	حتى
آخره	آخره
,	.
وأخيرا	وأخيرا
مثلما	مثلما
قلت	قلت
علينا	علينا
توخي	توخي
الحذر	الحذر
دائما	دائما
و آبدا	وأبدا
.	.

من	من
أشهر	أشهر
وساءل	وسائل
الاتصال	الاتصال
بالآخرين	بالآخرين
هي	هي
الاجتماعية	الاجتماعية
,	.

التواصل	التواصل
الاجتماعي	الاجتماعي
من	من
أخطر	أخطر
الأشياء	الأشياء
لأنها	لأنه
تبعدنا	يبعدنا
عن	عن
والدينا	والدينا
و لا	ولا
تعطينا	يعطينا
الوقت	الوقت
الكافي	الكافي
للجلوس	للجلوس
معهم	معهم
وذالك	وذلك
يوثر	يؤثر
في	في
عقولنا	عقولنا
و تصرفاتنا	وتصرفاتنا
بشكل	بشكل
سلبي	سلبي
وليس	وليس
جيدا	جيدا
آبدا	أبدا
.	.
لذالك	لذلك
يجب	يجب
علينا	علينا
أن	أن
لا	لا
نستخدمها	نستخدمه
كثيرا	كثيرا
وننتبه	وننتبه
لها	له
.	.

التواصل	التواصل
الاجتماعي	الاجتماعي
له	له
أثر	أثر
جدا	جدا
كبير	كبير
في	في
مجتمعنا	مجتمعنا
الحالي	الحالي
.	.
الإنترنت	الإنترنت
غير	غير
الإنسان	الإنسان
بشكل	بشكل
غير	غير
طبيعي	طبيعي
	,
و في	وفي
رأي	رأيي
غير	غير
الإنسان	الإنسان
للاسوء	للأسوأ
لأن	لأنه
مشغول	مشغول
طوال	طوال
اليوم	اليوم
يتواصل	يتواصل
مع	مع
النسان	الناس
و لم	ولم
يكون	يكن
لديه	لديه
أي	أي
وقت	وقت
فراغ	فراغ
ليجلس	ليجلس
مع	مع
آهله	أهله
و عاءلته	وعائلته
.	.
لم	لم
أنكر	أنكر
فيه	فيه
اجابيات	إيجابيات
كثيرة	كثيرة
مثل	مثل
ممكن	تمكن
الإنسان	الإنسان
	من
التواصل	التواصل
مع	مع
فرد	فرد
برع	خارج
الدولة	الدولة
و ممكن	وممكن
أيضا	أيضا
أي	أن
يبحث	يبحث
عن	عن
معلومات	معلومات
في	في
"	"
"	"
"	"
قوقل	جوجل
"	"
"	"
"	"
ليساعدهم	ليساعده
في	في
مثلا	مثلا
واجب	واجب
.	.
المجتمع	المجتمع
تحسن	تحسن
بسبب	بسبب
التواصل	التواصل
الاجتماعي	الاجتماعي
في	في
التكنولوجيا	التكنولوجيا
الذي	الذي
ساعد	ساعد
في	في
تطور	تطور
الدولة	الدولة
و العالم	والعالم
	,
و الفرد	والفرد
يريد	يريد
أن	أن
يطور	يطور
مجتمعه	مجتمعه
و ليطور	وليطور
مجتمع	مجتمع
يحتاج	يحتاج
إلى	إلى
التواصل	التواصل
الإجماعي	الاجتماعي
عشان	لكي
يعرف	يعرف
المجتمع	المجتمع
إلى	إلى
أي	أي
حد	حد
مطور	مطور
ليعمل	ليعمل
شيء	شيئا
جديد	جديدا
و غير	وغير
مألوف	مألوف
لأن	لأن
في هذه	بهذه
الطريقة	الطريقة
المجتمع	المجتمع
ستطور	سيتطور
إلى	إلى
الأفضل	الأفضل
.	.
في	فيه
طرف	طرف
ثاني	ثان
لتواصل	للتواصل
الاجتماعيي	الاجتماعي
مثل	مثل
"	"
"	"
"	"
instagram	إنستجرام
"	"
"	"
"	"
	و
"	"
twitter	
"	"
"	"
	تويتر
"	"
"	"
snapchat	
"	"
	و
"	"
"	"
	"
	سنابتشات
	"
	"
	,
	"
هذه	هذه
البرامج	البرامج
تستخدمانها	يستخدمونها
ليتواصلوا	ليتواصلوا
مع	مع
اصدقااهم	أصدقائهم
و أحباءهم	وأحبائهم
و ممكن	وممكن
	أن
يرسلوا	يرسلوا
صور	صورا
أو	أو
فديو	فيديو
لبعض	لبعضهم
ليعرفوا	ليعرفوا
أخبار	أخبار
بعض	بعض
.	.
هاذا	هذا
الشيء	الشيء
جيد	جيد
إذا	إذا
استخدموها	استخدموه
بالطريقة	بالطريقة
الصحيحة	الصحيحة
و إذا	وإذا
استخدموها	استخدموه
بطريقة	بطريقة
الخاطءة	خاطئة
سيفسد	سيفسد
المجتمع	المجتمع
بشكل	بشكل
بكير	كبير
و خاطء	وخاطئ
.	.

خلق	خلق
الله	الله
تعالى	تعالى
هذه	هذه
الأمم	الأمم
و الشعوب	والشعوب
للتعارف	للتعارف
و التفاهم	والتفاهم
و منها التصالح	والتصالح
مع	مع
بعضهما	بعضهم
الآخر	البعض
.	.
التسامح	التسامح
شئ	شيء
مهم	مهم
في	في
حياتنا	حياتنا
اليومية	اليومية
و الدينية	والدينية
	,
و للتسامح	وللتسامح
العديد	العديد
من	من
الفوائد	الفوائد
منها	منها
,	
تعريف	تعريف
الناس	الناس
على	على
بعضهم	بعضهم
البعض	البعض
,	
وعلى	وعلى
الثقافات	الثقافات
,	
والحضارات	والحضارات
,	
والعلوم	والعلوم
الموجودة	الموجودة
لدى	لدى
الآخرين	الآخرين
.	.
و قد	وقد
يتسبب	يتسبب
التسامح	التسامح
بشعور	بشعور
الآمن	الأمن
,	
والأمان	والأمان
.	.
يعتقد	يعتقد
الكثير	الكثير
من	من
الناس	الناس
أن	أن
التطور	التطور
هو	هو
استخدام	استخدام
كل	كل
ماهو	ما هو
جديد	جديد
أو	أو
حديث	حديث
ولأكن	ولكن
مفهوم	مفهوم
التطور	التطور
هو	هو
استكشاف	استكشاف
أشياء	أشياء
موجودة	موجودة
قديمة	قديمة
تنفع	تنفع
لللمستقبل	للمستقبل
و القيام	والقيام
باعادت	بإعادة
صناعتها	صناعتها
لكي	لكي
تبقى	تبقى
صامدة	صامدة
.	.
التطور	التطور
الحضاري	الحضاري
في	في
دولة	دولة
الأمارات	الإمارات
بدا	بدأ
من	من
اكتشاف	اكتشاف
المواهب	المواهب
الموجودة	الموجودة
في	في
أفراد	أفراد
المجتمع	المجتمع
و تعزيزهم	وتعزيزهم
في	في
أظهارها	إظهارها
دولة	للدولة
للاستفادة	للإستفادة
منها	منها
	,
و من	ومن
هذا	هذا
الشئ	الشيء
بدأت	بدأت
دولة	دولة
الأمارات	الإمارات
بالتطور	بالتطور
و مساعدة	ومساعدة
الدول	الدول
الأخرى	الأخرى
.	.
ما	ما
يتميز	يتميز
به	به
العصر	العصر
الحديث	الحديث
هو	هو
التقدم	التقدم
الكبير	الكبير
في	في
تكنولوجيا	تكنولوجيا
الاتصال	الاتصال
و التواصل	والتواصل
.	.
ظهرت	ظهرت
هذه	هذه
الوسائل	الوسائل
كإنجاز	كإنجاز
حضاري	حضاري
استنتجته	استنتجته
العقول	العقول
الذكية	الذكية
العملاقة	العملاقة
.	.
لقد	لقد
آثرت	أثرت
الكتنولوجيا	التكنولوجيا
على	على
العالم	العالم
بأكمله	بأكمله
.	.
لدى	لدى
التكنولوجيا	التكنولوجيا
العديد	العديد
من	من
السلبيات	السلبيات
و الإيجابيات	والإيجابيات
و لأكن	ولكن
الكثير	الكثير
من	من
السلبيات	السلبيات
علينا	علينا
أن	أن
لا	لا
نهملها	نهملها
أو	أو
نتجاهلها	نتجاهلها
	,
و أنها	وإنها
مدخل	مدخل
مناسب	مناسب
للأعداء	للأعداء
لتتبع	لتتبع
الشباب	الشباب
ومتابعة	ومتابعة
أنشطتهم	أنشطتهم
المختلفة	المختلفة
.	.
و أن	وإن
التكنولوجيا	التكنولوجيا
مكان	مكان
مناسب	مناسب
للتخطيط	للتخطيط
لنشر	لنشر
الجريمة	الجريمة
والتطرف	والتطرف
أحيانا	أحيانا
	.

تسامحوا	تسامحوا
تسامحوا	تسامحوا
:	:
لا	لا
شك	شك
كل	كل
إنسان	إنسان
يخطو	يخطو
على	على
هذه	هذه
الأرض	الأرض
قد	قد
مر	مر
من	من
قبل	قبل
يمواقف	بمواقف
كثيرة	كثيرة
يقشعر	يقشعر
لبعضها	لبعضها
البدن	البدن
,	
و بعضها	وبعضها
قد	قد
تكون	يكون
بنظره	بنظره
لا	لا
تغتفر	تغتفر
,	,
في	في
حين	حين
أن	أن
البعض	البعض
الآخر	الآخر
قد	قد
لا	لا
يلقى	يلقي
لها	لها
بالا	بالا
,	
أو	أو
يرى	يرى
بأنها	أنها
أتفه	أتفه
من	من
أن	أن
تجعله	تجعله
يتجاهل	يتجاهل
وجود	وجود
شخص	شخص
ما	ما
,	.
	.
	.
و هنا	وهنا
يأتي	يأتي
الآمر	الأمر
.	,
.	
.	
فتكون	فتكون
المعضلة	المعضلة
في	في
الشخص	الشخص
نفسه	نفسه
,	
و في	وفي
كيف	كيف
سختار	سيختار
ما	ما
سيتصرف	سيتصرف
به	به
,	
وما	وما
إذا	إذا
كان	كان
سيسامح	سيسامح
.	
.	
.	
أم	أم
لا	لا
.	.
لقد	لقد
حثنا	حثنا
الدين	الدين
الإسلامي	الإسلامي
البليغ	البليغ
على	على
ثقافة	ثقافة
التسامح	التسامح
و رفع	ورفع
من	من
شأنه	شأنه
,	,
و لعل	ولعل
أول	أول
سبب	سبب
يجعلنا	يجعلنا
لا	لا
نتهاون	نتهاون
فيه	فيه
هو	هو
أن	أن
القطيعة	القطيعة
لمدة	لمدة
تزيد	تزيد
عن	عن
ثلاثة	ثلاثة
أيام	أيام
تضعنا	تضعنا
تحت	تحت
خطر	خطر
جسيم	جسيم
,	,
و هو	وهو
أن	أن
أعمالنا	أعمالنا
لا	لا
ترفع	ترفع
و لا	ولا
تقبل	تقبل
حتى	حتى
تنهى	تنهى
هذه	هذه
القطيعة	القطيعة
,	,
فالبنسبة	فبالنسبة
لي	لي
هذا	هذا
السبب	السبب
أكثر	أكثر
من	من
كافي	كاف
حتى	حتى
أسامح	أسامح
غيري	غيري
,	.
فلو	فلو
حاولنا	حاولنا
أن	أن
نكون	نكون
متسامحين	متسامحين
يمكننا	يمكننا
بذلك	بذلك
أن	أن
نكون	نكون
قدوة	قدوة
لغيرنا	لغيرنا
,	,
كما	كما
أن	أن
نشر	نشر
الوعي	الوعي
بشأن	بشأن
هذا	هذا
الآمر	الأمر
سيعزز	سيعزز
من	من
ثقافة	ثقافة
التسامح	التسامح
في	في
المجتمع	المجتمع
,	
خصيصا	خصيصا
لو	لو
رأى	رأى
الناس	الناس
أن	أن
هذا	هذا
الآمر	الأمر
و هو	وهو
(	(
	@
	@
المسامحة	المسامحة
)	)
أصبح	أصبح
شائعا	شائعا
في	في
أحيائهم	أحيائهم
سينساقون	سينساقون
خلفهم	خلفه
لا	لا
شعوريا	شعوريا
,	,
فمن	فمن
عاشر	عاشر
قوم	قوما
أصبح	أصبح
مثلهم	مثلهم
.	.
ختاما	ختاما
,	
علينا	علينا
أن	أن
لا	لا
ننسى	ننسى
كم	كم
من	من
الأخطاء	الأخطاء
التي	التي
ارتكبناها	ارتكبناها
في	في
حياتنا	حياتنا
و التي	والتي
ريما	ربما
لأزلنا	لا زلنا
نستمر	نستمر
في	في
ارتكابها	ارتكابها
,	,
و لكن	ولكن
يظل	يظل
الله	الله
يسامحنا	يسامحنا
عليها	عليها
,	,
فسامحوا	فسامحوا
من	من
في	في
الأرض	الأرض
.	.
.	.
.	.
يسامحكم	يسامحكم
من	من
في	في
السماء	السماء
.	.

ما	ما
يتميز	يتميز
به	به
العصر	العصر
الحديث	الحديث
هو	هو
التقدم	التقدم
من	في
التكنلوجيا	التكنولوجيا
	,
و صفات	وصفات
التواصل	التواصل
الاجتماعي	الاجتماعي
متعددة	متعددة
في	في
أنواع	أنواع
و أشكال	وأشكال
عبر	
التكنلوجيا	التكنولوجيا
هو متطور	المتطورة
أكثر	أكثر
.	.
يوجد	توجد
أضرار	أضرار
كبيرة	كبيرة
في	في
التواصل	التواصل
الاجتماعي	الاجتماعي
و هما	وهي
الانشغال	الانشغال
عن	عن
أداء	أداء
بعض	بعض
الواجبات	الواجبات
سواء	سواء
الأسرية	الأسرية
أم	أو
في	في
جوانب	جوانب
أداء	أداء
العمل	العمل
الوظيفهي	الوظيفي
المختلفة	المختلفة
.	.
و يوجد	ويوجد
ضرر	ضرر
كبير	كبير
مثل	مثل
	أنه
مدخل	مدخل
لنشر	لنشر
ثقافة	ثقافة
الانحلال	الانحلال
الخلقي	الخلقي
و الفساد	والفساد
المجتمع	المجتمعي
و عدم	وعدم
الثقة	الثقة
و هو	وهو
عبارة	عبارة
عن	عن
مجتمع	مجتمع
مفتوح	مفتوح
أمام	أمام
كل	كل
المجتمع	المجتمعات
	,
و يكون	وتكون
أحيانا	أحيانا
فيها	فيه
فرصة	فرصة
قوية	قوية
لنشر	لنشر
الإشاعات	الإشاعات
و ترويجها	وترويجها
	.
و في	وفي
مختلف	مختلف
جوانب	جوانب
الحياة	الحياة
.	
و ليس	وليس
فقط	فقط
التواصل	التواصل
الاجتماعي	الاجتماعي
يوجد	توجد
في	فيه
أضرار	أضرار
و	
بينما	بل
يوجد	توجد
في	فيه
فوائد	فوائد
كثيرة	كثيرة
و منهما	ومنها
تبادل	تبادل
الخبرات	الخبرات
الحياتية	الحياتية
في	في
مجلات	مجالات
الحياة	الحياة
التعدده	المتعددة
معلومات	والمعلومات
هامة	الهامة
من	من
مصادرها	مصادرها
التي	التي
توفرها	توفرها
من	من
خلال	خلال
تسجيلات	تسجيلات
الأعجاب	الإعجاب
و التابعة	والتابعة
لبعضها	لبعضها
	,
و تفسح	وتفسح
المجال	المجال
أمام	أمام
الأبداع	الإبداع
في	في
رسم	رسم
اجتهادات	اجتهادات
فكرية	فكرية
و ثقافيع	وثقافية
و سياسية	وسياسية
معينة	معينة
.	.
و أن	وإن
وسائل	وسائل
التواصل	التواصل
الاجتماعي	الاجتماعي
هي	هي
منجزات	منجزات
حضارية	حضارية
عظيمة	عظيمة
	,
و لإنسان	والإنسان
وحدة	وحده
الذي	الذي
يمللك	يملك
طريقة	طريقة
الاستفادة	الاستفادة
منها	منها
.	.

وسائل	وسائل
التواصل	التواصل
الاجتماعي	الاجتماعي
.	
شهد	شهد
العالم	العالم
في	في
القرن	القرن
السابق	السابق
تطورات	تطورات
عدة	عدة
و منها	ومنها
بدأت	بدأت
وسائل	وسائل
التواصل	التواصل
الاجتماعي	الاجتماعي
في	في
قرننا	قرننا
هذا	هذا
في	في
الانتشار	الانتشار
	.
و بدأت	وبدأت
تزيد	تزيد
أهميتها	أهميتها
بيوم	يوما
بعد	بعد
يوم	يوم
و بدا	وبدا
تأثيرها	تأثيرها
واضح	واضحا
على	على
الفرد	الفرد
و المجتمع	والمجتمع
كثيرا	كثيرا
	,
كما	كما
أنه	أنه
بدا	بدا
بكونه	بكونه
شيء	شيئا
بفائق	فائق
الأهمية	الأهمية
في	في
بيومنا	بيوتنا
و عصره	وعصرنا
هذا	هذا
	.
لكن	لكن
هناك	هناك
تأثيرات	تأثيرات
سلبية	سلبية
و اجابيه	وإيجابية
للمجتمع	للمجتمع
و الفرد	والفرد
.	.
كما	كما
ذكرت	ذكرت
سابقا	سابقا
بأن	أن
وسائل	لوسائل
التواصل	التواصل
الاجتماعي	الاجتماعي
اجابي هو	إيجابيات
منها	منها
	:
سهولة	سهولة
التواصل	التواصل
بين	بين
المجتمع	المجتمع
و الفرد	والفرد
	.
مثلا	مثلا
تواصل	تواصل
الفرد	الفرد
من	من
مكان	مكان
بعيد	بعيد
لشخص	بشخص
أو	أو
مجموعة	مجموعة
ناس	أناس
يعيشون	يعيشون
في	في
بلده	بلدة
أو	أو
مكان	مكان
آخر	آخر
,	.
و للفرد	والفرد
يمكنه	يمكنه
من	
تزويد	تزويد
نفسه	نفسه
بالمعلومات	بالمعلومات
المهمة	المهمة
و أجراء	وإجراء
بحوث	بحوث
عن	عن
طريق	طريق
التواصل	التواصل
الاجتماعي	الاجتماعي
.	.
أما	أما
الجانب	الجانب
السلبي	السلبي
للمجتمع	للمجتمع
قد	قد
تبدأ	تبدأ
خلافات	خلافات
بينهم	بينهم
بسبب	بسبب
وسائل	وسائل
التواصل	التواصل
الاجتماعي	الاجتماعي
و كلام	وكلام
غير	غير
صحيح	صحيح
أو	أو
	أن
تكون	تكون
إشاعة	إشاعة
	.
و تنتشر	وتنتشر
هذه	هذه
الشاعه	الإشاعة
في	في
المجتمع	المجتمع
أسرع	أسرع
بسبب	بسبب
سهولة	سهولة
التواصل	التواصل
و تداول	وتداول
المعلومات	المعلومات
في	في
وسائل	وسائل
التواصل	التواصل
الاجتماعي	الاجتماعي
,	.
و أيضا	وأيضا
قد	قد
تكون	تكون
هناك	هناك
عمليات	عمليات
نصب	نصب
أكثر	أكثر
في	في
هذه	هذه
الوسائل	الوسائل
بسبب	بسبب
سهولة	سهولة
البقاء	البقاء
مجهولا	مجهولا
وراء	وراء
الشاشة	الشاشة
	.

لقد	لقد
وقعت	وقعت
الكثير	الكثير
من	من
التطورات	التطورات
الحضارية	الحضارية
من	من
قبل	قبل
هؤلاء	هؤلاء
الناس	الناس
العبارقة	العباقرة
الذين	الذين
آتو	أتوا
إلينا	إلينا
من	من
جميع	جميع
نواحي	نواحي
الدول	الدول
و عززوا	وعززوا
دولة	دولة
الأمارات	الإمارات
.	.
فقد	فقد
قدموا	قدموا
إلينا	إلينا
جميع	جميع
احتياجاتنا	احتياجاتنا
	,
و كل	وكل
ما	ما
.	
أردنا إليه	أردناه
هو	هو
مجتمع	مجتمعا
آمن	آمنا
و خال	وخال
من	من
المشاكل	المشاكل
و المتاعب	والمتاعب
	.
قدمت	قدمت
لنا	لنا
دولة	دولة
الأمارات	الإمارات
العربية	العربية
المتحدة	المتحدة
أولا	أولا
مكان	مكانا
آمن	آمنا
	,
و هو	وهو
سبب	سبب
من	من
الأسباب	الأسباب
لماذا	لماذا
الناس	الناس
يأتون	يأتون
من	من
دول	دول
أخرى	أخرى
بعيدة	بعيدة
إلى	إلى
هنا	هنا
,	,
فقد	فقد
بنوا	بنوا
لنا	لنا
أفخر	أفخر
لبمطاعم	المطاعم
و أعلى	وأعلى
المدارس	المدارس
و الجامعات	والجامعات
,	,
أيضا	أيضا
فروا	وفروا
لنا	لنا
شوارع	شوارع
و طرق	وطرقا
منظمة	منظمة
و قوانين	وقوانين
تطبق	تطبق
لكل	لكل
شخص	شخص
متاح	متاح
في	في
دولة	دولة
الأمارات	الإمارات
العربية	العربية
المتحدة	المتحدة
.	.
آتت	أتت
هذه	هذه
الأفكار	الأفكار
الخلابة	الخلابة
و المذهلة	والمذهلة
من	من
كل	كل
دولة	دولة
ممكن	ممكنة
	.
و من	ومن
الأكيد	الأكيد
دولتنا	دولتنا
فعلت	فعلت
الكثير	الكثير
من	من
البحوثات	البحوثات
و الذهاب	وذهبت
إلى	إلى
أماكن	أماكن
أخرى	أخرى
لاستكشاف	لاستكشاف
العالم	العالم
بأكلمة	بأكمله
والتمكن	والتمكن
من	من
الاستطلاع	الاستطلاع
لأفكار	لأفكار
و طريقة	وطريقة
بنائها	بنائها
بطريقة	بطريقة
فردية	فريدة
و مثالية	ومثالية
,	,
فهذا	فهذا
يستغرق	يستغرق
الكثير	الكثير
من	من
الوقت	الوقت
و الجهد	والجهد
,	.
فأنا	فأنا
فخورة	فخورة
جدا	جدا
بكوني	بكوني
إماراتية	إماراتية
.	.

التواصل	التواصل
الاجتماعي	الاجتماعي
لها	له
سلبيات	سلبيات
و إيجابيات	وإيجابيات
لأكن	لكن
قد	قد
تؤثر	يؤثر
بطريقة	بطريقة
سلبية	سلبية
أكثر	أكثر
على	على
الفرد	الفرد
.	.
الكثير	الكثير
من	من
الناس	الناس
يستخدمون	يستخدمون
التواصل	التواصل
الاجتماعي	الاجتماعي
بطريقة	بطريقة
خاطئة	خاطئة
.	.
يقتبس	يقتبس
الفرد	الفرد
الكثير	الكثير
من	من
التواصل	التواصل
الاجتماعي	الاجتماعي
و	ويتأثر
يتآثروقد	وقد
يؤثر	يؤثر
عليه	عليه
بطريقة	بطريقة
خاطئة	خاطئة
كما	كما
ذكرنا	ذكرنا
.	.

لوسائل	لوسائل
التواصل	التواصل
الاجتماعي	الاجتماعي
تأثير	تأثير
على	على
الفرد	الفرد
و المجتمع	والمجتمع
,	,
منها	منها
تأثير	تأثير
